,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2015 0:00,0.00345,0.01848,0.02201,0.227,0.01951,2.918,MS,MS,MS,MS,MS,MS,0.00082,0.00103,0.02188,0.02298,0.263,0.01373,5.007,MS,MS,5.864,249.877,0.99,8.682,9.524,0.128,24.28,4.255,MS,58.062,13.418,298.619
2,01/01/2015 1:00,0.00491,0.01876,0.02374,0.248,0.01862,4.154,MS,MS,MS,MS,MS,MS,0.00128,0.0014,0.02174,0.02317,0.248,0.01305,4.544,MS,MS,7.661,229.213,1.019,8.443,9.28,0.135,24.318,5.089,MS,58.488,13.723,295.859
3,01/01/2015 2:00,0.004,0.01893,0.023,0.23,0.01845,5.886,MS,MS,MS,MS,MS,MS,Z,Z,Z,Z,Z,Z,2.752,MS,MS,12.261,232.849,1.011,9.185,10.034,0.135,23.505,2.482,MS,59.494,13.457,297.899
4,01/01/2015 3:00,0.0032,0.01726,0.02054,0.2,0.01963,2.812,MS,MS,MS,MS,MS,MS,0.00107,0.00087,0.01515,0.0161,0.192,0.01848,2.065,MS,MS,10.848,233.628,1.01,8.002,8.825,0.121,23.424,2.99,MS,61.035,12.489,302.911
5,01/01/2015 4:00,0.00379,0.01627,0.02014,0.211,0.01918,3.872,MS,MS,MS,MS,MS,MS,0.00098,0.00052,0.01483,0.01558,0.197,0.01851,1.895,MS,MS,8.901,242.159,1.011,9.823,10.744,0.127,21.343,3.896,MS,63.347,12.191,305.767
6,01/01/2015 5:00,0.00365,0.01714,0.02087,0.223,0.01831,3.296,MS,MS,MS,MS,MS,MS,0.00172,0.00003,0.01173,0.01218,0.184,0.02128,1.855,MS,MS,8.158,258.919,1.01,10.046,10.962,0.12,19.245,4.511,MS,64.777,12.198,310.207
7,01/01/2015 6:00,0.00489,0.01871,0.02368,0.274,0.01663,2.639,MS,MS,MS,MS,MS,MS,0.00207,0.00097,0.02021,0.0213,0.223,0.01336,2.44,MS,MS,7.573,263.641,1.01,9.231,10.196,0.117,20.511,3.824,MS,64.445,12.984,312.682
8,01/01/2015 7:00,0.00471,0.01876,0.02352,0.234,0.01653,4.035,MS,MS,MS,MS,MS,MS,0.00195,0.00075,0.01883,0.01997,0.197,0.01333,2.185,MS,MS,7.649,243.803,1.012,9.377,10.375,0.128,20.477,4.807,MS,64.832,12.559,305.922
