6,01/01/2016 5:00,0.01321,0.04239,0.05599,0.142,0.00562,2.314,MS,3.398,-6.151,MS,1.704,309.206,0.00432,0.00003,0.00863,0.00933,0.158,0.02893,1.138,MS,MS,13.785,272.336,0.604,6.961,7.925,0.167,30.025,2.289,0.286,56.875,13.041,313.167
7,01/01/2016 6:00,0.00438,0.04283,0.04766,0.15,0.00518,5.897,MS,2.764,-6.453,MS,1.38,293.654,0.0025,0.00007,0.01242,0.01295,0.168,0.02596,0.927,MS,MS,10.991,276.999,0.722,8.932,10.001,0.153,28.299,2.261,0.25,58.069,11.252,316.626
8,01/01/2016 7:00,0.01519,0.04814,0.06376,0.167,0.00184,3.861,MS,2.805,-6.799,MS,1.009,39.368,0.00197,0.00005,0.01045,0.01091,0.162,0.0279,0.614,MS,MS,13.946,274.114,0.718,8.015,9.06,0.168,29.32,1.281,0.157,57.877,11.871,315.079
9,01/01/2016 8:00,0.00056,0.02332,0.02419,0.121,0.01978,1.531,MS,1.969,-6.558,MS,3.847,339.218,0.00156,0.00007,0.01163,0.01216,0.17,0.02669,0.686,MS,MS,13.029,278.838,0.733,8.663,9.752,0.158,28.741,2.373,0.362,58.303,12.834,315.443
10,01/01/2016 9:00,0.0005,0.02036,0.02118,0.135,0.02208,2.923,MS,1.859,-7.201,MS,2.327,357.488,0.0026,0.0006,0.01359,0.01443,0.177,0.0247,0.766,MS,MS,11.864,281.655,0.846,8.013,9.185,0.137,30.033,2.76,0.36,57.51,15.669,304.916
11,01/01/2016 10:00,0.00286,0.01554,0.01865,0.125,0.02563,3.864,MS,1.987,-5.974,MS,2.22,343.699,0.00351,0.00149,0.01062,0.01251,0.178,0.02809,0.748,MS,MS,13.567,277.18,1.503,6.903,8.744,0.162,31.626,2.245,0.247,54.719,16.185,303.674
12,01/01/2016 11:00,0.00632,0.01443,0.021,0.156,0.02932,5.66,MS,2.286,-2.732,MS,5.487,322.17,0.00344,0.00353,0.01034,0.01445,0.19,0.02948,1.142,MS,MS,11.822,277.695,2.46,6.041,8.805,0.157,33.258,2.783,0.204,49.75,17.127,300.924
13,01/01/2016 12:00,0.03078,0.02403,0.05524,0.174,0.02489,4.356,MS,3.239,0.469,MS,3.639,287.962,0.00344,0.00524,0.01081,0.01658,0.214,0.02977,2.139,MS,MS,12.129,272.13,2.597,4.868,7.738,0.184,35.02,1.164,0.232,44.636,15.054,303.16
14,01/01/2016 13:00,0.02375,0.02226,0.04644,0.158,0.02585,3.75,MS,3.244,2.377,MS,3.254,312.197,0.00554,0.00557,0.01097,0.01715,0.235,0.03063,2.532,MS,MS,10.068,274.327,3.149,5.548,8.986,0.175,34.955,1.67,0.68,40.785,13.49,309.546
15,01/01/2016 14:00,0.01551,0.01776,0.03362,0.156,0.02968,11.988,MS,3.693,3.141,MS,4.951,303.417,0.00613,0.00608,0.0123,0.0189,0.264,0.02989,3.324,MS,MS,8.327,272.237,3.685,6.815,10.832,0.193,34.028,-4.374,1.527,38.992,9.91,305.026
16,01/01/2016 15:00,0.0456,0.03792,0.08421,0.19,0.01407,7.604,MS,4.797,4.126,MS,7.669,277.126,0.00535,0.00285,0.00884,0.01223,0.216,0.03339,2.181,MS,MS,10.729,272.323,3.51,7.914,11.755,0.189,33.252,6.905,1.896,38.406,11.118,304.439
17,01/01/2016 16:00,0.01145,0.0235,0.03528,0.172,0.02366,7.511,MS,4.586,2.895,MS,4.951,319.947,0.00473,0.00209,0.01091,0.01348,0.225,0.03129,2.157,MS,MS,9.147,271.839,2.383,8.923,11.609,0.202,32.25,4.788,1.712,38.916,10.521,310.914
18,01/01/2016 17:00,0.00214,0.02503,0.02746,0.219,0.02048,5.97,MS,6.512,0.766,MS,4.171,320.551,0.00257,0.00176,0.02178,0.02391,0.279,0.02087,4.404,MS,MS,7.057,281.584,1.253,10.927,12.477,0.192,30.266,5.794,1.959,43.012,9.266,306.819
19,01/01/2016 18:00,0.00019,0.02366,0.02416,0.223,0.02113,5.06,MS,6.388,-1.557,MS,7.958,343.074,0.0016,0.00139,0.02752,0.02926,0.317,0.01478,5.98,MS,MS,7.663,274.445,0.863,11.948,13.078,0.186,28.996,3.297,2.545,46.263,10.584,310.562
20,01/01/2016 19:00,0.00014,0.01922,0.01961,0.193,0.0249,7.086,MS,5.319,-2.212,MS,9.172,345.621,0.0016,0.00185,0.02928,0.03136,0.331,0.01321,7.078,MS,MS,7.203,270.469,0.94,11.085,12.31,0.185,29.336,4.034,2.354,48.146,10.968,311.915
21,01/01/2016 20:00,0.00015,0.02022,0.02064,0.204,0.02405,5.881,MS,5.217,-2.229,MS,7.709,347.308,0.00198,0.00342,0.0369,0.04084,0.361,0.00638,11.808,MS,MS,5.433,267.809,0.785,9.874,10.942,0.155,29.996,0.257,1.682,48.855,11.956,311.263
22,01/01/2016 21:00,0.0007,0.01912,0.02007,0.182,0.02455,4.886,MS,4.336,-2.964,MS,6.884,343.279,0.00174,0.00278,0.03349,0.03661,0.384,0.00802,15.722,MS,MS,9.078,260.576,0.744,9.072,10.074,0.152,30.414,8.567,1.931,49.857,13.051,308.257
23,01/01/2016 22:00,0.00003,0.01667,0.01692,0.151,0.02628,6.042,MS,3.527,-3.324,MS,9.257,341.381,0.00225,0.00234,0.03052,0.03326,0.344,0.01039,9.553,MS,MS,9.574,275.075,0.746,8.885,9.868,0.137,29.886,7.782,1.942,52.955,12.627,310.116
24,01/01/2016 23:00,0,0.01837,0.01863,0.156,0.0235,5.786,MS,3.299,-4.71,MS,5.588,344.262,0.00259,0.0023,0.02853,0.03119,0.309,0.01245,6.313,MS,MS,8.847,272.307,0.724,9.114,10.081,0.112,29.234,7.041,1.984,54.745,12.068,307.578
25,02/01/2016 0:00,0.00099,0.02314,0.02441,0.146,0.01849,3.396,MS,2.768,-5.209,MS,5.952,345.933,0.00198,0.0009,0.02051,0.02181,0.263,0.0189,3.44,MS,MS,9.484,274.83,0.806,9.843,10.892,0.112,27.722,6.051,1.874,58.267,11.543,311.462
26,02/01/2016 1:00,0.00028,0.02602,0.02658,0.139,0.01526,3.27,MS,3.476,-5.925,MS,6.237,348.92,0.00169,0.00053,0.01925,0.02008,0.237,0.02007,2.599,MS,MS,8.169,279.836,0.739,10.806,11.779,0.137,26.282,-1.657,1.625,60.766,10.051,313.365
27,02/01/2016 2:00,0.00022,0.02669,0.02717,0.175,0.01304,2.181,MS,4.31,-7.389,MS,5.489,354.463,Z,Z,Z,Z,Z,Z,2.215,MS,MS,8.425,279.052,0.679,9.669,10.588,0.119,27.373,1.305,1.472,61.897,8.063,317.099
28,02/01/2016 3:00,0.00015,0.02559,0.02603,0.15,0.01345,3.321,MS,3.496,-7.973,MS,5.965,349.962,0.0016,0.00056,0.02022,0.02116,0.213,0.01795,2.116,MS,MS,6.923,284.633,0.707,10.81,11.745,0.119,25.841,4.08,1.544,64.136,7.91,319.956
29,02/01/2016 4:00,0.0009,0.02946,0.03065,0.144,0.01044,4.498,MS,3.651,-8.505,MS,5.175,348.104,0.00144,0.00125,0.02671,0.02821,0.242,0.01207,2.493,MS,MS,7.03,283.12,0.695,10.262,11.185,0.128,25.909,1.012,1.479,65.842,9.612,315.938
30,02/01/2016 5:00,0.0006,0.02823,0.0291,0.147,0.01168,3.153,MS,2.947,-9.333,MS,4.359,346.277,0.00125,0.00115,0.02215,0.02371,0.207,0.01594,2.117,MS,MS,8.692,275.677,0.746,9.137,10.094,0.123,26.706,3.032,1.263,67.17,10.891,315.69
31,02/01/2016 6:00,0.00199,0.03358,0.03588,0.155,0.00803,3.105,MS,2.704,-9.932,MS,1.686,342.293,0.00133,0.0012,0.02346,0.02501,0.213,0.01466,2.041,MS,MS,7.934,279.933,0.781,11.413,12.441,0.137,24.612,2.115,1.307,66.843,11.19,313.062
32,02/01/2016 7:00,0.00191,0.03073,0.03292,0.15,0.00966,6.063,MS,2.743,-10.081,MS,3.026,349.791,0.00125,0.00048,0.01827,0.01921,0.193,0.0196,1.692,MS,MS,7.779,285.064,0.844,10.501,11.622,0.128,25.168,1.722,1.42,67.646,13.351,314.661
33,02/01/2016 8:00,0.00149,0.02944,0.0312,0.166,0.01056,7.454,MS,3.111,-9.544,MS,6.066,346.451,0.00118,0.00251,0.02871,0.03158,0.229,0.01078,2.995,MS,MS,6.27,289.153,1.023,12.594,13.837,0.137,23.166,1.236,1.547,69.411,9.678,314.239
34,02/01/2016 9:00,0.00131,0.02843,0.03004,0.158,0.0115,4.723,MS,3.178,-9.873,MS,6.261,346.087,0.00153,0.00276,0.02695,0.03021,0.232,0.01217,2.014,MS,MS,7.262,283.048,1.21,13.995,15.491,0.124,22.61,1.334,1.77,67.991,7.159,315.762
35,02/01/2016 10:00,0.00837,0.02538,0.03399,0.189,0.01515,3.395,MS,3.478,-8.94,MS,6.536,349.139,0.00171,0.0128,0.02994,0.04329,0.331,0.01143,2.953,MS,MS,6.504,266.842,2.812,11.796,14.923,0.155,25.189,2.262,2.041,65.12,10.744,311.997
36,02/01/2016 11:00,0.01703,0.02287,0.04024,0.223,0.01882,4.454,MS,3.652,-6.575,MS,3.939,342.433,0.00102,0.01354,0.02202,0.03621,0.346,0.01804,3.373,MS,MS,7.756,258.119,5.853,12.117,18.367,0.168,25.181,3.47,2.596,60.543,11,313.702
37,02/01/2016 12:00,0.05085,0.03457,0.0861,0.279,0.01414,3.261,MS,4.661,-1.697,MS,2.609,245.827,0.00139,0.01545,0.02036,0.03634,0.342,0.02074,4.471,MS,MS,6.346,270.832,5.619,9.003,15,0.169,28.669,2.847,2.399,54.485,9.64,311.96
38,02/01/2016 13:00,0.02932,0.02576,0.05556,0.244,0.01997,3.144,MS,5.485,-1.401,MS,5.603,251.374,0.00185,0.01238,0.01652,0.02938,0.281,0.02393,3.467,MS,MS,5.124,274.65,5.684,8.608,14.629,0.177,30.028,4.829,3.244,50.188,8.922,306.928
39,02/01/2016 14:00,0.04393,0.03283,0.07739,0.288,0.01558,6.593,MS,8.991,-0.389,MS,5.583,248.223,0.00206,0.01112,0.01654,0.02823,0.32,0.02512,5.068,MS,MS,4.326,250.854,5.891,9.336,15.642,0.183,29.564,-0.087,3.505,47.585,8.844,306.451
40,02/01/2016 15:00,0.04938,0.03772,0.08771,0.292,0.01257,6.467,MS,9.447,0.964,MS,3.339,236.121,0.003,0.00837,0.01634,0.0251,0.3,0.02556,3.613,MS,MS,3.044,245.126,7.7,13.541,21.605,0.26,25.554,-1.117,4.616,46.092,6.016,298.386
41,02/01/2016 16:00,0.04286,0.04194,0.08535,0.324,0.0095,8.227,MS,8.925,1.124,MS,2.978,221.731,0.00183,0.01737,0.02974,0.04774,0.447,0.0129,10.741,MS,MS,2.731,144.721,8.805,20.27,29.377,0.308,18.92,1.648,5.415,46.817,4.638,292.96
42,02/01/2016 17:00,0.01692,0.04234,0.05964,0.361,0.00556,15.82,MS,12.985,-1.825,MS,4.002,212.173,0.00073,0.02265,0.04011,0.06341,0.512,0.00123,15.95,MS,MS,1.538,145.675,8.106,29.256,37.757,0.356,9.612,4.165,5.819,56.408,5.722,297.784
43,02/01/2016 18:00,0.03976,0.04844,0.08875,0.584,0.00071,12.031,MS,19.794,-5.581,MS,3.051,210.352,0.00071,0.02702,0.04452,0.07202,0.674,-0.00209,17.002,MS,MS,1.5,228.047,3.164,28.119,31.596,0.291,10.154,7.278,6.805,63.652,5.983,302.691
44,02/01/2016 19:00,0.04979,0.04653,0.09695,0.666,0.00052,15.668,MS,15.015,-8.12,MS,2.593,209.426,0.0009,0.02275,0.0456,0.06894,0.6,-0.00145,14.802,MS,MS,3.246,269.361,2.059,24.766,27.093,0.263,13.463,5.173,8.439,62.808,6.721,307.139
45,02/01/2016 20:00,0.05418,0.04676,0.10154,0.706,0.00052,13.618,MS,12.704,-9.633,MS,1.16,145.947,0.00089,0.02108,0.0445,0.06627,0.54,-0.00111,14.701,MS,MS,4.812,269.891,1.485,20.534,22.282,0.233,16.683,4.306,5.879,62.907,6.143,304.28
46,02/01/2016 21:00,0.06781,0.04768,0.11617,0.763,0.0007,10.069,MS,14.134,-10.75,MS,0.38,45.484,0.00088,0.02345,0.04029,0.06416,0.512,0.0021,14.337,MS,MS,4.257,267.246,1.481,21.4,23.145,0.233,15.117,2.287,6.169,65.015,6.341,310.356
47,02/01/2016 22:00,0.08941,0.04902,0.13907,0.86,0.00109,15.424,MS,17.192,-11.59,MS,0.233,278.309,0.00088,0.00556,0.03568,0.04171,0.376,0.00312,7.549,MS,MS,3.823,213.335,1.414,20.841,22.506,0.23,15.166,1.963,5.237,66.092,6.796,313.854
48,02/01/2016 23:00,0.13556,0.05246,0.1886,1.128,0.00107,21.895,MS,16.671,-12.252,MS,1.006,51.31,0.00088,0.0069,0.03596,0.04328,0.381,0.00282,7.833,MS,MS,6.637,269.514,1.064,17.586,18.885,0.202,17.719,7.165,3.956,68.814,6.271,315.09
49,03/01/2016 0:00,0.14475,0.05325,0.19864,1.097,0.00119,18.169,MS,15.541,-12.287,MS,1.802,337.91,0.00079,0.00721,0.03612,0.04394,0.393,0.00267,6.944,MS,MS,5.842,273.74,1.128,16.642,17.992,0.234,17.613,2.098,3.258,71.669,7.152,314.35
50,03/01/2016 1:00,0.09643,0.04875,0.14579,0.772,0.00093,16.729,MS,11.257,-12.129,MS,2.409,332.396,0.00077,0.00458,0.03318,0.03826,0.341,0.0048,6.085,MS,MS,6.663,265.314,0.868,14.279,15.452,0.216,20.266,5.62,2.756,70.251,7.721,315.592
51,03/01/2016 2:00,0.08571,0.04673,0.13318,0.699,0.00106,12.809,MS,12.172,-12.328,MS,1.005,323.536,Z,Z,Z,Z,Z,Z,4.546,MS,MS,6.395,269.68,0.875,13.233,14.367,0.227,21.025,4.878,2.429,71.351,7.89,316.716
52,03/01/2016 3:00,0.06775,0.04433,0.11278,0.582,0.00078,13.45,MS,7.838,-12.105,MS,1.671,322.919,0.00083,0.00348,0.03188,0.03584,0.292,0.00609,3.413,MS,MS,6.365,272.473,0.775,12.694,13.746,0.194,20.753,2.9,2.49,71.068,7.586,315.692
53,03/01/2016 4:00,0.04053,0.04331,0.08434,0.406,0.00073,9.962,MS,5.05,-11.556,MS,2.752,331.523,0.00076,0.01052,0.0395,0.05062,0.353,0.00119,4.133,MS,MS,3.81,278.145,0.829,13.97,15.108,0.207,19.261,1.971,2.759,72.436,8.167,310.259
54,03/01/2016 5:00,0.02764,0.04227,0.07033,0.319,0.00079,7.848,MS,4.507,-11.71,MS,2.363,314.931,0.00066,0.01434,0.03822,0.05316,0.359,0.00249,3.746,MS,MS,5.136,259.828,0.902,14.787,16.025,0.206,20.019,3.836,2.631,71.008,7.983,311.334
55,03/01/2016 6:00,0.0284,0.04128,0.07008,0.314,0.00078,5.005,MS,4.778,-12.34,MS,1.465,347.302,0.00058,0.00253,0.03007,0.03309,0.271,0.00913,1.665,MS,MS,5.957,261.453,0.929,16.006,17.245,0.194,19.446,3.108,2.219,71.122,8.091,314.057
56,03/01/2016 7:00,0.03664,0.04332,0.08046,0.33,0.00072,5.968,MS,4.354,-12.139,MS,3.412,333.376,0.00059,0.00549,0.03669,0.04266,0.308,0.00281,2.367,MS,MS,6.07,267.662,1.278,17.082,18.617,0.209,19.058,4.249,1.77,71.107,8.112,313.998
57,03/01/2016 8:00,0.04544,0.04502,0.09104,0.381,0.00071,4.293,MS,4.755,-12.914,MS,1.55,255.094,0.00053,0.00212,0.03022,0.03298,0.274,0.00863,1.486,MS,MS,6.51,253,1.198,16.637,18.113,0.204,19.854,2.917,1.558,70.616,7.816,314.131
58,03/01/2016 9:00,0.04896,0.04342,0.09297,0.35,0.00095,10.66,MS,5.123,-13.757,MS,2.814,195.873,0.00044,0.00241,0.02739,0.03034,0.292,0.01184,0.999,MS,MS,5.588,250.72,1.505,16.339,18.118,0.213,20.917,2.538,1.545,70.33,7.452,314.332
59,03/01/2016 10:00,0.08877,0.04707,0.13652,0.475,0.00309,9.589,MS,7.98,-11.89,MS,0.894,311.538,0.00071,0.01148,0.02709,0.03934,0.376,0.01346,1.651,MS,MS,5.217,268.512,4.316,16.881,21.525,0.252,21.941,3.231,2.147,65.885,6.539,313.962
60,03/01/2016 11:00,0.08756,0.0455,0.13363,0.458,0.00698,12.148,MS,7.516,-8.821,MS,1.246,205.831,0.00116,0.01557,0.02327,0.03956,0.353,0.01648,2.394,MS,MS,2.865,259.929,4.189,9.878,14.455,0.235,28.302,3.422,2.16,61.236,8.765,310.5
61,03/01/2016 12:00,0.06951,0.041,0.11114,0.38,0.01186,17.632,MS,8.477,-4.76,MS,3.673,202.479,0.00146,0.02392,0.02538,0.05006,0.431,0.01784,3.004,MS,MS,4.981,223.858,5.525,9.555,15.5,0.219,29.857,3.076,2.196,53.022,6.335,314.387
62,03/01/2016 13:00,0.03875,0.03258,0.0719,0.389,0.01842,25.172,MS,15.042,-2.1,MS,3.035,208.085,0.00109,0.01859,0.02299,0.04233,0.404,0.02203,3.708,MS,MS,2.022,208.94,5.342,8.486,14.198,0.234,31.139,-0.353,2.639,45.267,2.787,264.923
63,03/01/2016 14:00,0.0246,0.0274,0.05236,0.304,0.02447,16.656,MS,15.99,-2.313,MS,2.793,79.853,0.00083,0.01264,0.01792,0.03134,0.344,0.02378,5.764,MS,MS,4.112,121.934,11.659,16.091,28.138,0.336,25.354,-1.103,5.453,42.332,4.542,288.555
64,03/01/2016 15:00,0.02355,0.03155,0.05546,0.278,0.02086,14.231,MS,14.151,-2.032,MS,4.211,164.671,0.00064,0.00982,0.01692,0.02748,0.434,0.02299,7.3,MS,MS,2.308,147.016,10.177,16.413,26.954,0.372,24.142,9.052,7.465,44.704,4.653,272.303
65,03/01/2016 16:00,0.02993,0.04096,0.07131,0.369,0.01208,18.924,MS,17.947,-2.399,MS,4.601,192.012,0.00058,0.01817,0.03062,0.04947,0.37,0.01373,13.464,MS,MS,1.661,167.368,4.894,14.806,20.064,0.313,25.088,6.725,3.917,47.382,5.221,294.735
66,03/01/2016 17:00,0.0282,0.04625,0.07485,0.462,0.00448,23.056,MS,17.947,-4.269,MS,3.858,198.115,0.00009,0.00967,0.03348,0.04373,0.457,0.00612,17.84,MS,MS,3.8,133.111,5.441,26.937,32.758,0.41,13.211,5.296,5.871,55.614,4.766,297.21
67,03/01/2016 18:00,0.04242,0.05424,0.09724,0.549,0.00132,24.93,MS,19.003,-6.991,MS,3.292,202.693,0.00023,0.02663,0.04381,0.07109,0.534,-0.00168,16.271,MS,MS,0.702,123.536,4.885,33.478,38.827,0.415,6.89,8.298,10.428,65.546,0.993,158.303
68,03/01/2016 19:00,0.06944,0.05428,0.12436,0.722,0.00126,19.142,MS,19.383,-8.409,MS,2.147,137.878,0.00068,0.08713,0.05286,0.14023,0.73,-0.00174,17.878,MS,MS,0.99,197.538,34.847,45.536,80.894,0.657,0.161,10.606,13.411,70.771,1.073,312.002
69,03/01/2016 20:00,0.09067,0.05586,0.14723,0.849,0.00126,20.156,MS,20.316,-9.486,MS,0.46,266.196,0.00034,0.03594,0.04805,0.08457,0.725,0.0006,11.354,MS,MS,5.457,191.866,22.021,36.758,59.302,0.611,9.211,16.804,7.991,53.148,5.703,236.177
70,03/01/2016 21:00,0.09352,0.05518,0.14936,0.777,0.00111,18.018,MS,18.208,-10.257,MS,4.77,204.629,0.00011,0.00054,0.01866,0.01951,0.461,0.02637,2.506,MS,MS,10.671,187.214,0.451,13.784,14.547,0.244,31.201,8.851,1.452,35.53,4.631,258.193
71,03/01/2016 22:00,0.10383,0.05676,0.16115,0.944,0.00148,18.181,MS,17.676,-9.585,MS,4.559,331.215,0.00011,0.00145,0.02674,0.02858,0.325,0.01902,2.425,MS,MS,2.824,190.869,13.944,42.273,56.663,0.432,5.639,4.546,5.883,49.46,3.289,323.61
72,03/01/2016 23:00,0.12438,0.05743,0.18239,1.185,0.00124,18.289,MS,17.801,-10.874,MS,1.777,11.338,0.00041,0.02121,0.04975,0.07164,0.406,0.00219,8.763,MS,MS,5.935,306.026,26.827,45.367,72.673,0.467,2.238,10.695,6.32,57.85,5.578,303.778
73,04/01/2016 0:00,0.16007,0.05983,0.22067,1.374,0.00141,18.425,MS,20.309,-11.776,MS,0.28,32.802,0.00031,0.04169,0.05426,0.09657,0.703,-0.00155,14.13,MS,MS,2.451,276.37,5.972,37.022,43.486,0.324,8.705,8.817,3.382,54.146,4.054,317.396
74,04/01/2016 1:00,0.18339,0.06095,0.24502,1.38,0.00143,24.596,MS,21.519,-11.737,MS,2.123,336.21,0.00011,0.02278,0.04582,0.06924,0.567,0.00148,7.507,MS,MS,3.008,286.082,17.122,43.635,61.337,0.386,3.446,1.077,3.058,57.7,6.723,323.486
75,04/01/2016 2:00,0.1939,0.06277,0.25732,1.299,0.00134,19.202,MS,21.174,-11.785,MS,1.929,234.924,Z,Z,Z,Z,Z,Z,4.732,MS,MS,5.328,263.487,8.554,35.677,44.725,0.35,10.264,7.378,2.412,58.943,7.257,307.151
76,04/01/2016 3:00,0.16666,0.05964,0.22697,1.084,0.00098,21.243,MS,16.824,-11.003,MS,0.812,142.439,0.00022,0.00209,0.02964,0.03243,0.589,0.01312,2.478,MS,MS,4.573,264.362,1.752,21.905,24.019,0.228,23.857,2.711,0.45,59.106,7.055,292.967
77,04/01/2016 4:00,0.04959,0.05004,0.1002,0.39,0.00042,16.876,MS,5.947,-9.179,MS,2.454,208.891,0.00056,0.00168,0.02885,0.03103,0.388,0.01432,2.049,MS,MS,4.958,272.011,0.548,13.789,14.67,0.224,27.374,4.274,0.112,57.247,9.07,307.02
78,04/01/2016 5:00,0.04452,0.05147,0.09661,0.314,0.00069,11.189,MS,6.363,-7.933,MS,1.177,137.904,0.00069,0.00259,0.02728,0.03051,0.361,0.01666,1.383,MS,MS,4.393,278.886,0.428,9.206,9.961,0.195,32.897,-3.875,0.137,55.886,8.46,300.338
79,04/01/2016 6:00,0.06283,0.05436,0.11784,0.305,0.00088,12.582,MS,6.009,-6.905,MS,2.499,308.058,0.00064,0.00605,0.03501,0.04173,0.387,0.00942,2.358,MS,MS,4.332,274.812,0.577,11.656,12.578,0.177,31.014,-6.059,0.292,57.264,8.212,320.981
80,04/01/2016 7:00,0.02608,0.04748,0.07397,0.315,0.00218,11.115,MS,4.912,-4.764,MS,4.956,0.404,0.00071,0.01989,0.0469,0.06756,0.434,0.00053,3.494,MS,MS,3.942,283.521,1.087,15.559,16.983,0.207,26.622,-3.693,0.544,63.485,6.419,324.011
81,04/01/2016 8:00,0.11359,0.06485,0.17908,0.792,0.00122,8.465,MS,8.955,-5.116,MS,7.096,348.838,0.00089,0.06524,0.056,0.1217,0.676,-0.00162,5.336,MS,MS,2.626,261.167,2.201,24,26.537,0.279,18.682,-4.861,0.762,63.822,7.776,309.947
82,04/01/2016 9:00,0.1045,0.06353,0.16871,0.773,0.00134,10.513,MS,7.529,-5.994,MS,3.463,339.672,0.00109,0.04642,0.05227,0.09927,0.806,-0.00111,4.755,MS,MS,5.645,262.591,2.79,27.494,30.649,0.32,15.287,-2.583,1.16,63.182,7.033,302.861
83,04/01/2016 10:00,0.07845,0.05266,0.13178,0.629,0.00357,11.292,MS,7.656,-5.417,MS,4.441,353.783,0.00147,0.06053,0.05139,0.11246,C,0.00149,5.845,MS,MS,5.306,275.337,2.969,16.742,20.068,0.275,24.544,1.169,1.145,60.957,8.372,314.829
84,04/01/2016 11:00,0.04592,0.04299,0.08951,0.451,0.00837,10.845,MS,5.899,-3.855,MS,0.518,0.775,0.00146,0.03404,0.04028,0.07502,C,0.00827,4.942,MS,MS,6.41,246.187,5.028,15.613,21.045,0.288,26.114,3.163,1.953,59.613,8.272,301.869
85,04/01/2016 12:00,0.05603,0.04478,0.10143,0.442,0.00994,7.711,MS,8.45,-2.624,MS,5.184,202.909,0.00162,0.02015,0.02889,0.04979,C,0.01528,3.081,MS,MS,4.714,249.475,5.24,13.277,18.995,0.275,28.29,7.487,2.198,58.235,8.114,301.757
86,04/01/2016 13:00,0.06936,0.04549,0.11549,0.409,0.01234,9.47,MS,9.664,-0.818,MS,1.84,258.814,0.00257,0.03368,0.03508,0.06959,C,0.01258,4.938,MS,MS,3.794,296.152,5.61,11.579,17.697,0.265,29.631,-2.214,2.3,57.022,6.832,309.584
87,04/01/2016 14:00,0.02385,0.02582,0.05,0.27,0.02317,17.44,MS,8.026,0.454,MS,5.056,333.856,0.00419,0.04011,0.03697,0.07792,C,0.01303,6.008,MS,MS,2.662,304.761,8.25,13.275,21.994,0.313,28.197,1.465,2.777,51.166,4.879,297.219
88,04/01/2016 15:00,0.02477,0.03059,0.05568,0.356,0.0244,7.483,MS,9.124,0.734,MS,5.437,60.65,0.0039,0.09531,0.05871,0.15439,0.546,0.00381,12.825,MS,MS,3.738,83.577,11.285,18.885,30.575,0.331,24.859,8.051,3.951,43.259,1.114,25.49
