,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2016 0:00,0.00008,0.01664,0.01693,0.147,0.02524,8.783,MS,3.512,-4.172,MS,6.756,341.322,0.00069,0.00083,0.01832,0.01953,0.238,0.02015,4.744,MS,MS,9.631,276.31,0.664,9.305,9.946,0.156,28.583,3.772,1.135,54.112,12.307,310.034
2,01/01/2016 1:00,0.00054,0.02242,0.02323,0.143,0.02035,5.913,MS,4.421,-4.638,MS,3.652,320.921,0.00186,0.00021,0.015,0.01575,0.21,0.02239,3.807,MS,MS,10.585,275.652,0.702,8.63,9.698,0.164,28.364,-0.551,1.197,56.5,10.689,312.6
3,01/01/2016 2:00,0.02104,0.03743,0.05893,0.151,0.00867,2.307,MS,4.293,-5.521,MS,0.147,11.8,Z,Z,Z,Z,Z,Z,2.501,MS,MS,11.799,279.695,0.686,7.407,8.46,0.163,29.622,4.415,0.77,54.785,12.928,316.644
4,01/01/2016 3:00,0.0085,0.03523,0.0441,0.138,0.01034,3.517,MS,3.318,-5.563,MS,2.084,293.761,0.00324,0.00076,0.01789,0.01918,0.232,0.01959,4.073,MS,MS,11.443,275.508,0.632,7.283,8.294,0.145,29.635,1.803,0.71,56.045,11.73,311.643
5,01/01/2016 4:00,0.02457,0.04774,0.07277,0.151,0.00131,3.037,MS,4.168,-6.154,MS,0.67,147.709,0.00326,0.00002,0.00868,0.00913,0.164,0.02871,1.338,MS,MS,13.876,273.865,0.622,6.907,7.892,0.184,30.284,1.898,0.645,56.077,13.903,315.206
