,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2019 0:00,0.01998,0.03794,0.0579,0.456,0.00065,MS,MS,5.386,-13.035,86.692,1.326,233.419,-0.00052,0.00417,0.02946,0.03364,0.32,0.00549,10.671,-13.881,87.988,4.487,261.934,0.836,18.879,19.741,0.237,17.1,11.355,11.355,69.556,6.638,303.732
2,01/01/2019 1:00,0.05446,0.04308,0.09754,0.55,0.00097,MS,MS,10.051,-12.107,89.942,1.06,282.141,0.00009,0.00424,0.0271,0.03133,0.309,0.00864,8.118,-12.747,82.41,4.524,262.06,0.188,9.131,9.33,0.158,26.567,-9999,1.653,58.123,8.901,303.767
3,01/01/2019 2:00,0.05599,0.04537,0.10136,0.475,0.00107,MS,MS,10.75,-10.146,80.2,2.549,195.718,Z,Z,Z,Z,Z,Z,8.046,-10.843,73.638,4.366,236.109,0.131,7.921,8.064,0.146,28.191,-9999,1.025,54.053,8.6,300.282
4,01/01/2019 3:00,0.02376,0.03921,0.06297,0.391,0.00032,MS,MS,7.149,-8.928,77.802,3.785,191.425,0.00035,0.0126,0.03454,0.04714,0.276,0.00574,7.287,-9.868,72.727,4.45,225.558,0.179,8.733,8.923,0.147,26.57,-9999,1.174,56.357,10.088,293.733
5,01/01/2019 4:00,0.00842,0.03505,0.04346,0.316,0.00211,MS,MS,4.904,-7.555,75.206,3.808,180.159,0.00028,0.00217,0.02799,0.03016,0.267,0.00837,5.042,-8.723,71.782,3.549,246.36,0.14,9.07,9.22,0.148,28.871,-9999,0.568,57.51,9.27,296.386
