6,01/01/2019 5:00,0.02202,0.03769,0.05972,0.273,0.0015,MS,MS,5.284,-6.11,75.412,2.807,183.64,0.00034,0.00179,0.02005,0.02184,0.189,0.0168,2.582,-6.632,67.106,7.625,235.55,0.122,8.447,8.578,0.14,31.583,-9999,0.002,54.808,8.476,290.786
7,01/01/2019 6:00,0.01177,0.03647,0.04825,0.263,0.00219,MS,MS,3.689,-5.02,75.398,4.396,203.216,0.00039,0.00052,0.01283,0.01335,0.15,0.0257,1.04,-4.176,59.201,10.361,246.887,0.122,7.663,7.792,0.142,32.119,-9999,-0.318,53.803,7.55,286.719
8,01/01/2019 7:00,0.00871,0.03004,0.03872,0.219,0.00853,MS,MS,3.437,-3.762,72.074,7.124,199.519,0.00028,0.00062,0.01633,0.01693,0.175,0.02323,0.838,-3.838,59.953,5.475,263.763,0.176,8.846,9.028,0.147,30.615,-9999,-0.383,54.118,7.848,288.316
9,01/01/2019 8:00,0.00137,0.0266,0.02798,0.214,0.01339,MS,MS,2.152,-2.305,65.238,3.525,179.852,0.00051,0.00116,0.02147,0.02262,0.242,0.01885,0.892,-3.566,62.607,6.927,275.592,0.145,6.86,7.009,0.145,33.229,-9999,-0.69,52.009,8.469,294.159
10,01/01/2019 9:00,0.00042,0.01544,0.01587,0.174,0.02535,MS,MS,1.29,-0.582,55.043,6.491,328.604,0.00058,0.00146,0.0195,0.02098,0.203,0.02117,0.812,-2.828,61.69,6.587,305.757,0.263,8.343,8.609,0.143,31.706,MS,-0.248,51.471,7.824,310.186
11,01/01/2019 10:00,0.00151,0.00994,0.01145,0.157,0.03052,MS,MS,1.363,0.463,48.832,8.287,329.418,0.00092,0.00733,0.02262,0.02993,0.214,0.01919,0.964,-2.498,61.606,6.278,274.222,0.876,7.1,7.977,0.143,33.045,MS,0.178,49.154,8.782,295.462
12,01/01/2019 11:00,0.00224,0.00719,0.00942,0.16,0.03287,MS,MS,1.713,1.698,44.818,12.589,334.869,0.00109,0.01139,0.02103,0.03242,0.229,0.0216,1.283,-0.928,57.192,5.359,292.051,1.473,5.628,7.101,0.144,34.4,MS,0.756,45.102,11.38,288.939
13,01/01/2019 12:00,0.00228,0.00643,0.00872,0.176,0.03322,MS,MS,2.785,2.942,43.05,11.527,329.788,0.00185,0.00349,0.01078,0.01428,0.161,0.03263,0.888,2.521,46.466,7.131,330.923,3.049,6.484,9.532,0.146,33.788,MS,2.026,42.159,8.243,292.058
14,01/01/2019 13:00,0.02619,0.01267,0.03888,0.231,0.02709,MS,MS,4.629,3.55,41.747,3.397,304.683,0.00199,0.00823,0.01954,0.02777,0.211,0.02869,2.177,3.103,45.843,3.405,258.171,5.936,9.967,15.9,0.177,31.654,MS,3.02,42.609,5.56,281.953
15,01/01/2019 14:00,0.01155,0.01781,0.02937,0.232,0.0256,MS,MS,4.353,4.876,39.142,4.119,229.684,0.00177,0.01322,0.01878,0.032,0.261,0.02398,5.268,3.465,46.879,7.475,234.508,2.529,5.794,8.319,0.162,34.784,MS,2.401,39.953,6.874,262.974
16,01/01/2019 15:00,0.00497,0.0128,0.01776,0.237,0.02716,MS,MS,6.866,4.183,43.216,6.232,189.676,0.00116,0.00236,0.00761,0.00997,0.173,0.03292,2.907,5.415,41.078,6.256,199.799,1.993,7.963,9.95,0.191,32.346,MS,2.433,37.909,6.403,223.223
17,01/01/2019 16:00,0.00477,0.01863,0.0234,0.262,0.02197,MS,MS,10.462,4.5,45.051,4.077,171.879,0.00125,0.00179,0.01161,0.0134,0.215,0.02833,3.272,4.184,48.586,4.442,143.67,1.217,7.927,9.136,0.177,32.452,MS,1.951,39.332,6.845,217.141
18,01/01/2019 17:00,0.002,0.02258,0.02457,0.272,0.0182,MS,MS,5.903,3.678,47.952,4.027,171.861,0.0007,0.00054,0.01182,0.01236,0.201,0.02812,3.405,3.21,53.907,4.112,161.403,1.597,19.509,21.097,0.244,22.665,MS,2.393,44.831,4.168,233.175
19,01/01/2019 18:00,0.00379,0.03368,0.03745,0.303,0.00808,MS,MS,9.006,2.435,55.407,1.856,185.337,0.00046,0.00015,0.01598,0.01612,0.205,0.02148,3.955,1.609,64.258,2.93,122.664,0.265,12.421,12.676,0.22,27.754,MS,2.484,46.777,6.212,276.062
20,01/01/2019 19:00,0.00295,0.03784,0.04079,0.355,0.00367,MS,MS,8.849,1.997,59.966,1.401,181.34,0.00041,0.00166,0.02666,0.02832,0.241,0.00886,5.076,0.81,72.719,2.186,138.447,0.089,9.586,9.663,0.203,29.71,MS,3.686,48.585,5.57,299.028
21,01/01/2019 20:00,0.00084,0.01618,0.01702,0.196,0.02494,MS,MS,2.564,4.544,45.552,11.374,299.405,0.00057,0.0246,0.03996,0.06456,0.453,0.00262,13.986,0.902,74.613,2.406,253.387,0.082,8.311,8.38,0.171,30.87,MS,2.298,47.522,7.457,293.368
22,01/01/2019 21:00,0.00015,0.00966,0.0098,0.161,0.03017,MS,MS,1.216,4.912,44.103,10.48,294.543,0.00087,0.0239,0.04203,0.06593,0.453,0.00201,16.475,1.235,68.808,5.201,235.229,0.076,6.692,6.753,0.156,32.253,MS,1.174,47.287,7.77,279.334
23,01/01/2019 22:00,0.00049,0.01341,0.01389,0.167,0.02662,MS,MS,1.278,5.112,44.356,10.87,292.145,0.00053,0.00135,0.02486,0.02621,0.275,0.01256,6.02,1.692,64.163,5.486,239.84,0.073,6.707,6.764,0.156,31.543,MS,1.169,49.102,7.009,287.472
24,01/01/2019 23:00,0.00011,0.0089,0.00901,0.155,0.03057,MS,MS,1.019,5.573,43.941,11.893,288.697,0.00052,0.00095,0.01752,0.01848,0.205,0.02192,2.775,3.415,54.765,7.141,259.714,0.067,7.396,7.445,0.156,30.79,MS,1.438,49.033,5.963,298.029
25,02/01/2019 0:00,0.0005,0.01238,0.01287,0.157,0.02767,MS,MS,1.122,5.622,44.021,11.564,279.019,0.00067,0.00202,0.01934,0.02136,0.188,0.02156,2.004,4.087,52.324,7.593,254.537,0.071,6.583,6.635,0.15,31.882,MS,1.576,49.057,6.194,290.166
26,02/01/2019 1:00,0.00657,0.0308,0.03737,0.168,0.01352,MS,MS,2.095,5.382,46.431,9.729,270.358,0.00054,0.00119,0.01835,0.01954,0.174,0.02265,1.258,4.367,51.028,6.581,253.181,0.065,5.032,5.077,0.14,33.51,MS,0.784,48.037,7.17,286.621
27,02/01/2019 2:00,0.00146,0.01436,0.01582,0.153,0.0265,MS,MS,1.171,6.413,44.339,16.039,281.175,Z,Z,Z,Z,Z,Z,0.901,4.505,51.924,7.004,253.264,0.068,3.825,3.871,0.139,35.004,MS,0.683,47.417,9.105,287.583
28,02/01/2019 3:00,0.00713,0.02295,0.03005,0.161,0.02,MS,MS,1.494,6.208,46.086,12.17,271.8,0.00051,0.00032,0.01355,0.01388,0.149,0.02789,0.015,5.461,49.62,5.25,273.258,0.051,5.846,5.874,0.134,33.438,MS,0.378,47.822,7.118,297.571
29,02/01/2019 4:00,0.00695,0.02451,0.03141,0.156,0.01938,MS,MS,1.398,6.663,44.704,14.205,274.512,0.00038,0.00151,0.03185,0.03336,0.207,0.01049,0.315,2.823,60.637,2.91,235.215,0.063,4.352,4.391,0.138,34.826,MS,0.289,48.349,7.249,292.295
30,02/01/2019 5:00,0.00072,0.01056,0.01127,0.139,0.03083,MS,MS,0.707,7.64,42.245,18.191,273.626,0.00037,0.00865,0.02874,0.03739,0.2,0.01283,0.373,1.998,63.86,4.737,210.195,0.065,4.094,4.136,0.134,35.293,MS,0.29,47.94,7.205,288.811
31,02/01/2019 6:00,0.00298,0.02064,0.02362,0.153,0.0224,MS,MS,1.572,7.528,44.156,13.212,260.223,0.00073,0.02992,0.04386,0.07378,0.247,0.00122,0.841,1.523,66.349,3.799,230.082,0.078,6.159,6.215,0.142,33.65,MS,0.341,48.425,7.073,288.977
32,02/01/2019 7:00,0.01411,0.03444,0.04856,0.216,0.0109,MS,MS,2.926,5.832,51.045,9.524,256.509,0.00093,0.0219,0.04261,0.06451,0.317,0.00119,1.051,1.221,67.464,4.005,230.959,0.098,3.294,3.37,0.131,38.341,MS,0.413,42.682,14.782,291.739
33,02/01/2019 8:00,0.0025,0.02364,0.02612,0.195,0.02094,MS,MS,1.954,7.611,45.072,8.742,240.136,0.0008,0.04301,0.0456,0.08861,0.401,0.00016,1.9,1.07,68.881,2.732,228.398,0.132,2.152,2.262,0.127,40.508,MS,0.568,40.911,17.464,290.989
34,02/01/2019 9:00,0.00644,0.03573,0.04216,0.277,0.01159,MS,MS,4.402,7.183,46.099,0.789,87.984,0.0009,0.06054,0.04805,0.10859,0.552,-0.00001,4.323,0.365,74.627,1.633,213.37,0.095,3.423,3.498,0.132,39.148,MS,0.51,41.223,11.048,305.949
35,02/01/2019 10:00,0.00087,0.01295,0.01382,0.172,0.02979,MS,MS,2.195,8.624,41.464,11.533,316.419,0.00096,0.04016,0.04112,0.08122,0.443,0.00666,5.421,3.818,62.283,4.333,295.563,0.124,2.594,2.699,0.127,39.952,MS,0.48,40.443,15.404,301.51
36,02/01/2019 11:00,0.00058,0.0069,0.00748,0.145,0.03571,MS,MS,0.953,9.313,38.961,26.561,292.809,0.00077,0.00311,0.01664,0.01974,0.191,0.02873,1.077,8.767,42.392,12.81,285.884,0.131,2.183,2.295,0.126,40.833,MS,0.288,39.142,20.629,301.259
37,02/01/2019 12:00,0.00053,0.00917,0.0097,0.158,0.03355,MS,MS,1.171,9.307,39.361,18.754,291.782,0.00121,0.00329,0.01039,0.01368,0.149,0.03442,2.302,9.161,41.153,15.78,285.833,0.198,3.067,3.245,0.126,39.67,MS,0.694,39.886,18.323,287.845
38,02/01/2019 13:00,0.00132,0.00873,0.01005,0.155,0.03366,MS,MS,1.331,9.182,40.249,19.836,279.215,0.00067,0.00234,0.00873,0.01106,0.15,0.03519,2.374,9.001,42.104,17.621,265.05,0.839,4.033,4.854,0.145,38.256,MS,1.047,40.377,18.113,277.328
39,02/01/2019 14:00,0.0033,0.00725,0.01054,0.141,0.03531,MS,MS,1.085,10.592,35.938,30.083,271.396,0.00065,0.00238,0.00403,0.00641,0.127,0.03992,1.277,10.963,35.755,34.349,269.711,0.891,2.702,3.576,0.145,39.378,MS,0.946,35.311,16.195,271.876
40,02/01/2019 15:00,0.00369,0.00996,0.01367,0.155,0.0327,MS,MS,1.473,10.604,35.515,21.179,280.206,0.00062,0.00246,0.00666,0.00911,0.141,0.03727,1.817,11.135,34.857,19.046,266.69,0.646,3.271,3.901,0.146,38.455,MS,0.915,34.988,11.609,294.269
41,02/01/2019 16:00,0.00062,0.00515,0.00577,0.145,0.03525,MS,MS,1.108,10.277,35.432,18.461,304.207,0.00084,0.00277,0.01227,0.01503,0.191,0.03115,3.019,10.513,36.687,11.054,292.284,0.267,2.356,2.607,0.137,38.928,MS,0.666,34.262,15.416,315.738
42,02/01/2019 17:00,0.00669,0.02779,0.03451,0.196,0.01562,MS,MS,3.558,9.65,37.44,5.303,264.231,0.0004,0.00944,0.03069,0.0401,0.389,0.01161,8.775,8.053,47.691,3.359,210.93,0.123,3.119,3.227,0.143,37.455,MS,0.807,34.711,11.673,300.961
43,02/01/2019 18:00,0.01913,0.04317,0.06225,0.436,0.0027,MS,MS,8.772,6.974,48.593,1.666,204.842,0.00063,0.01831,0.03896,0.05725,0.563,0.00259,12.841,5.598,60.551,1.892,160.556,0.309,4.825,5.12,0.154,35.63,MS,0.948,36.189,10.302,264.877
44,02/01/2019 19:00,0.04887,0.04466,0.09354,0.719,0.00069,MS,MS,14.349,4.729,59.973,0.873,33.507,0.00064,0.03006,0.04366,0.07373,0.58,0.00011,14.016,4.976,63.778,2.391,271.788,0.145,6.796,6.928,0.173,33.255,MS,1.669,38.396,6.886,270.023
45,02/01/2019 20:00,0.08498,0.04446,0.12949,0.954,0.00066,MS,MS,16.475,3.658,66.286,0.411,30.709,0.00069,0.04182,0.04298,0.08481,0.577,-0.00013,14.994,3.354,73.126,0.7,163.725,0.119,3.223,3.33,0.136,36.98,MS,0.391,38.525,15.341,274.868
46,02/01/2019 21:00,0.08026,0.04662,0.12687,0.804,0.00122,MS,MS,12.342,3.798,65.176,6.341,202.015,0.00047,0.02398,0.04291,0.06689,0.532,0.0005,13.563,3.857,68.013,3.285,239.886,0.102,2.081,2.17,0.129,37.506,MS,0.484,42.048,13.438,284.335
47,02/01/2019 22:00,0.00278,0.01879,0.02155,0.214,0.02167,MS,MS,1.628,7.259,45.8,10.069,245.847,0.00019,0.00384,0.0365,0.04034,0.348,0.00309,7.043,3.103,69.274,0.552,261.963,0.072,2.168,2.229,0.132,37.179,MS,0.347,44.525,15.524,289.3
48,02/01/2019 23:00,0.00994,0.02497,0.0349,0.156,0.01809,MS,MS,5.321,7.893,41.955,12.337,269.514,0.00021,0.00497,0.03097,0.03594,0.295,0.00751,4.073,3.436,65.89,2.049,238.815,0.06,2.042,2.091,0.126,36.864,MS,0.373,44.198,16.998,307.443
49,03/01/2019 0:00,0.00023,0.00603,0.00625,0.136,0.03194,MS,MS,0.535,7.056,44.631,13.184,311.292,0.00026,0.00689,0.04011,0.047,0.339,0.00331,2.965,5.081,54.635,3.941,238.265,0.056,2.019,2.064,0.127,36.59,MS,0.467,41.938,16.209,311.741
50,03/01/2019 1:00,0.00066,0.01073,0.01138,0.14,0.02757,MS,MS,0.78,7.025,42.506,5.429,334.75,0.0003,0.00197,0.03223,0.0342,0.296,0.00826,1.553,4.22,56.198,1.237,290.31,0.046,1.58,1.617,0.126,36.765,MS,0.262,41.091,14.253,291.971
51,03/01/2019 2:00,0.02134,0.02535,0.04665,0.216,0.01629,MS,MS,2.429,4.946,51.454,2.476,296.43,Z,Z,Z,Z,Z,Z,1.844,1.254,70.915,2.679,112.538,0.045,1.678,1.715,0.123,36.42,MS,0.16,41.302,4.698,280.644
52,03/01/2019 3:00,0.0471,0.04383,0.09094,0.401,0.00098,MS,MS,5.807,1.315,70.54,1.573,239.057,0.00002,0.00453,0.02566,0.0302,0.229,0.00869,1.692,0.497,76.181,3.987,98.954,0.329,7.137,7.457,0.137,32.096,MS,0.229,44.198,3.782,122.967
53,03/01/2019 4:00,0.05207,0.04203,0.09409,0.412,0.00061,MS,MS,6.035,0.28,77.999,2.383,181.767,-0.00004,0.00477,0.02427,0.02905,0.179,0.00949,1.1,0.024,76.42,3.24,140.339,0.148,4.092,4.231,0.127,34.485,MS,0.081,42.961,4.218,330.767
54,03/01/2019 5:00,0.04322,0.04048,0.08372,0.347,0.00048,MS,MS,4.676,-0.142,78.483,3.583,173.487,-0.00008,0.00062,0.01664,0.01725,0.149,0.0151,0.455,-0.195,76.543,2.638,111.972,0.134,2.883,3.009,0.12,34.728,MS,0.046,45.79,12.537,314.589
55,03/01/2019 6:00,0.04229,0.04076,0.08306,0.323,0.00054,MS,MS,4.245,-1.334,83.095,0.555,224.006,0.00013,0.01717,0.03273,0.04989,0.224,0.00353,1.586,-0.963,81.003,0.817,204.954,0.193,7.324,7.508,0.149,30.254,MS,0.156,50.362,6.569,268.602
56,03/01/2019 7:00,0.08046,0.04138,0.12184,0.487,0.00058,MS,MS,6.943,-1.63,86.652,1.694,20.509,0.00048,0.05917,0.04205,0.10121,0.435,-0.00016,4.666,-1.202,83.422,3.167,328.78,0.826,20.056,20.872,0.201,17.094,MS,0.922,55.509,3.901,199.281
57,03/01/2019 8:00,Z,Z,Z,Z,Z,MS,MS,9.631,-1.604,85.852,1.65,344.436,0.00105,0.117,0.04975,0.16674,0.646,0.00004,12.442,-1.063,84.051,2.628,324.927,11.064,38.835,49.889,0.381,0.821,MS,2.459,64.177,1.678,64.15
58,03/01/2019 9:00,C,C,C,C,0.00085,MS,MS,11.329,-1.948,88.358,0.477,344.358,0.00083,0.09246,0.04683,0.1393,0.788,0.00015,8.841,-0.933,83.131,2.65,300.299,26.51,39.229,65.729,0.537,0.802,MS,3.064,69.613,1.997,321.207
59,03/01/2019 10:00,C,C,C,C,0.00187,MS,MS,19.913,-1.61,87.213,0.653,317.381,0.0011,0.11887,0.05148,0.17034,0.766,0.0012,13.285,-0.441,80.722,2.914,304.337,38.298,37.852,76.14,0.52,3.522,MS,3.906,68.431,1.495,240.843
60,03/01/2019 11:00,C,C,C,C,0.00309,MS,MS,18.433,1.958,72.727,1.636,316.799,0.00146,0.14296,0.05571,0.19869,0.923,0.00321,19.356,1.909,70.983,4.827,313.358,49.961,37.71,87.66,0.508,6.74,MS,5.922,54.517,1.897,165.604
61,03/01/2019 12:00,C,C,C,C,0.0069,MS,MS,16.059,5.321,59.078,1.57,154.793,0.00092,0.05312,0.03567,0.08878,0.548,0.00915,7.343,4.83,57.324,4.781,229.639,25.447,26.046,51.481,0.325,15.477,MS,3.24,46.355,3.399,156.579
62,03/01/2019 13:00,C,C,C,0.381,C,MS,MS,C,7.234,47.585,3.23,150.019,0.00112,0.02844,0.03083,0.05928,0.383,0.01336,6.344,7.363,48.754,0.802,135.672,3.321,7.686,10.995,0.189,29.831,MS,1.289,39.822,4.029,231.195
63,03/01/2019 14:00,C,C,C,0.2,C,MS,MS,C,8.77,42.415,1.68,82.749,0.00112,0.02737,0.03,0.05737,0.308,0.0138,6.158,8.732,44.675,4.263,82.732,8.94,16.887,25.815,0.266,23.356,MS,4.56,40.955,6.338,144.617
64,03/01/2019 15:00,0.00514,0.01371,0.01885,0.044,C,MS,MS,2.725,8.26,42.69,4.994,98.38,0.00085,0.03019,0.03423,0.06442,0.315,0.00999,6.658,7.541,49.012,5.417,80.79,6.537,17.36,23.885,0.255,22.984,MS,4.196,39.582,6.212,90.986
65,03/01/2019 16:00,0.00429,0.01717,0.02146,0.097,C,MS,MS,3.33,7.531,45.496,10.105,64.987,0.00063,0.02212,0.03454,0.05666,0.315,0.00885,6.877,7.156,49.556,8.86,53.332,3.774,16.391,20.146,0.253,21.931,MS,3.091,41.326,6.716,57.369
66,03/01/2019 17:00,0.00678,0.03084,0.03761,0.182,0.00751,MS,MS,6.042,5.399,58.465,6.738,52.168,0.00043,0.00738,0.03165,0.03903,0.27,0.00894,5.74,5.685,55.785,8.518,34.555,9.246,27.678,36.935,0.418,9.987,MS,4.999,50.642,2.218,103.093
67,03/01/2019 18:00,0.00888,0.03443,0.0433,0.242,0.00225,MS,MS,6.982,3.836,64.85,1.87,114.672,0.00029,0.00191,0.02709,0.029,0.24,0.01066,3.609,4.66,59.5,3.375,109.609,22.7,36.932,59.667,0.547,0.666,MS,7.843,62.964,2.024,99.713
68,03/01/2019 19:00,0.01685,0.03428,0.05111,0.283,0.00135,MS,MS,6.039,2.158,73.618,0.584,130.978,0.00032,0.02378,0.03923,0.06302,0.438,0.0009,8.685,3.12,70.078,0.63,228.431,36.66,37.306,73.931,0.641,0.691,MS,8.868,69.306,0.658,304.518
69,03/01/2019 20:00,0.03419,0.03338,0.06757,0.449,0.00065,MS,MS,8.739,0.645,81.837,0.909,351.042,0.00057,0.05392,0.04276,0.09669,0.536,-0.00004,9.893,1.67,79.651,0.54,50.461,51.957,37.147,89.071,0.735,0.799,MS,9.814,74.446,1.759,202.864
70,03/01/2019 21:00,0.05432,0.0349,0.08921,0.557,0.00076,MS,MS,9.617,-0.028,84.607,0.221,105.095,0.00086,0.07534,0.045,0.12038,0.542,0.00007,13.304,0.794,85.581,1.75,347.227,31.475,39.277,70.74,0.504,0.722,MS,7.338,70.612,2.755,231.879
71,03/01/2019 22:00,0.08081,0.03599,0.1168,0.716,0.00077,MS,MS,11.295,-0.842,88.093,0.666,60.693,0.00117,0.09564,0.04756,0.14321,0.642,0.0003,19.72,0.422,88.033,2.833,304.808,18.189,36.038,54.222,0.418,2.688,MS,3.721,68.883,2.193,236.822
72,03/01/2019 23:00,0.08641,0.03445,0.12086,0.802,0.00072,MS,MS,12.372,-1.635,91.54,0.706,57.187,0.00087,0.07581,0.04216,0.11794,0.702,0.00074,16.374,-0.377,88.767,1.779,145.295,13.602,35.886,49.498,0.387,2.071,MS,3.008,69.409,1.344,198.947
73,04/01/2019 0:00,0.09743,0.03821,0.13566,0.76,0.00098,MS,MS,14.955,-1.663,90.435,0.909,226.8,0.0008,0.08432,0.04286,0.12721,0.679,0.00033,15.758,-0.797,91.811,2.485,7.251,17.385,37.358,54.714,0.457,1.007,MS,2.622,69.158,1.003,91.621
74,04/01/2019 1:00,0.11921,0.04154,0.1608,0.79,0.00094,MS,MS,18.1,-2.052,91.992,1.111,337.466,0.00088,0.08403,0.0428,0.12683,0.546,0.00022,13.638,-1.369,92.283,1.159,337.297,37.062,38.218,75.263,0.621,0.741,MS,11.92,75.835,0.868,41.144
75,04/01/2019 2:00,0.14468,0.04233,0.18701,0.853,0.00077,MS,MS,17.891,-2.61,94.666,1.358,9.473,Z,Z,Z,Z,Z,Z,17.183,-2.059,95.321,2.005,310.6,40.762,38.51,79.248,0.599,0.761,MS,14.575,80.425,1.492,320.271
76,04/01/2019 3:00,0.13119,0.038,0.16918,0.907,0.00064,MS,MS,14.881,-2.799,95.62,0.689,64.786,0.00142,0.12648,0.0515,0.17798,0.767,0.00053,23.817,-1.959,95.864,0.894,23.444,32.488,36.569,69.04,0.503,0.696,MS,8.324,80.117,1.464,277.546
77,04/01/2019 4:00,0.12737,0.03526,0.16265,0.989,0.00059,MS,MS,12.578,-2.813,96.442,1.69,353.507,0.00109,0.10807,0.04624,0.1543,0.723,0.00041,16.55,-1.75,92.989,1.349,308.413,19.515,34.487,53.985,0.412,0.717,MS,3.478,79.42,1.467,315.322
78,04/01/2019 5:00,0.1138,0.03747,0.15126,1.064,0.00082,MS,MS,10.559,-2.714,94.924,1.425,46.489,0.00113,0.11235,0.0481,0.16043,0.817,0.00045,13.077,-1.35,91.577,2.88,270.107,21.103,34.156,55.243,0.376,0.571,MS,2.357,80.313,0.718,355.837
79,04/01/2019 6:00,0.14528,0.04206,0.18738,1.043,0.0008,MS,MS,10.32,-2.859,94.973,0.377,20.533,0.00054,0.05344,0.03906,0.09248,0.519,0.00544,4.727,1.086,79.695,5.473,197.27,10.243,22.564,32.791,0.243,14.548,MS,0.067,64.876,7.393,274.538
80,04/01/2019 7:00,0.12393,0.04068,0.1646,0.925,0.0007,MS,MS,8.619,-2.393,93.179,2.891,90.998,0.00025,0.00036,0.01613,0.01649,0.178,0.02564,-0.101,5.008,53.906,6.469,210.905,0.01,2.454,2.449,0.13,39.419,MS,-0.792,44.049,13.652,267.654
81,04/01/2019 8:00,0.02054,0.0231,0.04364,0.321,0.02013,MS,MS,2.131,3.99,59.051,9.945,243.714,0.00032,0.00028,0.00462,0.00489,0.136,0.03539,-0.538,6.495,49.736,21.945,236.913,0.353,3.491,3.829,0.135,37.781,MS,0.302,43.135,18.139,252.279
82,04/01/2019 9:00,0.00105,0.00945,0.01051,0.167,0.02842,MS,MS,0.731,5.351,53.52,16.989,241.762,0.00018,0.00055,0.0048,0.00535,0.137,0.03443,-0.51,5.947,53.284,24.894,232.401,0.598,4.512,5.096,0.134,35.929,MS,0.779,49.75,19.767,238.8
83,04/01/2019 10:00,0.00126,0.00634,0.0076,0.181,0.03294,MS,MS,1.448,5.512,54.431,27.556,227.423,0.0003,0.00075,0.00402,0.00476,0.134,0.03451,-0.109,5.609,56.468,27.384,228.035,0.961,3.989,4.937,0.15,36.115,MS,1.407,52.041,25.17,238.069
84,04/01/2019 11:00,0.00141,0.00425,0.00566,0.175,0.03508,MS,MS,0.94,6.156,52.937,29.706,230.827,0.0003,0.00089,0.00294,0.00383,0.135,0.03568,0.484,6.42,53.105,32.931,229.944,0.663,2.184,2.834,0.143,37.441,MS,1.08,48.494,33.132,245.301
85,04/01/2019 12:00,0.00287,0.00622,0.0091,0.16,0.03399,MS,MS,1.334,7.265,45.763,22.017,244.168,0.00017,0.00097,0.00264,0.00361,0.129,0.03678,0.661,7.654,43.698,33.217,233.106,0.4,1.306,1.694,0.132,39.009,MS,0.785,39.171,27.377,253.945
86,04/01/2019 13:00,0.00172,0.00418,0.0059,0.141,0.03788,MS,MS,0.896,8.583,32.251,21.675,253.599,0.00027,0.00089,0.00236,0.00325,0.13,0.03785,0.504,8.24,37.828,29.705,239.474,0.27,1.036,1.294,0.128,40.555,MS,0.843,30.581,24.721,263.993
87,04/01/2019 14:00,0.003,0.00656,0.00957,0.13,0.03504,MS,MS,0.745,8.546,32.482,19.265,264.404,0.00018,0.00138,0.00237,0.00375,0.127,0.03827,1.843,8.692,32.816,26.57,259.068,0.318,1.248,1.555,0.129,40.306,MS,1.135,27.593,20.2,270.466
88,04/01/2019 15:00,0.00184,0.00535,0.0072,0.134,0.03666,MS,MS,0.674,8.703,29.952,18.191,279.737,0.00095,0.00264,0.00382,0.00645,0.136,0.03767,13.494,8.839,30.673,21.605,266.442,0.267,1.298,1.555,0.129,40.768,MS,1.023,27.737,21.9,283.793
