,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2023 0:00,0.15478,0.04829,0.20307,1.599,0.00132,MS,MS,28.42,-4.162,99.947,0.275,140.064,0.00024,0.01249,0.03468,0.04717,0.489,0.00533,20.672,-3.839,76.064,4.291,250.43,6.544,30.58,37.11,0.403,8.128,MS,12.769,68.238,5.341,322.137
2,01/01/2023 1:00,0.15222,0.04595,0.19817,1.618,0.00091,MS,MS,28.342,-4.37,99.828,0.304,324.99,0.00025,0.01014,0.03701,0.04715,0.478,0.0029,17.441,-3.764,74.813,5.176,269.088,0.47,20.515,20.971,0.242,15.506,MS,4.363,65.151,6.57,298.177
3,01/01/2023 2:00,0.10736,0.04348,0.15084,1.114,0.00109,MS,MS,27.075,-4.471,99.81,0.521,219.884,Z,Z,Z,Z,Z,Z,13.813,-3.387,74.196,5.672,254.656,0.486,22.218,22.687,0.214,15.187,MS,3.431,63.576,5.631,300.717
4,01/01/2023 3:00,0.08525,0.04049,0.12573,0.915,0.00063,MS,MS,21.228,-4.108,99.871,1.006,32.104,0.00044,0.01896,0.03656,0.05559,0.401,0.00309,9.756,-3.747,81.263,2.835,73.747,0.547,22.922,23.451,0.21,15.204,MS,2.014,64.104,4.544,302.386
5,01/01/2023 4:00,Z,Z,Z,Z,Z,MS,MS,19.188,-4.034,99.949,2.087,239.421,0.00067,0.05409,0.04454,0.09862,0.556,0.00142,12.585,-3.836,89.348,1.92,268.4,Z,Z,Z,Z,Z,MS,1.533,64.015,1.76,309.399
6,01/01/2023 5:00,0.08173,0.03956,0.12129,0.736,0.0009,MS,MS,19.892,-4.675,99.841,0.759,205.729,0.00051,0.03613,0.04065,0.07676,0.458,0.00116,9.956,-3.976,90.524,2.292,233.002,1.352,26.955,28.288,0.237,11.151,MS,1.457,67.372,1.505,317.637
7,01/01/2023 6:00,0.0798,0.0373,0.11711,0.758,0.00085,MS,MS,17.957,-4.972,99.715,0.585,62.627,0.00049,0.02237,0.03806,0.06042,0.344,0.00097,7.029,-3.973,88.422,2.474,257.322,3.531,32.759,36.276,0.388,6.465,MS,1.132,71.185,2.853,302.607
8,01/01/2023 7:00,0.08466,0.03671,0.12137,0.801,0.00084,MS,MS,16.215,-5.802,99.7,0.22,15.605,0.00041,0.02141,0.03829,0.0597,0.345,0.0009,5.555,-4.122,92.139,3.244,273.788,6,34.625,40.601,0.297,4.971,MS,1.166,71.636,1.655,311.005
9,01/01/2023 8:00,0.08373,0.03508,0.11881,0.768,0.00078,MS,MS,12.671,-6.759,99.679,0.574,9.276,0.00041,0.0241,0.03943,0.06354,0.337,0.00097,4.508,-4.612,95.709,3.911,269.967,12.646,37.18,49.81,0.362,1.956,MS,1.265,77.457,2.151,319.839
10,01/01/2023 9:00,0.08083,0.0342,0.11505,0.755,0.00054,MS,MS,9.277,-7.608,99.613,0.822,37.717,0.00043,0.02649,0.0394,0.0659,0.334,0.00146,4.026,-5.048,100.087,4.526,268.709,9.325,32.738,42.046,0.257,4.709,MS,1.401,78.429,3.106,295.125
11,01/01/2023 10:00,0.09343,0.03398,0.12742,0.812,0.00135,MS,MS,9.326,-7.141,99.599,0.312,53.941,0.00053,0.01687,0.02776,0.04466,0.278,0.00868,3.375,-4.872,92.793,3.086,283.558,5.471,18.223,23.679,0.202,15.763,MS,0.799,74.592,6.277,304.12
12,01/01/2023 11:00,0.09329,0.03509,0.12837,0.774,0.0035,MS,MS,9.349,-4.416,99.686,0.872,356.386,0.00066,0.0071,0.01321,0.02031,0.214,0.02109,2.667,-3.452,72.875,7.247,278.396,6.008,11.568,17.56,0.172,22.92,MS,1.559,67.755,8.889,301.015
13,01/01/2023 12:00,0.07977,0.03595,0.11571,0.501,0.00664,MS,MS,8.321,-1.17,77.197,0.416,302.624,0.00105,0.00783,0.01195,0.01978,0.219,0.02461,2.573,-0.955,57.756,5.791,276.597,5.969,9.226,15.18,0.178,26.035,MS,1.603,60.564,6.271,302.884
14,01/01/2023 13:00,0.05225,0.02939,0.08159,0.378,0.01064,MS,MS,7.737,1.637,52.678,1.102,295.831,0.0016,0.00721,0.01086,0.01807,0.219,0.02634,3.138,1.227,50.054,4.503,273.882,7.16,9.262,16.406,0.177,25.044,MS,1.908,57.351,7.532,306.025
15,01/01/2023 14:00,0.01988,0.01994,0.03982,0.299,0.01692,MS,MS,5.887,3.054,45.68,1.973,256.014,0.00137,0.00804,0.01357,0.02162,0.236,0.02498,4.261,3.808,41.583,1.479,261.955,5.384,8.224,13.593,0.183,27.933,MS,1.992,48.267,5.671,310.001
16,01/01/2023 15:00,0.01762,0.02296,0.04057,0.29,0.01367,MS,MS,6.367,3.066,45.236,0.564,211.537,0.0012,0.00627,0.01506,0.02133,0.24,0.02519,4.498,4.033,40.921,1.248,344.043,5.341,11.853,17.179,0.225,24.968,MS,3.776,49.026,5.561,290.624
17,01/01/2023 16:00,0.01725,0.02774,0.04499,0.329,0.01036,MS,MS,8.004,3.525,44.269,1.31,228.824,0.00092,0.00905,0.02181,0.03086,0.294,0.01455,5.474,2.903,45.385,1.641,169.581,3.207,11.863,15.055,0.216,25.852,MS,2.65,46.937,4.546,310.034
18,01/01/2023 17:00,0.01062,0.03141,0.04202,0.348,0.0047,MS,MS,11.221,-0.096,58.006,2.202,192.456,0.00071,0.01029,0.03257,0.04286,0.309,0.00771,6.746,0.3,54.072,2.473,222.234,5.831,23.939,29.756,0.304,13.143,MS,3.352,56.546,2.691,314.717
19,01/01/2023 18:00,0.03041,0.03645,0.06686,0.561,0.00091,MS,MS,14.031,-2.635,75.924,0.669,329.777,0.00045,0.00448,0.03413,0.03862,0.38,0.00411,7.828,-1.981,63.965,2.672,241.403,10.997,36.097,47.08,0.356,2.769,MS,5.331,67.361,3.27,310.012
20,01/01/2023 19:00,0.05372,0.03742,0.09115,0.759,0.00088,MS,MS,16.106,-4.145,87.378,0.369,81.871,0.00046,0.01799,0.03794,0.05593,0.439,0.00218,9.184,-2.744,67.939,2.354,261.762,12.63,36.597,49.214,0.397,3.196,MS,7.808,67.74,4.246,317.501
21,01/01/2023 20:00,0.07892,0.03841,0.11734,0.961,0.00084,MS,MS,17.76,-5.616,99.867,0.927,181.987,0.00045,0.02574,0.03967,0.06541,0.561,0.00142,11.571,-3.754,74.006,5.079,271.281,8.66,34.094,42.741,0.391,7.529,MS,6.396,67.263,4.635,317.788
22,01/01/2023 21:00,0.07763,0.03747,0.11511,0.865,0.00138,MS,MS,20.655,-6.035,99.744,0.833,160.354,0.00029,0.01092,0.03274,0.04366,0.4,0.00643,10.131,-3.832,71.082,8.093,270.073,0.44,18.413,18.84,0.233,22.04,MS,3.583,57.6,5.421,311.295
23,01/01/2023 22:00,0.0596,0.03409,0.09369,0.757,0.00169,MS,MS,19.157,-6.664,99.717,1.583,191.507,0.00031,0.01653,0.03632,0.05285,0.463,0.00374,12.023,-4.814,72.975,5.697,274.364,1.043,25.056,26.088,0.28,16.15,MS,4.466,60.695,5.487,309.109
24,01/01/2023 23:00,0.0504,0.03337,0.08377,0.634,0.00168,MS,MS,16.554,-7.834,99.7,0.449,200.32,0.00018,0.00909,0.03605,0.04514,0.374,0.00346,8.3,-5.805,72.733,3.797,268.46,0.772,23.494,24.254,0.254,15.897,MS,2.904,62.386,6.839,308.549
25,02/01/2023 0:00,0.06133,0.03467,0.096,0.675,0.00152,MS,MS,15.174,-8.248,99.7,0.657,4.897,0.00017,0.01227,0.03538,0.04765,0.365,0.00404,6.294,-6.574,74.155,4.56,279.542,0.638,26.588,27.215,0.261,12.521,MS,2.106,67.036,3.641,307.457
26,02/01/2023 1:00,0.07783,0.03552,0.11335,0.757,0.0015,MS,MS,17.139,-9.022,99.7,0.894,357.69,0.00013,0.00411,0.03231,0.03641,0.326,0.00723,5.205,-6.546,69.716,5.037,278.511,1.295,23.564,24.859,0.225,15.11,MS,1.632,67.179,5.285,310.195
27,02/01/2023 2:00,0.08378,0.03449,0.11828,0.778,0.00144,MS,MS,17.012,-9.334,99.686,0.409,327.775,Z,Z,Z,Z,Z,Z,3.816,-6.873,67.263,6.306,268.785,0.402,19.261,19.656,0.172,17.834,MS,1.018,68.96,6.909,302.26
28,02/01/2023 3:00,0.08812,0.03651,0.12463,0.77,0.001,MS,MS,15.064,-9.796,99.676,1.255,345.48,0.00014,0.00178,0.02192,0.0237,0.2,0.0166,2.741,-7.154,65.412,7.214,270.279,0.179,12.575,12.747,0.154,24.538,MS,0.235,65.618,7.949,308.906
29,02/01/2023 4:00,Z,Z,Z,Z,Z,MS,MS,8.442,-9.567,99.687,0.957,149.316,0.00013,0.00117,0.01811,0.01928,0.181,0.01972,2.201,-7.403,66.528,7.407,261.863,Z,Z,Z,Z,Z,MS,-0.212,63.506,7.107,306.613
30,02/01/2023 5:00,0.04195,0.036,0.07795,0.453,0.00063,MS,MS,7.176,-9.498,99.684,1.069,188.909,0.00016,0.00375,0.02892,0.03267,0.221,0.01036,2.557,-7.848,71.901,6.298,265.147,0.276,15.406,15.672,0.16,22.698,MS,-0.082,66.052,6.616,295.866
31,02/01/2023 6:00,0.04435,0.03719,0.08154,0.422,0.00065,MS,MS,6.22,-8.922,99.694,2.264,139.158,0.0002,0.00327,0.02832,0.03159,0.202,0.01074,1.927,-7.914,73.459,5.602,252.885,0.277,14.544,14.811,0.159,23.801,MS,0.262,65.941,7.305,301.647
32,02/01/2023 7:00,0.03063,0.03636,0.06699,0.347,0.00149,MS,MS,6.301,-8.91,99.719,1.119,181.53,0.00021,0.00448,0.02883,0.03331,0.203,0.01041,1.691,-8.223,75.64,6.767,260.518,0.288,13.162,13.44,0.171,25.095,MS,0.543,65.582,8.037,295.693
33,02/01/2023 8:00,0.01353,0.03389,0.04742,0.294,0.00325,MS,MS,4.776,-7.797,99.739,1.927,8.649,0.00039,0.00604,0.03154,0.03757,0.238,0.00837,2.201,-7.786,76.344,8.141,275.866,0.353,13.513,13.856,0.172,24.743,MS,0.381,66.33,8.705,300.01
34,02/01/2023 9:00,0.0016,0.02497,0.02657,0.224,0.0093,MS,MS,2.513,-6.664,99.857,1.042,350.737,0.00046,0.00462,0.02903,0.03366,0.231,0.00968,2.244,-7.251,74.525,5.291,260.893,0.581,14.292,14.864,0.185,24.204,MS,0.317,65.965,8.49,302.555
35,02/01/2023 10:00,0.01955,0.02648,0.04605,0.32,0.00923,MS,MS,6.084,-6.491,98.536,2.265,164.966,0.00038,0.01049,0.02395,0.03446,0.233,0.01485,2.185,-7.314,72.474,6.207,251.255,2.529,13.812,16.332,0.178,25.19,MS,0.468,63.011,8.43,310.751
36,02/01/2023 11:00,0.04182,0.03081,0.07263,0.398,0.00905,MS,MS,8.352,-3.944,80.927,0.28,259.242,0.00059,0.01079,0.01805,0.02885,0.242,0.02113,2.395,-5.42,64.485,6.775,268.386,3.126,8.52,11.636,0.164,30.014,MS,1.529,58.771,10.14,306.223
37,02/01/2023 12:00,0.01683,0.01851,0.03532,0.285,0.01927,MS,MS,5.407,-1.013,59.807,2.323,315.462,0.00194,0.00723,0.0115,0.01874,0.191,0.02679,3.295,-2.799,54.891,9.031,270.456,3.582,7.022,10.596,0.165,31.571,MS,0.958,55.217,9.326,311.275
38,02/01/2023 13:00,0.02915,0.02501,0.05417,0.293,0.01539,MS,MS,5.846,1.496,42.109,0.431,266.874,0.00192,0.00601,0.00976,0.01577,0.198,0.02873,3.854,-1.121,48.616,6.696,272.868,4.02,6.984,10.995,0.179,32.091,MS,2.393,51.653,7.465,300.798
39,02/01/2023 14:00,0.04191,0.03062,0.07254,0.31,0.01215,MS,MS,9.448,2.726,38.674,0.747,239.156,0.00207,0.00861,0.01322,0.02183,0.245,0.02563,5.871,1.171,42.034,1.521,191.525,5.131,8.907,14.03,0.202,30.918,MS,3.462,47.859,6.121,304.24
40,02/01/2023 15:00,0.02052,0.02496,0.04546,0.42,0.01579,MS,MS,18.176,2.28,41.023,2.837,200.151,0.00082,0.01271,0.01954,0.03225,0.291,0.01975,10.8,1.241,43.128,3.583,135.006,4.848,10.264,15.103,0.232,29.837,MS,3.66,44.797,3.83,295.726
41,02/01/2023 16:00,0.01816,0.03062,0.04877,0.469,0.01093,MS,MS,16.579,1.27,44.399,4.342,185.902,0.00067,0.01222,0.02478,0.037,0.296,0.01402,9.373,0.029,48.772,2.523,134.93,4.804,15.83,20.624,0.264,24.897,MS,3.908,45.003,3.307,281.767
42,02/01/2023 17:00,0.01276,0.03694,0.04969,0.442,0.0052,MS,MS,16.121,-0.213,49.292,2.204,166.727,0.00029,0.01077,0.03237,0.04314,0.309,0.00604,9.109,-3.164,57.425,2.493,126.375,11.435,31.965,43.391,0.386,9.616,MS,6.259,54.085,1.53,298.345
43,02/01/2023 18:00,0.03937,0.04403,0.08339,0.76,0.00121,MS,MS,14.587,-2.419,59.848,2.11,141.722,0.00022,0.02852,0.03873,0.06725,0.346,0.00032,9.182,-5.846,70.5,3.483,114.216,13.37,39.734,53.113,0.43,3.147,MS,8.536,63.815,1.389,325.371
44,02/01/2023 19:00,0.02971,0.04245,0.07215,0.545,0.00124,MS,MS,10.597,-4.26,64.321,1.765,158.337,0.00006,0.00592,0.03278,0.0387,0.302,0.00234,6.065,-7.326,83.423,2.627,122.441,43.454,42.313,85.815,0.699,2.601,MS,13.328,70.116,1.342,264.272
45,02/01/2023 20:00,0.02745,0.04023,0.06768,0.497,0.00073,MS,MS,8.854,-5.768,77.467,1.723,131.625,0.0001,0.01373,0.03481,0.04854,0.316,0.00021,6.277,-7.714,84.216,2.456,130.371,55.994,44.622,100.541,0.751,2.83,MS,14.991,74.826,1.831,299.527
46,02/01/2023 21:00,0.02723,0.03996,0.06719,0.482,0.00076,MS,MS,8.654,-6.899,86.564,0.162,55.127,0.00031,0.02208,0.03725,0.05934,0.375,0.00032,5.884,-7.642,87.434,2.005,264.565,11.357,34.426,45.777,0.365,5.558,MS,7.951,72.609,3.985,306.498
47,02/01/2023 22:00,0.03686,0.03995,0.07682,0.539,0.00067,MS,MS,8.787,-8.269,99.857,0.236,18.721,0.0005,0.05229,0.04146,0.09375,0.548,0.00058,10.638,-7.574,98.962,5.019,264.549,0.958,26.485,27.438,0.24,11.323,MS,3.352,71.413,4.657,315.464
48,02/01/2023 23:00,0.05398,0.03923,0.09321,0.657,0.00067,MS,MS,9.965,-9.191,99.741,0.183,2.245,0.00044,0.04909,0.04107,0.09016,0.506,0.00061,8.985,-8.111,100.1,5.102,267.307,0.381,19.175,19.549,0.196,17.788,MS,2.283,69.952,7.348,309.928
49,03/01/2023 0:00,0.06796,0.03925,0.10722,0.716,0.00073,MS,MS,11.221,-9.442,99.7,0.357,116.416,0.00026,0.0221,0.0367,0.05881,0.364,0.00072,6.804,-8.305,98.689,4.263,253.744,0.307,16.781,17.081,0.173,19.289,MS,1.974,71.173,6.973,311.025
50,03/01/2023 1:00,0.09501,0.03943,0.13444,0.858,0.00118,MS,MS,13.639,-9.966,99.7,0.384,68.676,0.00016,0.0156,0.03511,0.0507,0.348,0.0005,6.386,-8.828,95.427,2.388,219.251,0.222,15.275,15.489,0.175,20.674,MS,1.982,71.228,6.645,319.531
51,03/01/2023 2:00,0.11103,0.03876,0.14979,0.925,0.00118,MS,MS,16.049,-10.473,99.7,0.699,43.274,Z,Z,Z,Z,Z,Z,4.853,-9.057,95.516,4.504,264.794,0.197,14.34,14.528,0.175,22.353,MS,1.48,70.292,7.417,318.535
52,03/01/2023 3:00,0.10147,0.03676,0.13823,0.836,0.00112,MS,MS,14.336,-11.076,99.7,0.265,92.92,0.00017,0.00877,0.03176,0.04053,0.238,0.0057,4.373,-9.235,96.04,5.368,256.184,0.194,13.908,14.095,0.166,22.68,MS,1.179,70.837,7.752,312.241
53,03/01/2023 4:00,Z,Z,Z,Z,Z,MS,MS,13.927,-11.289,99.7,0.36,59.245,0.00016,0.00586,0.02837,0.03423,0.217,0.009,4.98,-9.482,93.915,5.953,256.245,Z,Z,Z,Z,Z,MS,0.91,69.331,7.474,309.835
54,03/01/2023 5:00,0.10172,0.03621,0.13793,0.692,0.00056,MS,MS,15.037,-11.608,99.7,0.758,32.169,0.00031,0.01947,0.03601,0.05548,0.248,0.00481,10.522,-9.53,91.698,5.112,262.438,0.171,12.564,12.731,0.173,25.73,MS,0.531,67.897,6.87,314.498
55,03/01/2023 6:00,0.09261,0.03808,0.13069,0.577,0.00082,MS,MS,16.728,-11.542,99.7,1.62,172.791,0.00026,0.01409,0.03525,0.04934,0.277,0.00432,16.735,-9.36,90.603,3.839,239.868,0.24,12.832,13.071,0.181,26.513,MS,0.414,66.815,8.043,312.584
56,03/01/2023 7:00,0.08253,0.03776,0.12028,0.551,0.00083,MS,MS,17.854,-11.438,99.7,0.774,188.417,0.00024,0.0049,0.02885,0.03375,0.293,0.00881,19.486,-9.837,87.518,5.779,248.411,0.435,16.362,16.797,0.192,24.976,MS,0.443,65.255,6.136,284.59
57,03/01/2023 8:00,0.09701,0.05469,0.1517,0.657,0.00099,MS,MS,17.579,-11.177,99.7,0.309,97.784,0.00034,0.01497,0.03648,0.05145,0.409,0.00369,29.261,-9.547,84.889,6.216,263.139,0.296,16.351,16.649,0.2,25.441,MS,0.378,64.696,7.556,311.014
58,03/01/2023 9:00,0.09242,0.04278,0.13519,0.652,0.00084,MS,MS,21.708,-11.258,99.7,2.428,203.521,0.00057,0.02289,0.03922,0.06211,0.429,0.00354,20.488,-8.78,80.883,7.502,266.485,0.417,12.765,13.188,0.185,28.875,MS,0.334,63.052,10.121,306.893
59,03/01/2023 10:00,0.12979,0.05571,0.1855,0.907,0.00348,MS,MS,34.595,-9.171,99.655,0,0,0.00085,0.02831,0.03538,0.06368,0.422,0.00756,20.8,-7.89,73.069,6.288,263.495,2.094,12.866,14.967,0.176,29.384,MS,0.34,60.815,9.091,308.322
60,03/01/2023 11:00,0.09701,0.04592,0.14293,0.713,0.00646,MS,MS,20.897,-5.696,99.6,2.842,337.735,0.00075,0.02681,0.02992,0.05673,0.423,0.01339,14.495,-6.532,66.131,6.509,259.04,3.05,9.067,12.127,0.168,33.573,MS,0.991,54.717,10.207,306.145
61,03/01/2023 12:00,0.0671,0.0391,0.1062,0.58,0.01223,MS,MS,13.059,-1.856,92.439,2.89,319.55,0.00133,0.02568,0.02608,0.05176,0.341,0.01847,8.681,-3.592,56.914,8.636,267.809,3.167,7.562,10.741,0.175,36.308,MS,1.6,48.451,10.145,298.729
62,03/01/2023 13:00,0.01398,0.01825,0.03223,0.254,0.02407,MS,MS,7.081,1.371,42.228,3.047,294.912,0.00194,0.01676,0.02136,0.03812,0.289,0.02308,8.259,-1.069,48.521,8.063,260.342,2.846,6.668,9.531,0.172,37.515,MS,2.174,44.948,9.525,307.601
63,03/01/2023 14:00,0.00944,0.01598,0.02542,0.25,0.0254,MS,MS,7.684,1.82,39.81,6.364,335.288,0.00199,0.01892,0.02598,0.0449,0.311,0.02062,8.975,0.45,43.457,6.749,274.144,4.154,9.529,13.699,0.195,35.174,MS,3.281,42.404,8.931,296.892
64,03/01/2023 15:00,0.03746,0.03245,0.06991,0.464,0.01478,MS,MS,21.195,1.978,41.884,5.996,350.364,0.00243,0.02209,0.02961,0.05168,0.315,0.0175,9.055,2.509,38.543,3.09,276.099,3.705,9.856,13.58,0.219,34.891,MS,4.187,39.543,6.7,293.013
65,03/01/2023 16:00,0.05139,0.04513,0.09652,0.593,0.00604,MS,MS,27.984,1.827,43.785,2.723,13.667,0.00173,0.11151,0.0551,0.16663,0.599,0.00248,22.337,-0.253,49.614,2.994,111.449,3.312,14.789,18.11,0.231,31.132,MS,5.776,37.613,5.03,297.496
66,03/01/2023 17:00,0.08089,0.0526,0.13349,0.822,0.0012,MS,MS,35.408,-0.478,53.856,0.394,304.299,0.001,0.06325,0.04547,0.10872,0.496,0.00093,18.273,-3.17,56.899,1.34,128.08,2.117,21.637,23.772,0.275,25.259,MS,7.688,41.401,6.301,293.881
67,03/01/2023 18:00,0.11817,0.0556,0.17377,1.117,0.00062,MS,MS,33.799,-3.109,67.484,0.675,214.135,0.00092,0.0831,0.0481,0.13119,0.876,0.00035,19.135,-4.329,63.894,0.926,223.791,0.631,29.385,30.037,0.254,17.697,MS,5.753,46.652,6.416,305.159
68,03/01/2023 19:00,0.09441,0.05032,0.14473,1.004,0.00111,MS,MS,26.716,-3.424,72.507,3.292,7.969,0.00119,0.12677,0.05854,0.1853,1.122,0.00076,25.101,-3.991,68.241,4.531,265.468,0.359,20.79,21.179,0.216,23.394,MS,5.979,49.787,6.92,299
69,03/01/2023 20:00,0.00696,0.02814,0.0351,0.323,0.01158,MS,MS,7.334,-2.622,52.158,9.564,336.338,0.00097,0.08502,0.05503,0.14005,0.816,0.00059,20.155,-4.159,66.835,5.196,267.67,0.171,13.487,13.689,0.186,28.116,MS,4.41,51.945,7.271,298.37
70,03/01/2023 21:00,-0.00006,0.01176,0.0117,0.179,0.02518,MS,MS,4.176,-2.475,48.524,15.376,334.411,0.00103,0.03046,0.04288,0.07334,0.387,0.00369,7.324,-4.183,58.252,4.477,309.338,0.229,13.735,13.997,0.172,26.885,MS,3.551,53.339,8.263,296.894
71,03/01/2023 22:00,-0.00006,0.00918,0.00912,0.171,0.02745,MS,MS,3.283,-2.915,48.652,17.006,330.168,0.00174,0.00268,0.02184,0.02452,0.164,0.01858,3.378,-3.484,51.477,8.752,323.842,0.143,7.045,7.224,0.16,32.797,MS,1.779,53.33,11.784,304.479
72,03/01/2023 23:00,0.0001,0.00925,0.00935,0.159,0.02736,MS,MS,3.05,-3.455,49.034,13.007,329.19,0.00188,0.0007,0.01386,0.01456,0.154,0.02544,2.957,-3.692,50.85,11.465,325.353,0.107,6.135,6.28,0.15,33.604,MS,1.78,53.572,12.839,304.597
73,04/01/2023 0:00,0.00003,0.00889,0.00892,0.155,0.02774,MS,MS,2.891,-3.822,49.181,11.375,330.236,0.0015,0.00098,0.0161,0.01708,0.181,0.02319,3.032,-4.522,53.909,7.288,311.611,0.075,4.688,4.803,0.143,35.401,MS,0.848,52.55,12.843,311.98
74,04/01/2023 1:00,0.00001,0.00601,0.00602,0.147,0.03101,MS,MS,2.233,-3.727,48.188,15.74,329.28,0.00092,0.00565,0.03473,0.04038,0.262,0.00806,4.653,-5.509,57.614,4.738,284.439,0.064,5.13,5.237,0.145,35.458,MS,0.628,52.346,14.09,316.171
75,04/01/2023 2:00,0.00014,0.00606,0.0062,0.146,0.03089,MS,MS,2.329,-3.924,48.078,16.374,326.345,Z,Z,Z,Z,Z,Z,3.091,-5.336,55.358,6.791,313.665,0.099,7.405,7.549,0.139,33.003,MS,0.583,53.453,14.266,315.512
76,04/01/2023 3:00,0.00022,0.00635,0.00657,0.138,0.03076,MS,MS,2.111,-4.096,47.617,15.25,323.025,0.00143,0.00106,0.01448,0.01554,0.156,0.02517,2.549,-5.032,53.023,9.336,312.154,0.111,5.815,5.973,0.14,34.546,MS,0.381,53.35,16.715,305.064
77,04/01/2023 4:00,Z,Z,Z,Z,Z,MS,MS,2.129,-4.333,48.105,17.932,326.679,0.00096,0.00212,0.02914,0.03126,0.236,0.01142,3.56,-6.996,59.944,2.698,267.992,Z,Z,Z,Z,Z,MS,0.375,54.331,15.449,310.85
78,04/01/2023 5:00,0.00033,0.00817,0.0085,0.141,0.02911,MS,MS,1.898,-4.281,47.613,18.282,323.253,0.00086,0.01356,0.03879,0.05235,0.247,0.00509,3.787,-7.243,62.459,4.856,274.428,0.117,4.976,5.138,0.139,35.261,MS,0.248,53.753,13.776,311.448
79,04/01/2023 6:00,0.0004,0.00856,0.00896,0.142,0.02926,MS,MS,1.872,-4.207,47.347,18.827,319.831,0.00099,0.03119,0.04579,0.07698,0.319,0.00144,4.181,-7.404,61.279,3.878,262.396,0.128,6.89,7.06,0.139,33.909,MS,0.039,53.503,12.513,311.386
80,04/01/2023 7:00,0.00089,0.0155,0.0164,0.157,0.0229,MS,MS,2.075,-4.284,47.572,10.708,322.49,0.00091,0.06607,0.05153,0.1176,0.439,0.00048,5.225,-9.131,70.185,2.814,237.217,0.202,7.78,8.023,0.147,32.931,MS,-0.004,54.982,11.533,297.999
81,04/01/2023 8:00,0.00074,0.01514,0.01588,0.177,0.0226,MS,MS,2.173,-5.053,50.882,10.681,326.336,0.00093,0.08201,0.05161,0.13363,0.63,0.00037,5.765,-9.041,70.15,1.915,249.076,0.308,9.876,10.221,0.177,30.811,MS,0.292,56.925,8.451,278.589
82,04/01/2023 9:00,0.00144,0.01986,0.02131,0.214,0.01787,MS,MS,3.087,-5.488,53.383,10.876,340,0.00086,0.07313,0.05272,0.12585,0.529,0.00073,6.402,-8.771,70.919,6.518,272.949,0.413,11.599,12.048,0.164,29.034,MS,0.609,57.787,10.756,288.929
83,04/01/2023 10:00,0.00319,0.01455,0.01775,0.188,0.024,MS,MS,2.917,-4.458,49.645,13.411,329.727,0.00083,0.05798,0.04435,0.10232,0.521,0.00461,4.809,-8.192,67.999,7.067,266.588,1.506,9.734,11.275,0.162,31.24,MS,0.634,55.726,9.533,301.11
84,04/01/2023 11:00,0.00392,0.00969,0.01361,0.178,0.02934,MS,MS,2.819,-2.98,45.537,12.556,328.09,0.0008,0.03623,0.03452,0.07075,0.42,0.01223,4.658,-6.058,58.607,8.086,272.389,3.385,8.886,12.3,0.168,32.035,MS,1.338,51.943,8.831,295.873
85,04/01/2023 12:00,0.00732,0.01107,0.01839,0.192,0.02794,MS,MS,3.999,-2.019,43.798,8.063,332.299,0.00085,0.01342,0.01803,0.03144,0.234,0.02475,4.693,-3.977,50.091,8.936,264.625,3.572,7.179,10.778,0.167,33.546,MS,1.53,50.082,10.797,295.795
86,04/01/2023 13:00,0.01058,0.01376,0.02434,0.213,0.02583,MS,MS,5.722,-0.845,40.817,3.032,334.118,0.00105,0.0091,0.01378,0.02288,0.203,0.02876,5.256,-2.041,43.472,6.715,269.784,2.976,5.652,8.653,0.172,35.484,MS,3.126,47.004,8.982,293.449
87,04/01/2023 14:00,0.01142,0.01539,0.02681,0.227,0.02517,MS,MS,7.744,-0.06,39.372,3.988,293.256,0.00089,0.01101,0.01639,0.02741,0.222,0.02699,7.657,-0.373,39.327,3.209,290.969,2.509,5.325,7.857,0.17,36.493,MS,2.922,43.333,8.428,295.857
