,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2017 0:00,0.00005,0.00559,0.00569,0.082,0.03167,MS,MS,5.276,-7.456,MS,19.829,53.842,0.00035,0.0002,0.00461,0.00493,0.15,0.03138,5.259,MS,MS,19.116,41.355,0.93,7.623,8.585,0.15,29.501,5.794,5.794,95.83,7.942,59.361
2,01/01/2017 1:00,0.00002,0.00477,0.00488,0.071,0.03507,MS,MS,4.554,-8.591,MS,17.819,42.9,0.00052,0.00021,0.00431,0.00427,0.142,0.03339,5.694,MS,MS,15.974,36.894,0.682,5.271,5.984,0.135,34.906,5.356,5.356,94.523,8.583,46.425
3,01/01/2017 2:00,0.00002,0.00501,0.00512,0.069,0.03279,MS,MS,3.166,-9.102,MS,15.579,34.339,Z,Z,Z,Z,Z,Z,4.961,MS,MS,13.331,32.318,0.912,6.189,7.133,0.122,32.824,4.363,4.363,93.798,8.208,36.602
4,01/01/2017 3:00,0.00002,0.00565,0.00572,0.078,0.03201,MS,MS,2.965,-9.504,MS,15.455,15.377,0.00027,0.00055,0.00679,0.00752,0.155,0.02946,4.068,MS,MS,12.079,55.588,0.68,4.283,4.996,0.135,33.518,2.292,2.292,93.652,9.568,0.32
5,01/01/2017 4:00,0,0.00434,0.00444,0.076,0.03287,MS,MS,2.033,-10.183,MS,16.514,12.02,0.0002,0.00026,0.0055,0.0058,0.152,0.03016,2.822,MS,MS,14.435,73.977,0.67,4.595,5.296,0.127,33.766,1.853,1.853,92.671,9.717,358.766
