6,01/01/2017 5:00,0.00003,0.00427,0.00438,0.073,0.03317,MS,MS,1.858,-10.892,MS,16.113,22.927,0.00022,0.00019,0.00468,0.00478,0.152,0.03068,3.202,MS,MS,11.979,52.786,0.846,4.874,5.751,0.134,31.926,2.887,2.887,92.496,8.175,349.63
7,01/01/2017 6:00,0,0.00585,0.0059,0.076,0.03089,MS,MS,2.886,-11.425,MS,11.643,4.532,0.00017,0.0002,0.00569,0.00583,0.152,0.02966,3.243,MS,MS,8.088,61.804,0.643,5.285,5.958,0.133,31.946,4.876,4.876,90.587,9.229,349.254
8,01/01/2017 7:00,0,0.00653,0.00658,0.077,0.03016,MS,MS,5.007,-11.883,MS,14.085,12.236,0.00048,0.00039,0.00896,0.00937,0.165,0.02658,8.432,MS,MS,4.963,159.466,0.687,6.167,6.883,0.142,30.507,2.744,2.744,90.455,7.464,347.8
9,01/01/2017 8:00,0.00003,0.00922,0.00933,0.089,0.02772,MS,MS,2.721,-11.855,MS,10.55,6.768,0.00073,0.0005,0.01202,0.01253,0.192,0.0235,5.377,MS,MS,2.424,101.709,0.775,6.083,6.886,0.153,31.073,2.325,2.325,91.872,8.072,0.818
10,01/01/2017 9:00,0.0001,0.00697,0.00712,0.08,0.03097,MS,MS,1.588,-11.362,MS,13.785,17.57,0.00043,0.0003,0.00943,0.00985,0.173,0.02588,5.002,MS,MS,6.78,43.737,0.896,5.209,6.131,0.152,32.796,2.038,2.038,90.858,9.231,2.503
11,01/01/2017 10:00,0.00041,0.00514,0.00564,0.078,0.03389,MS,MS,1.439,-11.091,MS,21.706,13.965,0.0003,0.0009,0.00704,0.00817,0.167,0.0299,3.071,MS,MS,7.73,98.653,0.866,3.308,4.2,0.137,35.308,0.574,0.574,88.068,12.09,3.968
12,01/01/2017 11:00,0.00072,0.00348,0.00429,0.059,0.0356,MS,MS,1.129,-11.385,MS,22.077,18.585,0.00022,0.00094,0.00368,0.00463,0.15,0.03411,1.466,MS,MS,15.302,74.531,1.105,3.028,4.159,0.145,35.725,0.143,0.143,86.406,9.94,2.67
13,01/01/2017 12:00,0.001,0.00398,0.00507,0.069,0.03546,MS,MS,1.101,-11.221,MS,19.354,5.001,0.00017,0.00185,0.00618,0.00828,0.164,0.03208,1.455,MS,MS,9.404,158.981,1.151,3.346,4.52,0.146,35.64,0.035,0.035,82.02,9.646,345.037
14,01/01/2017 13:00,0.00108,0.00372,0.0049,0.066,0.03581,MS,MS,1.088,-11.176,MS,17.976,7.356,0.00015,0.00147,0.00477,0.00648,0.153,0.03351,1.424,MS,MS,4.949,172.425,1.168,3.388,4.582,0.14,35.583,0.194,0.194,80.469,9.643,346.428
15,01/01/2017 14:00,0.00079,0.00342,0.00433,0.057,0.03593,MS,MS,1.086,-11.244,MS,14.957,358.78,0.00017,0.00143,0.00468,0.00615,0.167,0.03345,1.639,MS,MS,7.701,104.887,1.514,3.605,5.138,0.181,35.562,0.056,0.056,76.575,8.61,355.86
16,01/01/2017 15:00,0.00104,0.0046,0.00572,0.062,0.03467,MS,MS,1.183,-11.271,MS,11.809,14.665,0.00008,0.00155,0.00577,0.0075,0.173,0.03248,1.671,MS,MS,4.544,25.523,1.316,4.052,5.387,0.147,34.986,0.257,0.257,78.74,7.595,355.334
17,01/01/2017 16:00,0.00077,0.00503,0.00588,0.062,0.03428,MS,MS,1.276,-11.288,MS,11.158,356.882,0.00028,0.00108,0.00628,0.00757,0.171,0.0317,1.602,MS,MS,4.178,14.675,1.078,4.419,5.514,0.151,34.505,0.504,0.504,76.495,7.427,347.343
18,01/01/2017 17:00,0.00018,0.0058,0.00609,0.062,0.03354,MS,MS,1.241,-11.291,MS,9.632,357.717,0.00008,0.00064,0.01088,0.01178,0.179,0.02775,1.822,MS,MS,1.58,76.336,1.3,6.301,7.618,0.159,32.717,0.785,0.785,75.877,6.808,347.575
19,01/01/2017 18:00,0.00002,0.00672,0.00681,0.067,0.03259,MS,MS,1.366,-11.528,MS,10.347,4.388,0.00013,0.00098,0.0167,0.01808,0.196,0.0224,2.285,MS,MS,2.05,335.772,1.07,5.883,6.976,0.169,32.528,1.202,1.202,81.012,8.38,357.218
20,01/01/2017 19:00,0.00012,0.0065,0.00671,0.062,0.0324,MS,MS,1.605,-12.405,MS,13.394,24.238,0.00013,0.00152,0.00986,0.01177,0.173,0.02813,2.08,MS,MS,8.678,38.827,1.029,7.137,8.178,0.168,31.083,1.432,1.432,88.652,6.518,18.929
21,01/01/2017 20:00,0.00011,0.01452,0.01477,0.1,0.02515,MS,MS,1.877,-13.004,MS,6.15,12.788,0.00017,0.00048,0.01327,0.01412,0.228,0.02471,2.447,MS,MS,5.232,48.104,0.758,9.81,10.586,0.187,28.429,2.73,2.73,81.779,3.258,331.656
22,01/01/2017 21:00,0.00014,0.02154,0.02186,0.141,0.01781,MS,MS,1.996,-13.201,MS,2.352,25.527,0.0002,0.00724,0.03575,0.04367,0.313,0.00701,3.317,MS,MS,3.435,312.542,3.467,26.196,29.679,0.284,13.756,11.15,11.15,84.947,3.487,333.685
23,01/01/2017 22:00,0.00083,0.03043,0.03144,0.171,0.00897,MS,MS,2.36,-14.635,MS,1.556,359.669,0.00015,0.00683,0.03411,0.04165,0.363,0.00735,8.167,MS,MS,3.319,286.007,1.836,19.935,21.786,0.22,17.928,5.564,5.564,88.694,5.478,304.516
24,01/01/2017 23:00,0.00317,0.03615,0.03946,0.225,0.00345,MS,MS,3.686,-15.86,MS,2.349,357.386,0.00027,0.02022,0.04223,0.06348,0.44,0.00096,16.062,MS,MS,3.965,258.826,2.017,20.778,22.809,0.201,16.147,4.116,4.116,90.613,6.862,305.816
25,02/01/2017 0:00,0.01535,0.03885,0.05443,0.339,0.0011,MS,MS,4.17,-17.474,MS,0.679,36.376,0.00013,0.01111,0.03853,0.05058,0.346,0.00205,9.741,MS,MS,4.33,265.766,1.677,18.451,20.141,0.247,17.321,5.834,5.834,91.476,7.063,311.518
26,02/01/2017 1:00,0.02846,0.03916,0.06793,0.353,0.00092,MS,MS,5.139,-18.38,MS,2.694,12.333,0.00015,0.0066,0.03529,0.04272,0.318,0.00365,6.335,MS,MS,4.061,270.542,2.115,20.446,22.573,0.232,15.146,4.632,4.632,91.226,5.035,308.388
27,02/01/2017 2:00,0.03352,0.04099,0.07489,0.373,0.00119,MS,MS,8.075,-18.334,MS,3.773,338.964,Z,Z,Z,Z,Z,Z,4.146,MS,MS,3.446,264.56,2.1,19.131,21.242,0.222,15.207,4.409,4.409,90.233,5.678,311.498
28,02/01/2017 3:00,0.04085,0.04191,0.08318,0.392,0.0012,MS,MS,8.247,-19.045,MS,2.266,15.238,0.00017,0.01063,0.03816,0.04975,0.306,0.00057,4.767,MS,MS,3.757,252.409,1.37,15.147,16.527,0.221,17.355,4.33,4.33,89.702,5.183,305.472
29,02/01/2017 4:00,0.04385,0.04179,0.08608,0.408,0.00115,MS,MS,7.176,-19.897,MS,3.296,352.833,0.00027,0.02428,0.04035,0.06558,0.345,-0.00019,5.273,MS,MS,2.574,259.102,1.409,14.415,15.834,0.198,17.051,5.162,5.162,89.703,6.7,310.911
30,02/01/2017 5:00,0.04267,0.04294,0.08603,0.318,0.00109,MS,MS,5.695,-19.778,MS,4.413,345.051,0.00045,0.01875,0.03819,0.0578,0.299,0.00079,3.201,MS,MS,4.122,281.919,3.45,21.395,24.857,0.21,10.722,3.716,3.716,89.371,4.478,314.42
31,02/01/2017 6:00,0.04364,0.04327,0.08734,0.288,0.00103,MS,MS,5.038,-19.511,MS,2.307,350.337,0.00048,0.02907,0.0404,0.07035,0.349,-0.00033,3.682,MS,MS,3.795,268.619,2.069,17.34,19.421,0.193,14.882,3.231,3.231,88.997,5.944,309.007
32,02/01/2017 7:00,0.05019,0.04231,0.09296,0.359,0.00094,MS,MS,4.566,-19.866,MS,3.673,345.921,0.0006,0.0077,0.03057,0.03897,0.245,0.00482,2.285,MS,MS,5.085,277.341,3.076,18.921,22.01,0.178,13.4,2.266,2.266,88.24,5.814,313.363
33,02/01/2017 8:00,0.03998,0.0395,0.07994,0.298,0.00094,MS,MS,3.888,-20.434,MS,5.147,344.043,0.00078,0.00503,0.02514,0.03092,0.231,0.00904,1.652,MS,MS,7.648,277.773,2.721,15.897,18.631,0.178,15.742,1.986,1.986,87.675,7.515,316.606
34,02/01/2017 9:00,0.02883,0.03756,0.06669,0.278,0.00135,MS,MS,4.041,-20.822,MS,6.384,345.219,0.00147,0.02092,0.03407,0.05578,0.302,0.00402,4.689,MS,MS,6.906,267.887,3.294,16.025,19.334,0.174,15.742,1.994,1.994,86.281,8.102,317.873
35,02/01/2017 10:00,0.05022,0.03488,0.08559,0.283,0.00458,MS,MS,5.041,-20.862,MS,5.846,343.994,0.00127,0.02238,0.02811,0.051,0.276,0.01007,2.607,MS,MS,9.519,269.995,4.476,11.01,15.502,0.174,20.819,1.009,1.009,83.395,10.276,318.889
36,02/01/2017 11:00,0.0695,0.0352,0.10523,0.353,0.00777,MS,MS,6.511,-18.134,MS,1.04,283.331,0.00172,0.021,0.02143,0.04315,0.274,0.01622,2.59,MS,MS,9.412,270.276,7.218,9.803,17.038,0.188,22.173,1.25,1.25,80.333,10.736,310.703
37,02/01/2017 12:00,0.04628,0.02696,0.07373,0.279,0.01362,MS,MS,6.331,-16.545,MS,3.121,297.297,0.00148,0.0192,0.01704,0.03682,0.262,0.01929,2.95,MS,MS,8.316,272.185,8.824,9.069,17.911,0.207,23.346,1.431,1.431,77.536,10.586,307.068
38,02/01/2017 13:00,0.03534,0.02296,0.05879,0.246,0.01577,MS,MS,6.407,-14.208,MS,1.99,294.331,0.00163,0.01977,0.01746,0.03787,0.301,0.01962,2.549,MS,MS,6.996,267.2,11.085,10.792,21.895,0.212,22.818,2.883,2.883,72.752,7.629,308.713
39,02/01/2017 14:00,0.02696,0.02066,0.04801,0.212,0.01773,MS,MS,6.952,-14.257,MS,1.448,331.23,0.0013,0.01952,0.01859,0.03867,0.325,0.01869,2.993,MS,MS,5.129,261.727,9.768,11.146,20.933,0.234,22.923,3.611,3.611,73.213,6.636,303.423
40,02/01/2017 15:00,0.03187,0.02781,0.06011,0.246,0.0142,MS,MS,8.363,-14.306,MS,1.957,196.464,0.00118,0.01978,0.02256,0.043,0.364,0.01527,4.399,MS,MS,4.555,261.446,10.237,13.741,23.998,0.266,21.274,4.075,4.075,73.285,5.16,297.888
41,02/01/2017 16:00,0.02739,0.02977,0.05757,0.306,0.01098,MS,MS,9.317,-14.93,MS,2.873,188.79,0.00092,0.0202,0.02812,0.04907,0.378,0.01017,5.071,MS,MS,1.392,189.329,10.033,18.037,28.09,0.29,16.798,4.951,4.951,77.983,4.741,293.601
42,02/01/2017 17:00,0.03385,0.03709,0.07137,0.44,0.0035,MS,MS,10.431,-16.496,MS,3.65,177.781,0.00052,0.0214,0.03462,0.05677,0.4,0.00339,5.356,MS,MS,2.369,190.214,11.154,27.36,38.537,0.34,7.735,6.708,6.708,84.902,4.958,295.983
43,02/01/2017 18:00,0.03771,0.04017,0.07836,0.472,0.0012,MS,MS,11.352,-17.698,MS,1.11,184.677,0.0005,0.03375,0.0405,0.07508,0.48,0.00029,6.335,MS,MS,2.584,197.531,11.552,32.921,44.496,0.403,2.741,11.033,11.033,87.956,5.044,303.82
44,02/01/2017 19:00,0.04563,0.04018,0.08628,0.535,0.00129,MS,MS,14.033,-18.416,MS,0.4,179.461,0.00065,0.04822,0.04159,0.09048,0.559,0.00072,12.797,MS,MS,2.166,227.177,9.466,31.617,41.106,0.348,2.882,8.604,8.604,88.877,5.347,296.642
45,02/01/2017 20:00,0.07201,0.0433,0.11583,0.688,0.00156,MS,MS,16.073,-18.502,MS,1.264,171.726,0.00057,0.04677,0.04134,0.08882,0.535,0.00107,20.996,MS,MS,2.876,257.761,9.196,31.848,41.068,0.33,2.97,10.633,10.633,89.261,4.877,304.275
46,02/01/2017 21:00,0.0871,0.04564,0.13327,0.781,0.00198,MS,MS,20.223,-18.161,MS,3.349,189.682,0.00075,0.03887,0.04038,0.07988,0.499,0.00101,20.256,MS,MS,3.251,254.637,6.341,29.406,35.772,0.31,3.844,10.213,10.213,89.891,6.07,297.93
47,02/01/2017 22:00,0.08008,0.04444,0.12506,0.751,0.00246,MS,MS,20.123,-18.255,MS,2.733,192.972,0.00053,0.04545,0.04066,0.08685,0.553,0.00189,26.45,MS,MS,3.53,248.271,5.906,28.716,34.648,0.317,4.461,13.009,13.009,89.117,6.972,299.069
48,02/01/2017 23:00,0.07864,0.04358,0.12279,0.651,0.00195,MS,MS,17.923,-18.621,MS,3.219,203.231,0.00045,0.04287,0.04007,0.08353,0.52,0.00137,22.02,MS,MS,4.075,256.687,3.331,22.881,26.236,0.256,9.117,10.824,10.824,88.393,6.628,301.209
49,03/01/2017 0:00,0.07789,0.04396,0.12241,0.554,0.00185,MS,MS,16.584,-18.964,MS,2.653,254.355,0.00058,0.03247,0.03921,0.07253,0.391,0.00069,10.807,MS,MS,4.471,261.768,2.366,17.129,19.524,0.182,13.856,8.203,8.203,87.389,6.68,316.133
50,03/01/2017 1:00,0.03989,0.03896,0.07925,0.356,0.00126,MS,MS,11.783,-19.199,MS,3.371,349.989,0.00067,0.01507,0.03475,0.05057,0.282,0.00126,6.506,MS,MS,7.073,273.16,1.692,14.946,16.666,0.16,15.433,6.987,6.987,86.416,7.917,305.496
51,03/01/2017 2:00,0.02142,0.03658,0.05827,0.238,0.00109,MS,MS,9.738,-19.335,MS,5.748,345.637,Z,Z,Z,Z,Z,Z,6.035,MS,MS,7.811,273.505,1.993,17.428,19.451,0.175,13.093,7.007,7.007,86.628,7.373,312.22
52,03/01/2017 3:00,0.0353,0.0385,0.07424,0.318,0.00126,MS,MS,10.229,-19.418,MS,5.046,347.242,0.00193,0.02173,0.03621,0.05863,0.31,0.00033,7.106,MS,MS,4.026,283.973,1.841,16.168,18.039,0.164,15.795,4.433,4.433,86.953,5.93,303.922
53,03/01/2017 4:00,0.01348,0.03376,0.04751,0.219,0.00402,MS,MS,6.432,-18.496,MS,6.213,335.381,0.00186,0.03167,0.03877,0.07123,0.327,-0.00008,6.75,MS,MS,4.794,276.526,1.351,15.262,16.646,0.161,16.782,3.628,3.628,87.847,5.606,302.622
54,03/01/2017 5:00,0.00057,0.02329,0.02407,0.174,0.01298,MS,MS,5.238,-18.053,MS,5.798,341.487,0.00163,0.01303,0.03366,0.04735,0.255,0.00168,5.408,MS,MS,6.616,268.929,1.614,16.104,17.741,0.172,14.309,4.755,4.755,87.261,7.671,307.691
55,03/01/2017 6:00,0.0048,0.02702,0.03205,0.172,0.00901,MS,MS,5.534,-18.332,MS,5.772,328.612,0.00136,0.01165,0.03002,0.04235,0.24,0.0045,4.812,MS,MS,6.202,279.588,2.179,20.566,22.77,0.181,10.408,7.615,7.615,86.51,7.539,308.301
56,03/01/2017 7:00,0.00354,0.03018,0.03392,0.16,0.00601,MS,MS,6.831,-18.82,MS,8.189,325.222,0.0014,0.02975,0.03923,0.06968,0.335,0.00061,5.71,MS,MS,5.299,288.649,2.5,22.129,24.659,0.209,9.101,5.946,5.946,86.484,9.17,304.536
57,03/01/2017 8:00,0.00878,0.03503,0.04404,0.235,0.0031,MS,MS,7.775,-18.925,MS,8.077,321.759,0.00273,0.02052,0.03829,0.05972,0.362,0.00093,7.854,MS,MS,6.032,304.139,3.71,22.865,26.602,0.226,9.448,5.432,5.432,86.547,8.328,305.24
58,03/01/2017 9:00,0.01234,0.03455,0.04719,0.263,0.00328,MS,MS,9.256,-19.005,MS,8.225,335.602,0.00225,0.03603,0.03995,0.07673,0.416,0.00113,10.264,MS,MS,6.539,288.054,4.501,22.465,26.999,0.217,10.38,4.503,4.503,85.49,8.957,306.121
59,03/01/2017 10:00,0.01658,0.0288,0.04569,0.232,0.01014,MS,MS,7.631,-19.594,MS,6.143,327.203,0.00164,0.03999,0.03469,0.07535,0.431,0.0048,9.458,MS,MS,7.818,274.003,9.688,18.991,28.71,0.209,13.81,3.756,3.756,82.8,9.723,315.882
60,03/01/2017 11:00,0.02328,0.02199,0.04556,0.185,0.01637,MS,MS,6.338,-18.462,MS,6.233,316.419,0.00223,0.02465,0.02333,0.04847,0.314,0.01263,6.201,MS,MS,8.283,272.067,12.612,14.659,27.3,0.193,17.961,4.055,4.055,77,10.504,312.258
61,03/01/2017 12:00,0.01423,0.01371,0.02813,0.141,0.0232,MS,MS,4.756,-17.618,MS,9.291,321.447,0.00273,0.02777,0.02219,0.05043,0.315,0.01557,5.965,MS,MS,6.798,265.12,10.917,10.84,21.784,0.202,22.467,2.992,2.992,70.677,11.054,301.217
62,03/01/2017 13:00,0.01342,0.01214,0.02575,0.124,0.02474,MS,MS,3.981,-17.101,MS,10.67,328.01,0.00213,0.01858,0.01727,0.03627,0.287,0.01959,4.673,MS,MS,6.096,258.277,8.962,8.814,17.802,0.19,25.23,1.921,1.921,65.235,9.436,299.728
63,03/01/2017 14:00,0.01576,0.01417,0.03011,0.151,0.02371,MS,MS,4.198,-15.902,MS,6.924,312.925,0.00406,0.01234,0.01391,0.02687,0.255,0.02272,3.637,MS,MS,5.904,266.553,8.376,8.972,17.373,0.181,25.533,1.873,1.873,63.003,10.513,295.616
64,03/01/2017 15:00,0.01381,0.01607,0.03007,0.143,0.02301,MS,MS,4.032,-15.364,MS,8.03,273.817,0.003,0.01115,0.01489,0.02648,0.236,0.02239,3.459,MS,MS,7.896,270.574,6.76,9.252,16.037,0.189,26.396,1.829,1.829,62.037,11.028,295.975
65,03/01/2017 16:00,0.00878,0.01764,0.02657,0.164,0.02245,MS,MS,5.636,-15.15,MS,8.022,308.652,0.00261,0.01075,0.019,0.03022,0.247,0.01923,3.642,MS,MS,7.385,278.709,5.482,13.023,18.53,0.216,22.852,2.509,2.509,64.416,8.09,293.646
66,03/01/2017 17:00,0.00882,0.02855,0.03755,0.23,0.01257,MS,MS,5.274,-16.087,MS,5.598,310.335,0.00388,0.0072,0.02556,0.0332,0.328,0.01288,4.818,MS,MS,6.886,277.863,6.053,22.459,28.536,0.286,13.835,5.018,5.018,72.749,7.019,301.335
67,03/01/2017 18:00,0.00717,0.03313,0.0405,0.289,0.00738,MS,MS,4.81,-17.847,MS,4.055,333.902,0.00219,0.013,0.03627,0.04998,0.455,0.00327,5.678,MS,MS,6.356,262.349,7.895,31.997,39.916,0.382,5.733,6.45,6.45,78.591,6.589,303.997
68,03/01/2017 19:00,0.02194,0.04027,0.06245,0.489,0.00103,MS,MS,7.366,-19.359,MS,1.083,96.272,0.00138,0.02533,0.04008,0.06607,0.454,0.00054,8.343,MS,MS,6.951,272.251,3.888,25.793,29.705,0.305,10.809,6.159,6.159,79.659,7.962,304.288
69,03/01/2017 20:00,0.02615,0.04087,0.06727,0.385,0.00083,MS,MS,7.529,-19.782,MS,1.736,82.982,0.00108,0.00915,0.03439,0.04423,0.318,0.00355,6.466,MS,MS,8.317,269.659,2.928,22.099,25.05,0.251,13.132,15.14,15.14,81.249,9.067,309.737
70,03/01/2017 21:00,0.01971,0.04089,0.06079,0.273,0.00098,MS,MS,10.476,-19.181,MS,0.682,284.819,0.00092,0.0048,0.02542,0.03077,0.255,0.01041,5.467,MS,MS,9.675,278.696,2.035,18.357,20.414,0.223,16.212,15.598,15.598,80.417,10.359,306.051
71,03/01/2017 22:00,0.00784,0.03755,0.04558,0.2,0.00334,MS,MS,8.748,-17.344,MS,1.681,310.521,0.00126,0.00569,0.02407,0.03018,0.218,0.01278,5.186,MS,MS,10.802,272.126,1.848,16.212,18.082,0.204,18.297,11.598,11.598,77.699,10.894,311.112
72,03/01/2017 23:00,0.00215,0.02867,0.03099,0.158,0.01066,MS,MS,6.008,-16.374,MS,7.015,314.168,0.00207,0.0043,0.01697,0.02175,0.193,0.01991,3.812,MS,MS,12.992,270.497,1.591,16.54,18.152,0.194,18.007,9.172,9.172,78.016,9.561,312.046
73,04/01/2017 0:00,0.00526,0.03294,0.03836,0.163,0.00793,MS,MS,5.153,-16.235,MS,6.669,306.611,0.00156,0.00607,0.02241,0.02897,0.192,0.01563,3.367,MS,MS,9.488,271.809,1.352,15.049,16.422,0.173,19.873,5.235,5.235,76.667,9.171,317.724
74,04/01/2017 1:00,0.00105,0.02798,0.02918,0.14,0.01205,MS,MS,4.779,-14.868,MS,5.277,303.66,0.00142,0.00208,0.01717,0.01955,0.188,0.01941,2.324,MS,MS,8.766,282.713,0.974,13.43,14.425,0.179,22.489,4.383,4.383,74.73,12.648,301.865
75,04/01/2017 2:00,0.0027,0.02743,0.03029,0.126,0.01291,MS,MS,6.245,-14.072,MS,7.139,332.276,Z,Z,Z,Z,Z,Z,2.811,MS,MS,7.592,295.98,0.978,14.243,15.241,0.168,22.736,5.992,5.992,74.957,10.309,299.989
76,04/01/2017 3:00,0.00019,0.01911,0.01943,0.094,0.02079,MS,MS,6.342,-13.008,MS,7.316,337.089,0.00189,0.00312,0.03017,0.03389,0.233,0.0096,3.544,MS,MS,6.446,293.681,0.95,11.125,12.096,0.165,26.379,3.734,3.734,73.781,9.898,304.921
77,04/01/2017 4:00,0.00094,0.01704,0.01811,0.102,0.02544,MS,MS,5.609,-11.427,MS,6.905,308.868,0.00215,0.00528,0.0239,0.02972,0.209,0.01597,4.146,MS,MS,9.441,275.557,0.591,10.128,10.739,0.151,27.593,3.638,3.638,72.509,13.055,296.174
78,04/01/2017 5:00,0.00033,0.01378,0.01422,0.1,0.02873,MS,MS,5.173,-11.026,MS,9.771,321.998,0.00202,0.00242,0.01768,0.02061,0.19,0.02225,3.574,MS,MS,9.048,281.068,0.784,9.882,10.686,0.164,28.218,2.626,2.626,74.774,11.942,300.628
79,04/01/2017 6:00,0.01835,0.04012,0.05865,0.159,0.00781,MS,MS,5.641,-12.367,MS,6.223,295.817,0.00194,0.0048,0.02198,0.02741,0.201,0.01862,3.959,MS,MS,10.6,274.433,0.905,11.535,12.46,0.178,26.259,1.15,1.15,74.951,14.029,300.735
80,04/01/2017 7:00,0.02642,0.03764,0.06431,0.176,0.00923,MS,MS,4.547,-13.213,MS,7.285,305.296,0.00164,0.00418,0.02227,0.02706,0.214,0.01763,2.958,MS,MS,10.235,277.531,1.006,11.181,12.208,0.176,26.627,1.083,1.083,76.409,13.95,298.614
81,04/01/2017 8:00,0.00626,0.03323,0.03964,0.184,0.01054,MS,MS,4.285,-14.145,MS,7.511,320.671,0.00157,0.00895,0.03143,0.04107,0.267,0.01057,3.305,MS,MS,8.927,284.214,1.506,14.401,15.928,0.191,23.842,2.277,2.277,77.559,12.646,300.149
82,04/01/2017 9:00,0.01187,0.03918,0.05123,0.253,0.00593,MS,MS,4.833,-14.827,MS,8.457,311.253,0.00159,0.01352,0.03388,0.04816,0.28,0.00878,3.715,MS,MS,7.818,295.63,3.005,13.843,16.869,0.204,24.897,2.887,2.887,77.092,13.248,305.886
83,04/01/2017 10:00,0.00917,0.02557,0.03492,0.163,0.01699,MS,MS,4.236,-14.623,MS,11.64,316.86,0.0021,0.03895,0.04055,0.08042,0.445,0.00585,5.001,MS,MS,9.106,304.298,8.036,15.249,23.306,0.203,24.26,4.001,4.001,74.075,14.598,300.723
84,04/01/2017 11:00,0.01082,0.01769,0.02868,0.18,0.0247,MS,MS,4.093,-12.731,MS,12.552,318.526,0.00184,0.03785,0.03477,0.07352,0.375,0.01132,4.918,MS,MS,8.534,302.454,8.051,12.253,20.325,0.198,27.597,3.989,3.989,69.429,14.39,296.407
85,04/01/2017 12:00,0.01035,0.01363,0.02414,0.125,0.0294,MS,MS,3.364,-10.226,MS,17.58,335.492,0.00215,0.02155,0.02412,0.04652,0.291,0.0203,3.677,MS,MS,10.163,307.465,8.074,10.74,18.835,0.194,29.948,2.946,2.946,67.021,13.434,292.91
86,04/01/2017 13:00,0.00507,0.00746,0.01261,0.1,0.03549,MS,MS,1.934,-8.601,MS,22.075,343.183,0.00202,0.0096,0.01445,0.02476,0.217,0.02928,1.683,MS,MS,17.958,319.389,14.062,14.812,28.894,0.22,27.122,2.758,2.758,67.432,10.56,297.099
87,04/01/2017 14:00,0.00523,0.00809,0.01342,0.103,0.03564,MS,MS,2.601,-7.591,MS,22.336,344.139,0.0015,0.00817,0.01435,0.02321,0.239,0.03018,1.84,MS,MS,15.074,324.096,8.675,11.35,20.051,0.201,30.37,2.673,2.673,67.829,12.195,290.083
88,04/01/2017 15:00,0.00473,0.00938,0.01422,0.118,0.0349,MS,MS,3.567,-6.83,MS,16.364,340.136,0.0014,0.00658,0.0143,0.02167,0.249,0.02998,1.656,MS,MS,10.313,320.817,6.227,10.446,16.688,0.192,31.497,2.485,2.485,67.117,14.234,288.826
89,04/01/2017 16:00,0.00435,0.01401,0.0185,0.152,0.03139,MS,MS,8.852,-6.346,MS,8.511,316.827,0.0013,0.0068,0.01957,0.02717,0.275,0.02515,4.273,MS,MS,8.438,312.747,5.816,13.98,19.819,0.197,27.893,2.728,2.728,65.96,12.508,287.371
