6,01/01/2020 5:00,0.00025,0.02153,0.02179,0.254,0.01019,MS,MS,3.549,1.386,69.283,2.753,346.468,0.00036,0.00107,0.02071,0.02178,0.265,0.01103,4.515,1.184,79.001,2.415,279.389,0.3,18.009,18.298,0.198,11.56,MS,2.312,69.435,4.955,292.747
7,01/01/2020 6:00,0.00026,0.02014,0.0204,0.256,0.00999,MS,MS,3.128,0.537,73.06,1.357,276.081,0.00044,0.00212,0.02574,0.02788,0.262,0.00619,4.062,0.529,82.808,1.735,1.476,0.206,14.272,14.467,0.212,14.927,MS,1.946,69.369,3.714,291.314
8,01/01/2020 7:00,0.00558,0.02609,0.03168,0.303,0.00309,MS,MS,4.195,-0.957,84.719,0.803,4.423,0.00055,0.01492,0.0353,0.05028,0.31,0.00033,5.051,-0.414,92.689,N,N,3.584,23.715,27.289,0.272,6.365,MS,1.407,73.796,1.444,337.192
9,01/01/2020 8:00,0.01115,0.03067,0.04183,0.321,0.00119,MS,MS,3.282,-1.188,84.17,4.587,329.496,0.00086,0.04263,0.03786,0.08054,0.38,0.0002,7.388,-1.099,99.409,2.346,300.818,1.715,17.57,19.274,0.236,14.136,MS,0.451,73.892,3.884,351.607
10,01/01/2020 9:00,0.00366,0.02458,0.02821,0.234,0.00942,MS,MS,4.371,-0.846,88.727,9.138,341.532,0.00072,0.03456,0.03691,0.07138,0.372,0.00075,5.812,-0.849,99.333,3.625,306.187,1.422,14.703,16.114,0.213,19.318,MS,0.766,82.172,4.34,358.644
11,01/01/2020 10:00,0.00152,0.01079,0.01231,0.209,0.02339,MS,MS,12.913,-0.716,99.912,9.098,332.214,0.0002,0.00251,0.01375,0.01624,0.211,0.02119,12.43,-0.392,99.944,9.51,341.755,0.59,5.266,5.845,0.175,28.621,MS,5.426,87.755,4.963,318.715
12,01/01/2020 11:00,0.00205,0.00734,0.0094,0.208,0.02588,MS,MS,7.125,0.254,97.902,5.912,338.279,0.00051,0.00615,0.01561,0.02177,0.219,0.02056,14.099,0.057,99.916,6.288,323.073,1.835,7.16,8.986,0.189,26.583,MS,8.034,86.837,5.079,292.947
13,01/01/2020 12:00,0.00224,0.00634,0.00856,0.214,0.02769,MS,MS,5.883,1.518,93.016,2.782,325.371,0.00045,0.0082,0.01687,0.02508,0.243,0.01947,8.478,1.347,100.01,3.164,281.057,1.502,5.203,6.695,0.186,28.766,MS,6.546,84.268,5.791,278.992
14,01/01/2020 13:00,0.0033,0.00721,0.01051,0.219,0.02781,MS,MS,4.078,2.503,82.558,5.512,265.486,0.00026,0.00424,0.00919,0.01343,0.205,0.0259,3.984,1.544,100.057,6.521,276.578,1.333,3.915,5.239,0.179,29.177,MS,6.154,78.386,6.726,288.918
15,01/01/2020 14:00,0.0026,0.00654,0.00914,0.207,0.02756,MS,MS,2.828,2.963,78.418,5.148,289.167,0.00037,0.00275,0.00659,0.00936,0.187,0.02833,2.663,2.474,98.413,6.776,268.819,1.547,4.826,6.363,0.188,27.375,MS,4.523,73.04,6.239,285.906
16,01/01/2020 15:00,0.00141,0.00405,0.00547,0.18,0.02868,MS,MS,1.363,2.701,77.71,8.317,355.884,0.00043,0.00282,0.00726,0.01009,0.188,0.02667,2.176,3.287,85.333,3.927,316.589,1.26,3.935,5.185,0.173,28.502,MS,1.965,67.321,4.837,332.629
17,01/01/2020 16:00,0.00117,0.00632,0.00748,0.191,0.02659,MS,MS,1.139,1.961,80.534,3.849,18.471,0.00037,0.0021,0.00959,0.01163,0.172,0.02375,0.359,2.332,87.806,5.564,7.243,0.995,5.554,6.539,0.19,26.287,MS,1.571,70.544,1.386,338.753
18,01/01/2020 17:00,0.00102,0.01354,0.01456,0.243,0.01877,MS,MS,1.788,0.906,86.069,1.553,111.385,0.00037,0.00637,0.02561,0.03197,0.247,0.00686,1.375,0.548,95.823,1.924,83.522,2.025,16.649,18.665,0.302,14.187,MS,2.635,78.879,1.179,58.618
19,01/01/2020 18:00,0.00103,0.02175,0.02276,0.332,0.00921,MS,MS,3.414,-1.164,95.334,3.032,149.96,0.00018,0.00726,0.03147,0.03873,0.289,0.00068,2.259,-1.884,99.99,2.148,177.099,10.449,30.781,41.221,0.597,1.109,MS,5.065,87.051,0.44,20.462
20,01/01/2020 19:00,0.01033,0.03075,0.04108,0.45,0.00095,MS,MS,5.745,-2.249,99.652,3.865,168.905,0.00021,0.01308,0.0325,0.04557,0.449,0.00027,7.704,-3.183,99.969,N,N,22.155,30.556,52.702,0.69,0.814,MS,5.036,90.222,0.595,160.093
21,01/01/2020 20:00,0.02298,0.03289,0.05587,0.484,0.00057,MS,MS,7.797,-2.631,100,2.18,160.056,0.00012,0.00379,0.02811,0.0319,0.344,0.00443,6.76,-2.531,99.943,N,N,29.265,31.315,60.57,0.79,1.197,MS,5.307,91.68,0.587,201.896
22,01/01/2020 21:00,0.02943,0.03442,0.06385,0.529,0.00067,MS,MS,9.58,-2.777,100,3.496,157.723,0.00013,0.00143,0.01937,0.0208,0.241,0.01349,3.76,-2.088,99.994,N,N,16.225,27.205,43.421,0.587,5.204,MS,3.204,91.667,1.553,185.162
23,01/01/2020 22:00,0.0431,0.03644,0.07955,0.592,0.00081,MS,MS,11.151,-2.856,99.9,3.4,178.948,0.00004,0.00087,0.01898,0.01985,0.251,0.01408,3.288,-1.86,100,N,N,0.662,12.961,13.619,0.247,19.256,MS,0.944,84.706,3.253,198.179
24,01/01/2020 23:00,0.03665,0.03575,0.0724,0.515,0.00078,MS,MS,10.87,-2.994,99.511,2.464,154.456,0.00005,0.00064,0.02216,0.0228,0.257,0.00989,3.856,-2.694,99.996,N,N,5.303,28.04,33.335,0.391,3.619,MS,2.228,87.235,3.455,274.488
25,02/01/2020 0:00,0.03054,0.03342,0.06395,0.513,0.00062,MS,MS,10.592,-3.203,99.944,3.672,162.121,0.00018,0.00621,0.0312,0.03741,0.321,0.00167,7.039,-3.571,99.978,1.995,261.237,0.673,19.388,20.052,0.241,9.494,MS,1.67,88.289,6.098,293.34
26,02/01/2020 1:00,0.02078,0.03564,0.05642,0.363,0.0009,MS,MS,6.257,-2.584,96.286,4.182,229.592,0.00008,0.00424,0.0207,0.02494,0.259,0.01075,3.605,-2.134,100.06,N,N,0.187,10.27,10.449,0.192,17.188,MS,1.322,85.757,7.406,301.628
27,02/01/2020 2:00,0.03426,0.03672,0.07098,0.304,0.00065,MS,MS,6.215,-2.274,92.092,2.978,158.092,Z,Z,Z,Z,Z,Z,2.72,-1.795,100.098,5.407,268.339,0.117,8.536,8.645,0.185,21.482,MS,0.865,76.496,6.177,301.526
28,02/01/2020 3:00,0.02478,0.03417,0.05895,0.309,0.00051,MS,MS,5.657,-2.013,89.023,3.17,155.978,0.00004,0.00188,0.01783,0.01971,0.215,0.01497,2.335,-0.633,87.617,6.318,257.308,Z,Z,Z,0.159,26.705,MS,0.194,68.171,9.257,277.565
29,02/01/2020 4:00,Z,Z,Z,Z,Z,MS,MS,4.576,-0.473,80.643,2.803,162.771,0.00023,0.01279,0.02551,0.0383,0.232,0.00789,2.593,-1.336,88.447,1.479,232.092,0.093,8.935,9.02,Z,Z,MS,0.064,72.607,6.407,292.305
30,02/01/2020 5:00,0.01958,0.03742,0.057,0.32,0.00045,MS,MS,5.49,-1.996,85.493,3.534,123.826,0.00012,0.02294,0.03132,0.05426,0.273,0.00104,4.931,-3.256,100.1,1.793,108.908,0.127,7.43,7.549,0.158,29.533,MS,-0.12,70.362,5.774,290.084
31,02/01/2020 6:00,0.01153,0.03077,0.04231,0.275,0.00602,MS,MS,3.778,-1.829,84.949,3.646,6.877,0.00059,0.06116,0.03866,0.09982,0.352,0.00044,8.583,-3.41,100.044,2.075,2.236,0.206,7.033,7.233,0.16,29.362,MS,0.231,66.368,8.902,323.589
32,02/01/2020 7:00,0.00025,0.00612,0.00637,0.169,0.02852,MS,MS,1.643,-1.554,92.732,25.056,352.55,0.00014,0.00454,0.0154,0.01994,0.194,0.01953,1.913,-1.023,95.965,17.642,356.279,0.374,3.446,3.814,0.152,34.584,MS,0.135,84.851,15.5,341.11
33,02/01/2020 8:00,0.0002,0.00841,0.00861,0.189,0.03196,MS,MS,1.281,-1.942,99.994,13.938,345.524,0.00009,0.00135,0.01471,0.01606,0.187,0.02581,1.547,-1.462,99.909,10.166,341.826,0.327,3.715,4.036,0.158,37.142,MS,-0.214,92.407,9.113,336.186
34,02/01/2020 9:00,0.0003,0.00894,0.00924,0.189,0.03566,MS,MS,1.297,-3.65,99.868,17.884,354.203,0.00008,0.00251,0.0164,0.01891,0.185,0.02731,2.135,-2.882,99.927,16.74,7.921,0.327,3.297,3.62,0.152,40.125,MS,-0.061,87.641,11.996,341.815
35,02/01/2020 10:00,0.00168,0.01152,0.0132,0.187,0.03433,MS,MS,1.328,-4.092,94.704,13.128,0.159,0.00013,0.00318,0.01495,0.01813,0.188,0.03003,2.168,-3.305,100.066,14.143,9.156,0.547,3.155,3.697,0.15,40.716,MS,-0.281,79.81,9.529,341.923
36,02/01/2020 11:00,0.00323,0.00979,0.01303,0.179,0.03519,MS,MS,1.554,-3.544,89.664,6.78,321.328,0.00017,0.01118,0.02409,0.03527,0.222,0.02359,4.256,-3.646,100.044,4.012,330.094,0.99,3.762,4.75,0.161,40.047,MS,-0.123,73.576,6.121,309.456
37,02/01/2020 12:00,0.00154,0.00365,0.00519,0.149,0.04091,MS,MS,1.392,-3.012,79.201,7.277,331.965,0.00023,0.01168,0.02019,0.03187,0.249,0.0296,3.145,-2.389,88.076,5.877,329.21,1.102,2.902,4.001,0.149,40.909,MS,0.165,67.376,7.039,314.556
38,02/01/2020 13:00,0.00512,0.00759,0.01272,0.228,0.03762,MS,MS,1.805,-1.654,69.201,3.187,269.768,0.00046,0.00627,0.01174,0.01801,0.194,0.03469,2.111,-1.86,74.192,3.559,251.159,1.546,3.462,5.005,0.156,40.442,MS,0.57,64.73,5.507,242.593
39,02/01/2020 14:00,0.00559,0.01038,0.01595,0.221,0.0363,MS,MS,2.467,-1.509,63.576,9.952,206.651,0.00043,0.003,0.00642,0.00942,0.177,0.03756,1.565,-2.165,76.532,10.503,213.993,1.397,3.388,4.782,0.16,41.168,MS,0.719,50.931,9.375,259.772
40,02/01/2020 15:00,0.00555,0.01138,0.01695,0.197,0.03581,MS,MS,3.117,-0.766,43.995,11.019,238.567,0.00036,0.00229,0.00615,0.00843,0.168,0.03818,1.397,-2.292,74.651,12.044,215.904,1.063,3.556,4.618,0.151,41.888,MS,0.935,31.096,13.028,268.822
41,02/01/2020 16:00,0.00179,0.00602,0.00781,0.108,0.04087,MS,MS,1.417,-0.758,28.171,20.919,273.835,0.00023,0.00199,0.00779,0.00978,0.175,0.03732,1.226,-1.494,51.95,11.815,266.897,0.797,4.843,5.638,0.155,40.283,MS,1.405,31.207,11.427,273.779
42,02/01/2020 17:00,0.00061,0.00651,0.00711,0.1,0.04018,MS,MS,1.495,-1.451,28.96,20.431,279.304,0.00005,0.0007,0.00756,0.00825,0.169,0.03775,1.242,-1.673,34.686,15.586,289.054,0.361,6.723,7.084,0.172,38.01,MS,1.69,34.095,10.481,272.857
43,02/01/2020 18:00,0.00012,0.00793,0.00805,0.094,0.03858,MS,MS,1.811,-2.018,30.058,16.505,277.073,0.00014,0.00052,0.00978,0.01029,0.173,0.03531,1.341,-2.451,35.651,12.342,288.614,0.078,6.89,6.969,0.166,37.295,MS,1.093,37.493,7.702,286.72
44,02/01/2020 19:00,0.00027,0.01553,0.0158,0.139,0.0314,MS,MS,2.821,-3.071,33.64,9.459,290.157,0.00004,0.00059,0.01303,0.01361,0.194,0.03238,1.964,-3.461,38.159,8.714,287.688,0.086,10.276,10.364,0.186,33.734,MS,1.326,41.506,5.423,283.111
45,02/01/2020 20:00,0.00129,0.02367,0.02494,0.203,0.0222,MS,MS,4.814,-4.569,40.868,5.797,324.185,0.00002,0.00068,0.02426,0.02494,0.22,0.0212,2.916,-5.208,44.656,3.31,277.317,0.139,17.162,17.303,0.232,26.738,MS,1.149,45.503,4.729,286.076
46,02/01/2020 21:00,0.00195,0.03375,0.03568,0.29,0.01206,MS,MS,6.257,-5.855,47.203,0.401,90.075,0.00013,0.00376,0.04117,0.04493,0.414,0.00593,7.044,-7.052,54.525,2.38,274.007,0.193,17.741,17.937,0.252,26.297,MS,1.126,46.231,4.667,281.603
47,02/01/2020 22:00,0.0101,0.04463,0.05473,0.391,0.00202,MS,MS,8.098,-6.96,56.923,0.845,294.554,0.00041,0.00775,0.04177,0.04952,0.314,0.00609,8.15,-7.455,56.986,2.902,263.141,0.765,27.303,28.071,0.27,16.852,MS,1.254,51.734,4.3,301.559
48,02/01/2020 23:00,0.02473,0.04813,0.07286,0.467,0.00079,MS,MS,9.468,-6.511,55.796,3.025,189.488,0.00026,0.00482,0.03452,0.03934,0.304,0.01058,7.929,-7.258,57.612,4.05,250.276,1.028,31.802,32.834,0.279,12.059,MS,1.845,53.282,2.103,317.113
49,03/01/2020 0:00,0.0277,0.04835,0.07605,0.419,0.0006,MS,MS,8.627,-6.987,58.693,4.576,174.421,0.00026,0.00151,0.03014,0.03165,0.236,0.01246,4.98,-7.64,60.773,2.739,205.556,0.842,32.685,33.532,0.307,9.973,MS,1.549,55.2,1.031,252.987
50,03/01/2020 1:00,0.0198,0.0475,0.06729,0.37,0.00076,MS,MS,8.18,-6.887,58.54,3.476,135.145,0.00024,0.01398,0.04003,0.054,0.214,0.00647,4.419,-6.883,58.075,1.798,91.272,9.35,44.033,53.387,0.395,2.189,MS,2.693,56.237,3.009,78.721
51,03/01/2020 2:00,0.02065,0.04919,0.06984,0.392,0.00069,MS,MS,11.242,-6.175,60.033,3.527,173.262,Z,Z,Z,Z,Z,Z,5.578,-8.109,69.272,3.925,133.748,21.85,49.153,71.008,0.446,0.683,MS,5.311,56.785,1.696,90.378
52,03/01/2020 3:00,0.01701,0.0466,0.06361,0.304,0.00133,MS,MS,5.65,-6.227,58.46,3.995,169.417,0.00006,0.00014,0.01831,0.01845,0.166,0.02126,4.475,-7.447,65.594,5.49,133.905,Z,Z,Z,0.302,5.84,MS,4.133,49.507,6.348,136.644
53,03/01/2020 4:00,Z,Z,Z,Z,Z,MS,MS,1.834,-5.848,46.784,6.548,135.468,0,0.00005,0.0096,0.00965,0.14,0.03069,2.914,-7.071,61.401,8.39,126.593,3.162,31.347,34.514,Z,Z,MS,2.199,42.499,8.669,117.292
54,03/01/2020 5:00,0.00028,0.01566,0.01594,0.175,0.02844,MS,MS,1.226,-5.607,43.205,7.407,156.46,-0.0001,-0.00002,0.0064,0.00638,0.129,0.03504,1.591,-6.513,57.57,8.535,134.088,0.189,25.81,26.002,0.173,19.328,MS,1.88,42.327,7.547,144.497
55,03/01/2020 6:00,0.00043,0.02373,0.02417,0.198,0.02204,MS,MS,3.908,-5.515,43.441,9.431,164.858,0.00004,-0.00003,0.00582,0.00579,0.133,0.03588,1.034,-6.224,57.318,9.132,154.958,0.164,16.19,16.357,0.15,27.38,MS,0.966,42.228,8.581,144.556
56,03/01/2020 7:00,0.00907,0.0308,0.03987,0.248,0.01589,MS,MS,4.721,-5.779,47.479,9.169,167.925,0.00002,0.00002,0.00969,0.00972,0.154,0.03226,1.282,-6.61,61.004,6.63,156.471,0.233,12.344,12.579,0.153,30.807,MS,0.637,43.144,8.931,147.71
57,03/01/2020 8:00,0.00678,0.03008,0.03687,0.302,0.01637,MS,MS,2.73,-6.077,50.121,9.545,173.327,0.00004,0.00599,0.01508,0.02107,0.176,0.02792,1.5,-6.675,61.214,6.716,148.045,0.316,11.314,11.631,0.161,31.739,MS,1.01,46.583,8.812,154.151
58,03/01/2020 9:00,0.0034,0.03421,0.0376,C,0.01324,MS,MS,5.19,-6.449,52.135,9.047,168.458,-0.00002,0.00092,0.01418,0.0151,0.172,0.02832,1.777,-7.606,64.01,8.054,161.09,0.466,12.383,12.85,0.172,30.525,MS,0.974,50.592,8.256,146.196
59,03/01/2020 10:00,0.00571,0.02481,0.03052,C,0.02004,MS,MS,2.888,-6.801,56.916,7.8,181.367,0.0001,0.00277,0.01641,0.01918,0.203,0.02596,2.845,-6.898,64.585,7.058,200.212,1.856,13.03,14.885,0.176,29.27,MS,0.926,54.954,6.399,166.409
60,03/01/2020 11:00,0.00517,0.0154,0.02058,C,0.02625,MS,MS,1.801,-6.388,63.798,9.375,194.701,0.00017,0.00489,0.01375,0.01864,0.18,0.02648,2.737,-6.599,71.156,7.804,221.957,2.727,10.464,13.19,0.189,30.189,MS,1.065,56.139,3.582,214
61,03/01/2020 12:00,0.00929,0.01581,0.02511,C,0.02594,MS,MS,3.095,-5.258,63.009,7.699,189.827,0.00005,0.00348,0.00693,0.01041,0.168,0.03093,2.384,-5.083,72.746,5.869,203.119,5.516,11.438,16.952,0.204,29.904,MS,1.847,51.484,2.337,315.593
62,03/01/2020 13:00,0.01419,0.01561,0.02981,C,0.02594,MS,MS,5.098,-3.088,59.206,5.707,178.054,0.00024,0.00748,0.01043,0.01791,0.183,0.02765,3.089,-2.179,61.518,3.836,129.418,6.934,10.13,17.061,0.214,30.732,MS,5.039,48.234,1.975,247.785
63,03/01/2020 14:00,0.01887,0.02021,0.03907,0.04,0.0224,MS,MS,6.443,-1.689,57.639,5.065,175.228,0.00023,0.01455,0.01706,0.03162,0.204,0.02208,4.503,-1.91,63.301,3.611,121.507,8.771,12.903,21.67,0.23,28.461,MS,8.089,46.093,2.381,224.427
64,03/01/2020 15:00,0.02076,0.02575,0.04649,0.114,0.0188,MS,MS,8.084,-0.658,55.332,2.535,151.923,0.0003,0.02286,0.02264,0.0455,0.228,0.01753,4.953,-1.972,64.231,3.814,144.887,8.16,15.011,23.167,0.245,25.857,MS,12.94,46.349,3.345,273.432
65,03/01/2020 16:00,0.02446,0.03274,0.05718,0.224,0.01219,MS,MS,9.496,0.641,54.615,6.293,219.288,0.00027,0.01971,0.02897,0.04868,0.338,0.01148,7.071,-3.204,72.985,3.257,141.283,4.248,14.447,18.689,0.245,28.139,MS,9.755,43.044,4.964,266.21
66,03/01/2020 17:00,0.02198,0.04257,0.0645,0.265,0.00461,MS,MS,9.31,-0.489,60.408,7.951,198.054,0.00024,0.01531,0.03512,0.05043,0.47,0.00545,9.443,-3.076,76.282,4.696,191.447,0.913,8.68,9.587,0.19,35.742,MS,5.505,37.786,8.457,279.74
67,03/01/2020 18:00,0.01711,0.0413,0.05843,0.238,0.00245,MS,MS,9.304,-1.977,64.617,9.113,142.766,0.0002,0.01047,0.03319,0.04366,0.362,0.00703,7.859,-3.439,76.391,2.268,190.019,0.533,15.62,16.144,0.242,27.933,MS,6.599,40.461,5.651,174.989
68,03/01/2020 19:00,0.00361,0.03711,0.04071,0.165,0.00584,MS,MS,6.753,-1.186,61.382,5.074,154.751,0.00058,0.04926,0.04513,0.0944,0.525,0.00046,11.789,-3.926,82.547,N,N,0.101,2.792,2.885,0.133,42.638,MS,3.221,30.359,13.394,216.97
69,03/01/2020 20:00,0.03,0.04438,0.07437,0.247,0.00166,MS,MS,10.422,-1.278,65.941,5.151,171.186,0.00066,0.06191,0.04513,0.10704,0.5,0.00048,11.383,-4.657,90.754,1.471,112.848,0.634,5.716,6.342,0.16,39.654,MS,4.102,30.353,5.92,194.189
70,03/01/2020 21:00,0.06391,0.04937,0.11327,0.524,0.00091,MS,MS,16.905,-1.726,72.632,1.539,196.594,0.00058,0.0505,0.04654,0.09704,0.518,0.00046,12.269,-2.193,83.521,1.183,345.405,0.803,27.834,28.629,0.316,17.176,MS,13.359,41.355,1.519,165.582
71,03/01/2020 22:00,0.08561,0.05223,0.13784,0.651,0.00092,MS,MS,17.451,-1.784,75.267,2.135,176.061,0.00054,0.03651,0.04659,0.0831,0.438,0.00106,9.07,-0.193,75.903,0.786,126.147,1.948,34.392,36.338,0.356,10.714,MS,15.199,47.587,1.492,115.901
72,03/01/2020 23:00,0.12539,0.05526,0.18064,0.727,0.00112,MS,MS,17.311,-2.773,82.627,0.734,256.976,0.00015,0.00465,0.03845,0.0431,0.272,0.00687,4.064,1.429,63.835,3.281,109.619,5.785,42.713,48.481,0.423,4.809,MS,14.016,47.412,3.024,97.247
73,04/01/2020 0:00,0.13786,0.05657,0.19442,0.847,0.00111,MS,MS,17.736,-3.273,86.065,0.73,201.424,0.00006,0.00265,0.03013,0.0328,0.199,0.01305,2.751,-0.157,72.321,1.796,84.747,15.706,47.685,63.382,0.518,1.053,MS,14.91,56.387,1.194,85.744
74,04/01/2020 1:00,0.14213,0.05638,0.19851,0.916,0.00095,MS,MS,18.428,-3.576,87.693,0.323,201.102,0.00021,0.01501,0.04569,0.06072,0.248,0.0022,4.266,-1.133,77.935,0.84,42.207,16.607,46.861,63.455,0.545,0.813,MS,10.812,61.649,0.796,340.085
75,04/01/2020 2:00,0.071,0.04075,0.11177,0.623,0.00964,MS,MS,11.227,0.738,66.729,9.498,204.99,Z,Z,Z,Z,Z,Z,3.941,-0.426,72.5,3.697,119.491,16.482,43.733,60.226,0.502,3.09,MS,8.79,63.752,0.68,291.762
76,04/01/2020 3:00,0.00045,0.01647,0.01692,0.171,0.03014,MS,MS,3.322,6.818,33.635,7.438,166.001,0.00026,0.00009,0.0172,0.01729,0.184,0.02804,2.479,3.439,50.805,6.169,182.2,Z,Z,Z,0.142,39.41,MS,1.802,29.679,15.63,224.745
77,04/01/2020 4:00,Z,Z,Z,Z,Z,MS,MS,3.681,5.729,36.378,8.261,177.434,0.00028,0.00005,0.00626,0.00632,0.122,0.03907,1.47,6.818,38.791,8.177,207.292,0.136,1.73,1.852,Z,Z,MS,1.388,26.543,23.3,219.941
78,04/01/2020 5:00,0.00016,0.00874,0.0089,0.128,0.03757,MS,MS,3.152,6.349,33.154,5.023,165.394,0.00028,0.0001,0.01306,0.01317,0.14,0.03253,1.839,5.179,41.836,3.903,236.455,0.129,1.476,1.591,0.103,44.264,MS,1.413,27.773,19.536,229.674
79,04/01/2020 6:00,0.00049,0.01647,0.01696,0.159,0.02844,MS,MS,5.676,3.08,43.766,4.35,111.574,0.00024,0.00002,0.0019,0.00192,0.105,0.04292,1.465,8.093,34.862,22.474,210.318,0.166,2.996,3.147,0.114,42.428,MS,1.534,29.525,10.742,233.018
80,04/01/2020 7:00,0.00133,0.02496,0.0263,0.178,0.02024,MS,MS,4.754,1.979,47.003,4.194,217.78,0.00021,0.00009,0.0028,0.0029,0.116,0.04147,1.333,8.056,37.943,19.024,217.779,0.087,1.71,1.783,0.106,43.159,MS,1.511,30.374,14.773,232.005
81,04/01/2020 8:00,0.00051,0.01185,0.01235,0.141,0.03284,MS,MS,1.969,5.01,44.192,13.688,209.065,0.00031,0.00006,0.00305,0.0031,0.117,0.04051,1.258,6.843,46.04,18.633,235.346,0.093,1.886,1.965,0.121,41.909,MS,1.403,36.211,14.99,247.07
82,04/01/2020 9:00,0.0013,0.01875,0.02004,0.168,0.02641,MS,MS,3.057,4.492,49.999,10.24,226.305,0.00033,0.0001,0.00401,0.00414,0.126,0.03883,0.996,5.641,51.984,15.849,246.362,0.09,3.61,3.685,0.127,39.304,MS,1.356,43.457,13.261,247.109
83,04/01/2020 10:00,0.00197,0.008,0.00997,0.157,0.03529,MS,MS,1.443,5.379,50.246,21.579,248.164,0.0003,0.00027,0.00214,0.00242,0.124,0.03936,0.548,5.763,54.61,25.894,244.595,0.27,2.486,2.741,0.126,39.529,MS,1.21,49.382,18.513,244.787
84,04/01/2020 11:00,0.00338,0.00893,0.0123,0.18,0.03422,MS,MS,1.763,4.503,55.644,15.193,295.411,0.00036,0.0007,0.00294,0.00363,0.133,0.03805,0.734,5.532,57.842,15.947,262.43,C,C,C,0.138,39.231,MS,1.34,55.086,11.703,287.006
85,04/01/2020 12:00,0.00046,0.00417,0.00463,0.195,0.04023,MS,MS,1.781,-0.488,79.123,28.096,343.844,0.00027,0.00083,0.00558,0.00641,0.158,0.0387,1.889,0.239,79.518,23.709,346.828,C,C,C,0.154,40.607,MS,1.404,74.694,19.638,337.216
86,04/01/2020 13:00,0.00132,0.00574,0.00706,0.213,0.03876,MS,MS,1.708,-0.646,84.394,15.636,338.615,0.00031,0.00201,0.00752,0.00954,0.171,0.03729,3.06,-0.339,95.434,15.331,343.681,C,C,C,0.165,40.414,MS,1.122,73.643,10.761,328.064
87,04/01/2020 14:00,0.00121,0.00437,0.00557,0.201,0.04049,MS,MS,1.423,0.472,73.352,12.95,327.615,0.00029,0.00321,0.00968,0.01288,0.186,0.03592,1.767,0.803,79.174,8.336,321.154,C,C,C,0.166,41.171,MS,0.944,65.269,9.35,326.193
88,04/01/2020 15:00,0.00109,0.00391,0.00499,0.191,0.04119,MS,MS,1.388,0.743,73.842,17.087,330.193,0.00049,0.00221,0.007,0.00921,0.177,0.03834,2.391,1.224,75.797,9.89,338.807,C,C,C,0.158,41.12,MS,1.124,66.884,11.045,316.426
