,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2020 0:00,0.00051,0.01136,0.01187,0.2,0.02355,MS,MS,2.948,3.625,53.295,3.704,301.507,0.00108,0.00054,0.01403,0.01457,0.21,0.02154,2.366,3.409,59.019,4.798,296.421,0.127,9.885,10.002,0.199,23.816,MS,3.814,59.493,2.302,244.592
2,01/01/2020 1:00,0.00121,0.02001,0.02122,0.26,0.01451,MS,MS,3.697,2.973,59.717,3.878,334.598,0.00122,0.00037,0.01473,0.0151,0.206,0.01959,2.658,3.083,62.849,N,N,0.488,15.263,15.721,0.215,17.581,MS,2.463,61.761,1.879,211.499
3,01/01/2020 2:00,0.00057,0.02078,0.02135,0.302,0.01238,MS,MS,3.962,2.513,63.874,4.364,337.504,Z,Z,Z,Z,Z,Z,7.735,2.325,68.151,N,N,0.999,20.829,21.815,0.285,12.256,MS,4.527,61.789,2.605,357.292
4,01/01/2020 3:00,0.00045,0.01887,0.01933,0.296,0.01248,MS,MS,3.881,1.788,68.599,1.414,262.044,0.00066,0.00345,0.031,0.03447,0.273,0.00515,6.891,2.229,70.402,1.779,348.957,Z,Z,Z,0.256,15.04,MS,3.584,64.658,4.864,280.59
5,01/01/2020 4:00,Z,Z,Z,Z,Z,MS,MS,5.295,1.548,70.284,2.595,315.568,0.00059,0.01643,0.03493,0.05131,0.405,0.00097,11.86,1.444,78.802,2.631,259.414,0.208,15.09,15.287,Z,Z,MS,1.815,66.322,5.964,296.294
