6,01/01/2021 5:00,0.0123,0.03826,0.05056,0.306,0.00113,MS,MS,7.093,-8.621,99.9,1.343,82.891,0.00017,0.00226,0.02433,0.02659,0.241,0.01495,6.02,-6.586,78.497,5.573,254.311,0.29,15.499,15.76,0.144,22.751,MS,0.391,55.762,4.908,283.663
7,01/01/2021 6:00,0.0066,0.03758,0.04418,0.261,0.00189,MS,MS,3.32,-7.604,99.961,2.631,157.883,0.00017,0.00219,0.0287,0.0309,0.248,0.01183,3.084,-6.348,76.344,2.789,279.8,0.512,18.92,19.406,0.142,20.305,MS,0.157,56.391,4.704,258.434
8,01/01/2021 7:00,0.01274,0.0388,0.05155,0.3,0.00092,MS,MS,3.548,-8.486,99.965,0.528,91.846,0.0002,0.00932,0.03852,0.04783,0.261,0.00348,3.132,-7.407,81.637,2.06,218.636,1.181,26.924,28.081,0.154,13.011,MS,0.221,57.741,4.112,277.483
9,01/01/2021 8:00,0.02516,0.03942,0.06458,0.299,0.00095,MS,MS,3.929,-8.774,99.957,0.423,176.683,0.00033,0.00453,0.03538,0.03992,0.264,0.0072,2.104,-6.323,76.138,3.342,268.145,4.405,26.709,31.092,0.209,13.375,MS,0.586,56.225,3.829,269.68
10,01/01/2021 9:00,0.02913,0.03935,0.06848,0.313,0.00128,MS,MS,3.568,-8.318,99.96,0.78,91.902,0.00019,0.00685,0.03615,0.043,0.242,0.00559,2.021,-6.177,77.182,2.104,224.273,1.706,24.374,26.062,0.209,13.944,MS,1.896,60.883,2.457,272.848
11,01/01/2021 10:00,0.04449,0.03794,0.08242,0.358,0.0034,MS,MS,4.212,-7.529,99.939,0.304,289.532,0.00031,0.01988,0.03676,0.05665,0.287,0.00658,2.449,-4.774,76.045,0.912,256.546,8.255,29.404,37.642,0.239,9.208,MS,1.789,63.677,1.421,253.076
12,01/01/2021 11:00,0.07152,0.04034,0.11186,0.418,0.0031,MS,MS,5.984,-5.601,99.997,0.276,128.838,0.00031,0.02177,0.03279,0.05456,0.29,0.00776,3.181,-3.313,78.875,0.969,176.414,14.207,33.133,47.325,0.257,7.192,MS,1.829,63.052,2.752,249.953
13,01/01/2021 12:00,0.08266,0.04209,0.12477,0.49,0.00343,MS,MS,8.143,-3.957,97.565,2.246,177.646,0.00038,0.02424,0.03227,0.0565,0.342,0.00955,4.451,-2.009,75.856,1.742,236.715,13.606,29.808,43.401,0.326,9.896,MS,3.976,61.334,2.053,230.623
14,01/01/2021 13:00,0.06562,0.03738,0.103,0.485,0.00704,MS,MS,8.462,-2.477,91.474,0.693,174.237,0.0005,0.01647,0.02427,0.04075,0.302,0.01611,3.332,-0.405,67.24,1.694,271.163,14.634,24.221,38.844,0.298,15.359,MS,6.408,53.347,2.46,280.346
15,01/01/2021 14:00,0.06246,0.03647,0.09894,0.514,0.00937,MS,MS,9.367,0.052,74.885,0.318,24.212,0.00068,0.02129,0.02748,0.04877,0.38,0.01779,5.07,0.78,59.159,1.43,255.663,8.368,17.979,26.338,0.27,21.912,MS,3.822,42.531,0.705,326.859
16,01/01/2021 15:00,0.05154,0.03785,0.08938,0.475,0.00914,MS,MS,12.097,2.024,61.491,2.936,158.629,0.00077,0.02425,0.03241,0.05665,0.422,0.01455,6.844,2.576,55.713,0.332,37.764,9.786,21.45,31.229,0.307,18.791,MS,7.927,45.424,2.299,267.551
17,01/01/2021 16:00,0.03978,0.03954,0.07933,0.473,0.0062,MS,MS,11.07,1.871,58.715,1.554,173.317,0.00062,0.01643,0.04289,0.05933,0.418,0.01509,7.732,2.203,60.38,0.749,208.647,8.566,25.091,33.658,0.301,13.858,MS,8.804,48.221,1.797,278.879
18,01/01/2021 17:00,0.02573,0.04155,0.06728,0.52,0.00273,MS,MS,15.72,1.536,61.476,1.438,157.927,0.00063,0.02986,0.04729,0.07716,0.505,0.00304,11.371,1.53,64.932,0.552,113.544,23.8,38.365,62.161,0.449,2.783,MS,9.247,55.029,2.056,278.544
19,01/01/2021 18:00,0.04542,0.0442,0.08962,0.637,0.00092,MS,MS,23.127,-1.354,80.294,1.146,217.19,0.00052,0.04245,0.04764,0.09009,0.628,0.00076,15.216,-1.175,81.832,0.884,250.652,13.285,38.192,51.484,0.418,2.909,MS,9.089,62.252,2.601,275.877
20,01/01/2021 19:00,0.07078,0.04659,0.11737,0.817,0.00108,MS,MS,28.702,-2.544,94.774,1.017,110.664,0.00059,0.03806,0.04634,0.0844,0.631,0.00101,20.202,-1.633,88.196,1.175,226.891,7.338,38.456,45.825,0.413,2.672,MS,12.302,67.289,2.096,279.886
21,01/01/2021 20:00,0.09123,0.04863,0.13986,0.95,0.0012,MS,MS,31.858,-2.769,99.296,2.19,172.849,0.0005,0.0309,0.04346,0.07436,0.651,0.00094,23.691,-2.817,96.243,2.009,161.513,5.898,38.485,44.401,0.458,3.363,MS,16.814,68.65,0.513,330.815
22,01/01/2021 21:00,0.08807,0.04572,0.13379,0.968,0.00116,MS,MS,32.302,-3.697,99.993,1.07,152.5,0.00034,0.02312,0.0428,0.06593,0.596,0.0013,24.385,-2.568,97.01,2.322,258.072,22.668,42.257,64.939,0.602,2.087,MS,30.504,75.606,1.294,339.978
23,01/01/2021 22:00,0.08369,0.04477,0.12847,0.998,0.0013,MS,MS,34.801,-4.617,99.994,0.805,35.787,0.00035,0.03528,0.0435,0.07878,0.678,0.00141,29.205,-3.067,98.918,2.127,300.839,33.461,44.118,77.595,0.703,2.321,MS,26.633,78.912,0.339,314.642
24,01/01/2021 23:00,0.07922,0.04321,0.12243,0.952,0.00094,MS,MS,26.664,-5.196,99.928,1.889,110.603,0.00034,0.03478,0.04299,0.07778,0.666,0.00149,24.349,-3.015,99.921,2.374,155.069,40.374,43.482,83.868,0.749,1.816,MS,19.61,80.622,2.248,53.954
25,02/01/2021 0:00,0.08479,0.04467,0.12947,0.899,0.00093,MS,MS,23.984,-5.063,99.971,1.435,336.177,0.00011,0.0022,0.01832,0.02051,0.256,0.01953,3.787,-1.165,96.774,8.558,151.477,18.187,40.088,58.288,0.519,1.708,MS,7.192,76.798,1.928,49.929
26,02/01/2021 1:00,0.07323,0.04387,0.11709,0.745,0.00077,MS,MS,17.414,-4.24,99.944,2.498,132.431,0.00021,0.00015,0.00407,0.00421,0.142,0.03604,0.003,4.002,68.635,14.09,184.332,16.85,39.909,56.776,0.441,1.036,MS,8.08,80.983,1.588,7.702
27,02/01/2021 2:00,0.04456,0.04284,0.0874,0.494,0.00085,MS,MS,10.317,-3.263,99.096,4.692,311.078,Z,Z,Z,Z,Z,Z,-0.198,4.866,59.942,16.318,180.628,13.921,38.49,52.429,0.346,1.286,MS,6.134,81.073,3.137,283.314
28,02/01/2021 3:00,0.04877,0.0455,0.09427,0.484,0.00058,MS,MS,10.637,-3.314,99.819,2.93,343.808,0.00031,0.00019,0.01114,0.01132,0.151,0.03101,0.004,4.592,56.287,7.937,223.692,2.027,32.285,34.332,0.222,4.337,MS,1.975,78.414,1.794,285.866
29,02/01/2021 4:00,Z,Z,Z,Z,Z,MS,MS,9.191,-4.604,99.729,2.045,23.27,0.00031,0.00021,0.00729,0.0075,0.148,0.03324,-0.289,5.33,47.09,7.549,250.145,Z,Z,Z,Z,Z,MS,0.836,71.66,1.27,291.476
30,02/01/2021 5:00,0.05989,0.04313,0.10301,0.475,0.00057,MS,MS,9.068,-6.269,99.9,1.567,56.343,0.00035,0.02804,0.03371,0.06175,0.257,0.01162,2.61,1.388,63.649,2.98,234.626,0.396,17.357,17.773,0.167,19.142,MS,0.293,60.891,3.283,264.975
31,02/01/2021 6:00,0.04064,0.04279,0.08343,0.405,0.00077,MS,MS,5.651,-5.599,99.628,2.153,87.199,0.00026,0.01218,0.02787,0.04005,0.218,0.01471,1.128,1.045,60.947,2.226,229.676,0.062,4.323,4.403,0.13,33.255,MS,-0.031,43.619,11.27,263.368
32,02/01/2021 7:00,0.02252,0.03554,0.05806,0.287,0.00706,MS,MS,3.194,-1.543,78.674,4.01,241.14,0.00008,0.00078,0.0166,0.01738,0.163,0.02173,0.31,-1.895,76.627,3.362,149.658,0.119,5.071,5.206,0.131,33.139,MS,0.095,41.586,11.623,241.578
33,02/01/2021 8:00,0.009,0.02766,0.03665,0.18,0.01221,MS,MS,1.515,0.934,57.313,4.13,209.763,0.00018,0.0009,0.01839,0.01929,0.178,0.02107,0.104,1.296,58.744,6.956,209.503,1.209,20.176,21.4,0.195,19.261,MS,0.298,50.292,3.193,240.146
34,02/01/2021 9:00,0.00675,0.03495,0.04169,0.251,0.00455,MS,MS,2.004,-1.941,71.872,0.672,124.808,0.00019,0.00139,0.01859,0.01998,0.191,0.02036,0.238,0.678,60.992,3.576,194.741,4.544,32.08,36.637,0.26,8.355,MS,1.202,56.534,1.485,106.476
35,02/01/2021 10:00,0.01493,0.03109,0.04602,0.265,0.00916,MS,MS,2.278,-1.304,68.908,4.214,164.274,0.00022,0.00745,0.02279,0.03024,0.244,0.01699,1.09,-0.452,63.311,5.869,165.313,4.836,20.52,25.363,0.229,19.907,MS,0.6,45.9,7.308,186.633
36,02/01/2021 11:00,0.02044,0.02663,0.04707,0.306,0.01528,MS,MS,3.042,0.655,58.388,2.429,148.472,0.00031,0.00209,0.00732,0.00942,0.175,0.03227,0.626,3.064,46.877,9.733,200.531,3.653,12.359,16.011,0.202,27.513,MS,1.078,38.093,3.74,170.381
37,02/01/2021 12:00,0.02102,0.02683,0.04785,0.233,0.0163,MS,MS,3.773,1.915,51.154,4.202,183.032,0.00035,0.00432,0.0128,0.01712,0.231,0.03094,3.508,3.797,46.152,6.547,173.649,11.526,22.026,33.579,0.286,20.589,MS,3.201,42.376,3.423,105.887
38,02/01/2021 13:00,0.02506,0.02792,0.05298,0.33,0.01682,MS,MS,5.714,3.474,46.969,4.266,232.308,0.00037,0.00387,0.01124,0.01511,0.223,0.03085,3.048,5.2,42.841,4.989,191.077,18.967,30.958,49.933,0.388,14.034,MS,5.765,44.507,3.113,78.761
39,02/01/2021 14:00,0.0027,0.00725,0.00995,0.152,0.03456,MS,MS,1.366,7.545,32.048,12.153,228.567,0.00031,0.0014,0.0045,0.0059,0.175,0.0379,1.647,7.554,33.483,16.061,223.219,5.057,13.27,18.317,0.229,29.095,MS,2.446,33.383,12.617,212.345
40,02/01/2021 15:00,0.00156,0.00521,0.00677,0.159,0.03678,MS,MS,1.574,7.696,33.268,10.761,210.67,0.00031,0.0012,0.00385,0.00505,0.152,0.038,1.264,7.763,36.095,10.624,214.793,0.692,2.965,3.66,0.131,38.348,MS,1.378,28.906,16.562,206.994
41,02/01/2021 16:00,0.00075,0.00542,0.00617,0.145,0.03653,MS,MS,1.248,7.892,31.821,12.218,225.898,0.00025,0.00072,0.00467,0.00539,0.165,0.03638,1.597,5.777,44.485,6.181,123.856,0.298,2.692,2.994,0.147,38.307,MS,1.372,29.817,7.638,173.073
42,02/01/2021 17:00,0.00008,0.00791,0.00799,0.162,0.03389,MS,MS,4.016,6.957,33.861,7.432,203.849,0.0002,0.00031,0.00763,0.00793,0.194,0.03424,1.974,5.875,41.686,4.91,210.522,0.394,4.25,4.647,0.138,37.032,MS,1.393,31.71,12.821,210.419
43,02/01/2021 18:00,0.0001,0.00848,0.00858,0.156,0.03356,MS,MS,2.139,6.959,33.89,10.287,206.335,0.00019,0.00012,0.00569,0.00581,0.167,0.03573,1.567,5.662,42.497,11.051,207.661,0.19,2.57,2.761,0.132,38.502,MS,1.161,29.613,18.356,216.329
44,02/01/2021 19:00,0.00043,0.00875,0.00919,0.165,0.03219,MS,MS,1.666,6.017,37.887,8.537,183.36,0.00019,0.00009,0.00369,0.00378,0.153,0.03763,0.379,5.974,42.016,13.897,203.977,0.173,2.086,2.256,0.131,38.733,MS,1.185,31.966,21.213,219.616
45,02/01/2021 20:00,0.00022,0.0079,0.00813,0.15,0.03303,MS,MS,1.574,5.601,42.801,11.998,188.963,0.00018,0.00017,0.00215,0.00232,0.142,0.03935,-0.033,6.618,41.932,25.922,213.189,0.125,1.884,2.006,0.133,38.631,MS,1.054,36.794,18.77,225.815
46,02/01/2021 21:00,-0.00017,0.00415,0.00398,0.139,0.03603,MS,MS,1.092,5.796,43.26,11.887,173.866,0.00023,0.00015,0.00323,0.00337,0.148,0.03788,0.586,6.163,44.458,13.66,214.009,0.086,1.325,1.405,0.131,38.6,MS,1.041,37.588,24.592,237.291
47,02/01/2021 22:00,0.00031,0.00564,0.00595,0.139,0.03464,MS,MS,1.033,5.949,43.077,14.907,239.763,0.00018,0.00012,0.00241,0.00253,0.142,0.03793,0.762,6.038,45.788,16.912,233.549,0.067,1.543,1.603,0.132,37.716,MS,1.301,40.258,21.268,245.351
48,02/01/2021 23:00,0.00048,0.00427,0.00475,0.137,0.03488,MS,MS,0.752,5.409,49.183,20.637,250.377,0.00029,0.00012,0.00165,0.00176,0.139,0.03823,0.485,6.049,48.041,27.502,246.873,0.111,1.46,1.562,0.132,36.956,MS,1.031,44.27,22.281,232.668
49,03/01/2021 0:00,0.0006,0.00388,0.00449,0.143,0.03501,MS,MS,0.724,5.672,48.076,25.423,248.812,0.00017,0.00012,0.00156,0.00168,0.137,0.03822,0.365,6.108,47.926,30.211,246.048,0.15,1.593,1.733,0.13,36.248,MS,1.012,48.024,26.331,227.943
50,03/01/2021 1:00,0.0011,0.00657,0.00767,0.485,0.03256,MS,MS,0.93,5.533,49.659,19.827,241.81,0.00016,0.00015,0.00168,0.00183,0.138,0.03767,0.749,5.695,50.927,27.054,244.274,0.151,1.578,1.717,0.128,36.063,MS,1.02,48.925,27.256,225.413
51,03/01/2021 2:00,0.00066,0.00491,0.00558,1.014,0.03367,MS,MS,0.734,5.255,51.268,17.852,236.292,Z,Z,Z,Z,Z,Z,0.319,5.559,51.313,24.187,239.246,0.15,1.568,1.704,0.13,35.768,MS,0.967,50.181,23.972,227.244
52,03/01/2021 3:00,0.00052,0.00639,0.00692,1.254,0.03189,MS,MS,0.845,4.689,54.484,14.841,237.227,0.00016,0.0001,0.00225,0.00235,0.14,0.03671,-0.394,5.231,53.389,22.36,236.263,0.138,1.717,1.84,0.13,35.225,MS,0.945,52.679,21.249,226.224
53,03/01/2021 4:00,Z,Z,Z,Z,Z,MS,MS,0.782,4.609,56.575,16.542,242.169,0.00015,0.00015,0.0023,0.00245,0.141,0.03616,-0.412,5.114,55.886,26.222,236.21,Z,Z,Z,Z,Z,MS,0.967,53.105,21.211,220.085
54,03/01/2021 5:00,0.00117,0.00795,0.0091,1.189,0.03019,MS,MS,0.768,4.604,58.269,15.541,239.416,0.00014,0.00012,0.002,0.00212,0.142,0.03611,-0.466,5.107,57.495,26.743,235.644,0.193,2.347,2.523,0.133,34.249,MS,0.928,55.747,17.381,220.833
55,03/01/2021 6:00,0.00226,0.01344,0.0157,0.996,0.02511,MS,MS,0.98,3.747,65.766,12.017,243.413,0.00012,0.00013,0.00262,0.00275,0.144,0.03507,-0.472,4.335,64.163,18.565,240.436,0.089,4.229,4.301,0.139,31.771,MS,0.914,61.629,8.596,267.088
56,03/01/2021 7:00,0.00183,0.01038,0.01221,0.422,0.02741,MS,MS,0.908,3.484,68.87,15.308,260.927,0.00015,0.00019,0.00347,0.00366,0.148,0.03399,-0.414,3.701,70.588,16.79,253.54,0.095,4.556,4.633,0.136,31.679,MS,0.072,63.762,13.11,265.365
57,03/01/2021 8:00,0.00015,0.00527,0.00543,0.143,0.03291,MS,MS,0.728,3.371,69.771,14.346,321.174,0.00015,0.00021,0.00366,0.00388,0.155,0.03758,-0.299,4.097,62.674,16.384,278.952,0.176,3.483,3.64,0.142,33.325,MS,0.116,71.779,9.272,286.091
58,03/01/2021 9:00,0.00067,0.01274,0.01341,0.187,0.02408,MS,MS,1.188,1.517,94.362,2.807,237.987,0.00014,0.00042,0.01044,0.01086,0.178,0.0284,0.161,1.74,87.797,2.5,97.804,0.196,8.077,8.255,0.167,27.233,MS,0.568,77.725,6.562,253.727
59,03/01/2021 10:00,0.00288,0.01671,0.01958,0.238,0.0214,MS,MS,2.628,1.44,83.917,2.442,272.932,0.00023,0.00146,0.01114,0.0126,0.19,0.02761,0.431,1.393,94.984,4.781,248.403,0.632,7.065,7.676,0.161,29.817,MS,0.458,70.787,9.209,275.148
60,03/01/2021 11:00,0.00404,0.01057,0.01461,0.169,0.03263,MS,MS,1.282,1.774,57.24,9.367,286.902,0.00043,0.00308,0.01143,0.01451,0.201,0.03052,0.85,1.707,75.245,4.513,295.511,0.545,3.668,4.198,0.142,37.802,MS,0.288,55.497,11.153,274.699
61,03/01/2021 12:00,0.00589,0.00993,0.01581,0.161,0.03417,MS,MS,1.416,3.698,45.182,8.75,291.322,0.00068,0.00173,0.00491,0.00664,0.165,0.0395,0.133,2.707,56.48,7.799,270.346,0.674,2.716,3.37,0.143,39.414,MS,0.901,48.392,11.822,270.288
62,03/01/2021 13:00,0.00471,0.00783,0.01257,0.151,0.03648,MS,MS,1.193,4.052,37.574,16.542,273.565,0.00031,0.00247,0.00588,0.00835,0.182,0.03836,0.496,4.081,47.457,6.021,262.776,0.795,2.891,3.668,0.145,39.061,MS,1.546,37.875,12.36,261.612
63,03/01/2021 14:00,0.00318,0.00561,0.00881,0.138,0.03864,MS,MS,1.066,4.335,28.55,21.052,273.25,0.00009,0.00078,0.00224,0.00302,0.146,0.04156,1.006,4.61,31.864,19.582,253.308,0.549,2.188,2.72,0.137,40.126,MS,1.434,29.041,17.137,258.286
64,03/01/2021 15:00,0.00568,0.01065,0.01636,0.151,0.03462,MS,MS,1.508,4.046,31.278,19.364,267.479,0.00007,0.00061,0.00211,0.00272,0.141,0.04184,1.008,4.45,32.02,24.356,268.732,0.519,2.326,2.826,0.14,39.832,MS,1.534,30.911,15.975,259.051
65,03/01/2021 16:00,0.00808,0.01723,0.02533,0.166,0.02871,MS,MS,1.678,3.547,33.499,15.032,269.28,0.00006,0.00049,0.00292,0.00341,0.147,0.04114,1.142,4.131,32.876,16.666,271.188,0.303,2.454,2.737,0.132,39.815,MS,1.586,30.587,18.057,259.73
66,03/01/2021 17:00,0.00549,0.02193,0.0274,0.158,0.02486,MS,MS,1.868,2.633,32.425,15.847,268.085,0.00005,0.00053,0.00838,0.0089,0.189,0.03624,1.439,2.865,34.342,7.721,277.345,0.127,2.834,2.941,0.133,39.73,MS,1.399,31.34,16.165,263.323
67,03/01/2021 18:00,0.00123,0.01672,0.01797,0.153,0.02862,MS,MS,2.085,1.819,32.215,9.293,267.957,0.00005,0.00056,0.01928,0.01983,0.214,0.02513,1.365,0.355,38.788,1.408,275.788,0.09,3.798,3.867,0.135,38.76,MS,0.706,33.168,13.576,261.011
68,03/01/2021 19:00,0.0007,0.02484,0.02555,0.192,0.02012,MS,MS,3.237,-0.659,39.006,4.448,190.589,0.00007,0.00035,0.01958,0.01993,0.265,0.02329,4.131,-2.083,44.655,3.641,185.315,0.077,2.376,2.431,0.126,40.233,MS,0.484,28.978,14.431,253.369
69,03/01/2021 20:00,0.00041,0.02303,0.02345,0.185,0.02146,MS,MS,3.051,-1.044,37.6,3.681,200.019,0.00008,0.00021,0.01387,0.01409,0.192,0.03007,2.149,-0.97,38.269,1.578,249.844,0.061,2.856,2.896,0.128,39.657,MS,1.287,29.594,11.216,256.187
70,03/01/2021 21:00,0.00202,0.03501,0.03702,0.316,0.00926,MS,MS,6.29,-2.969,49.321,2.6,94.457,0.00007,0.00064,0.01679,0.01743,0.183,0.0284,1.439,0.166,34.721,4.405,222.14,0.079,6.399,6.456,0.138,35.123,MS,1.34,35.369,1.831,204.954
71,03/01/2021 22:00,0.00911,0.04366,0.05277,0.409,0.0012,MS,MS,8.439,-5.316,64.065,1.147,20.98,0.00017,0.00033,0.01546,0.0158,0.164,0.02902,1.065,0.205,35.862,5.578,207.867,0.443,18.051,18.472,0.195,23.479,MS,1.763,41.296,1.078,104.286
72,03/01/2021 23:00,0.03328,0.04544,0.07871,0.53,0.00057,MS,MS,9.473,-6.282,71.044,2.009,38.992,0.00009,0.00069,0.0153,0.01598,0.19,0.02938,1.24,0.382,37.118,5.748,265.408,0.153,12.791,12.921,0.175,28.751,MS,1.959,38.044,6.269,254.719
73,04/01/2021 0:00,0.0232,0.03655,0.05975,0.378,0.00938,MS,MS,5.616,-4.808,61.192,5.46,243.359,0.00007,0.00032,0.019,0.01932,0.201,0.02447,1.91,-1.163,42.808,0.634,234.083,0.058,2.205,2.24,0.126,38.489,MS,0.161,34.128,14.321,256.979
74,04/01/2021 1:00,0.00324,0.01824,0.02148,0.138,0.02547,MS,MS,1.188,0.2,40.371,8.05,250.714,0.00002,0.00041,0.01805,0.01846,0.173,0.02227,0.824,-4.309,53.707,0.086,134.184,0.052,2.66,2.688,0.128,37.946,MS,0.535,35.192,12.378,265.18
75,04/01/2021 2:00,0.00581,0.02056,0.02637,0.136,0.02442,MS,MS,1.178,1.494,37.351,14.213,268.094,Z,Z,Z,Z,Z,Z,1.351,-4.573,57.574,3.637,213.922,0.145,8.268,8.39,0.13,32.416,MS,0.23,39.818,11.152,267.617
76,04/01/2021 3:00,0.00032,0.00648,0.0068,0.133,0.03629,MS,MS,0.588,1.69,37.424,18.406,276.838,0.00012,0.00974,0.04386,0.0536,0.221,0.00461,0.947,-3.346,51.61,2.834,256.011,0.061,3.42,3.46,0.129,36.741,MS,0.056,42.565,8.473,278.206
77,04/01/2021 4:00,Z,Z,Z,Z,Z,MS,MS,0.687,1.467,37.679,16.105,279.587,0.00012,0.00629,0.03751,0.04381,0.209,0.00781,1.115,-4.428,55.125,3.534,214.156,Z,Z,Z,Z,Z,MS,0.075,41.051,8.445,277.506
78,04/01/2021 5:00,0.01678,0.03846,0.05523,0.225,0.00749,MS,MS,2.4,-2.206,51.154,6.896,207.717,0.00016,0.01556,0.04229,0.05785,0.207,0.0066,0.824,-3.59,50.594,3.806,246.444,0.058,4.119,4.153,0.127,37.594,MS,0.055,44.627,7.242,278.761
79,04/01/2021 6:00,0.0247,0.04983,0.07454,0.314,0.00066,MS,MS,3.386,-4.645,63.518,3.625,166.253,0.00047,0.02384,0.04322,0.06706,0.24,0.00625,1.072,-5.415,56.047,2.011,230.494,0.075,8.281,8.328,0.132,33.676,MS,0.096,47.528,5.278,282.853
80,04/01/2021 7:00,0.03684,0.04689,0.08373,0.487,0.00072,MS,MS,4.442,-5.834,69.118,4.955,179.324,0.00028,0.02524,0.04233,0.06757,0.314,0.00537,3.164,-7.426,66.189,1.599,223.026,0.259,15.478,15.698,0.159,26.762,MS,0.236,49.974,4.236,273.088
81,04/01/2021 8:00,0.0674,0.04839,0.11579,0.574,0.00053,MS,MS,4.895,-6.584,78.374,1.773,163.603,0.00088,0.06099,0.05445,0.11544,0.434,0.00055,4.26,-6.494,66.287,1.624,237.93,1.662,33.161,34.783,0.279,10.579,MS,0.594,56.817,2.02,282.105
82,04/01/2021 9:00,0.06934,0.05202,0.12136,0.664,0.00094,MS,MS,4.725,-7.028,83.353,0.679,154.267,0.00085,0.1102,0.05792,0.16812,0.654,0.00079,8.914,-7.618,72.925,0.751,119.084,9.802,41.433,51.219,0.381,3.991,MS,1.136,62.196,0.078,165.558
83,04/01/2021 10:00,0.14614,0.05744,0.20358,C,0.00229,MS,MS,11.628,-6.384,78.384,1.601,181.546,0.00068,0.09912,0.05394,0.15306,0.665,0.00243,9.217,-7.059,70.47,1.815,144.161,40.875,44.963,85.818,0.507,3.984,MS,3.76,61.543,0.142,345.064
84,04/01/2021 11:00,0.10712,0.05085,0.15796,C,0.00705,MS,MS,11.189,-3.561,64.069,1.12,180.196,0.00084,0.09505,0.05116,0.1462,0.65,0.00608,8.969,-3.307,56.065,0.537,318.277,52.061,43.281,95.327,0.613,7.888,MS,4.668,49.144,0.619,47.509
85,04/01/2021 12:00,0.03938,0.03814,0.07753,C,0.01182,MS,MS,6.315,-2.493,53.661,3.087,193.366,0.0002,0.01759,0.02521,0.0428,0.228,0.01833,3.425,-3.502,59.208,4.016,131.847,26.738,38.105,64.829,0.439,11.841,MS,4.341,43.28,1.983,116.833
86,04/01/2021 13:00,0.0632,0.04598,0.10918,C,0.00818,MS,MS,13.112,-1.898,55.157,1.09,149.146,0.00025,0.02966,0.03256,0.06222,0.337,0.01344,5.504,-2.26,59.821,1.519,93.533,41.574,43.146,84.707,0.524,8.459,MS,7.238,45.258,0.686,252.314
87,04/01/2021 14:00,0.05125,0.04397,0.09521,C,0.00722,MS,MS,13.306,-1.828,60.203,2.088,127.048,0.00043,0.0572,0.04577,0.103,0.313,0.00567,7.04,-1.972,61.964,2.6,87.06,46.615,46.478,93.08,0.639,6.738,MS,10.228,48.163,1.344,249.013
88,04/01/2021 15:00,0.02339,0.03473,0.05812,C,0.01116,MS,MS,10.784,-1.622,62.017,3.915,91.151,0.00031,0.03535,0.03009,0.06543,0.257,0.01741,4.533,0.379,65.44,5.933,157.97,41.523,45.362,86.875,0.596,6.403,MS,11.382,51.059,1.785,260.77
