,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2021 0:00,0.05489,0.04142,0.09632,0.758,0.0018,MS,MS,34.65,-8.766,99.9,0.411,125.532,0.00021,0.00294,0.03136,0.0343,0.386,0.00914,25.017,-7.217,100.005,3.967,245.423,19.694,33.682,53.381,0.545,8.288,MS,24.603,83.492,4.533,295.528
2,01/01/2021 1:00,0.04362,0.03951,0.08314,0.689,0.0016,MS,MS,28.598,-8.759,99.899,1.258,97.845,0.00013,0.0013,0.02219,0.02349,0.333,0.01648,23.85,-6.19,90.28,6.745,253.312,0.676,12.768,13.413,0.206,25.806,MS,2.549,60.01,6.084,276.712
3,01/01/2021 2:00,0.02406,0.03713,0.06119,0.561,0.00144,MS,MS,21.941,-8.978,99.9,0.882,127.349,Z,Z,Z,Z,Z,Z,12.106,-5.586,77.143,7.1,245.616,0.112,9.096,9.179,0.146,29.546,MS,1.177,58.553,6.257,268.778
4,01/01/2021 3:00,0.01952,0.03659,0.0561,0.51,0.00158,MS,MS,15.731,-9.108,99.9,2.147,142.431,0.00013,0.00069,0.01453,0.01522,0.215,0.02302,8.107,-5.972,76.668,8.183,247.268,0.085,6.986,7.04,0.133,31.25,MS,0.431,56.249,5.784,289.54
5,01/01/2021 4:00,Z,Z,Z,Z,Z,MS,MS,11.359,-8.76,99.902,2.527,163.419,0.00016,0.00102,0.01381,0.01483,0.202,0.02514,5.488,-4.787,69.863,10.748,263.824,Z,Z,Z,Z,Z,MS,0.63,55.001,4.593,301.853
