,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2022 0:00,0.05034,0.04042,0.09076,0.429,0.00695,MS,MS,23.61,-24.996,81.239,3.97,257.573,0.00028,0.00924,0.0331,0.04234,0.284,0.00486,9.768,-24.708,85.214,5.005,276.909,1.949,25.087,27.032,0.208,9.205,MS,4.986,73.682,7.294,307.956
2,01/01/2022 1:00,0.06282,0.04147,0.10429,0.466,0.00674,MS,MS,19.184,-24.878,83.877,2.069,283.292,0.0002,0.00456,0.02052,0.02508,0.21,0.01675,4.668,-24.961,80.474,6.337,278.958,2.28,27.121,29.396,0.21,7.514,MS,4.487,73.324,5.969,310.275
3,01/01/2022 2:00,0.05708,0.04214,0.09922,0.446,0.00837,MS,MS,52.14,-25.397,82.489,3.362,263.885,Z,Z,Z,Z,Z,Z,3.635,-25.367,76.997,6.803,280.922,1.573,24.31,25.877,0.208,11.694,MS,2.398,73.349,5.676,313.117
4,01/01/2022 3:00,0.07251,0.04636,0.11888,0.501,0.00883,MS,MS,51.452,-25.932,81.548,3.02,261.429,0.00016,0.00341,0.01774,0.02115,0.203,0.02015,2.163,-25.665,75.587,7.326,279.964,0.53,16.428,16.953,0.166,21.222,MS,0.72,70.923,7.378,325.951
5,01/01/2022 4:00,Z,Z,Z,Z,Z,MS,MS,43.139,-24.913,82.77,1.834,250.534,0.00016,0.00626,0.03078,0.03704,0.308,0.00858,7.647,-25.303,83.248,5.365,266.644,Z,Z,Z,Z,Z,MS,-0.038,67.752,8.672,314.747
