6,01/01/2022 5:00,0.06213,0.04713,0.10924,0.45,0.00818,MS,MS,16.388,-24.628,80.762,1.384,207.146,0.00015,0.0047,0.02899,0.03369,0.278,0.01007,4.414,-25.125,86.417,5.189,259.669,0.525,14.997,15.515,0.146,23.579,MS,-0.338,66.93,7.588,312.605
7,01/01/2022 6:00,0.03537,0.04251,0.07785,0.376,0.00617,MS,MS,3.519,-24.435,84.658,1.598,200.712,0.00016,0.00271,0.0257,0.02841,0.223,0.0128,2.162,-25.054,80.653,6.293,242.782,0.575,14.407,14.974,0.139,25.238,MS,-0.883,65.016,5.545,323.046
8,01/01/2022 7:00,0.05291,0.04599,0.09893,0.414,0.00597,MS,MS,5.758,-24.115,86.819,0.602,213.183,0.00015,0.00215,0.026,0.02815,0.245,0.01325,0.794,-24.536,79.774,5.298,248.882,0.413,13.242,13.646,0.136,26.596,MS,-0.732,61.798,8.122,317.479
9,01/01/2022 8:00,0.06849,0.04848,0.11694,0.433,0.00632,MS,MS,12.502,-23.46,89.449,1.206,208.842,0.00025,0.01649,0.03735,0.05384,0.267,0.00744,1.094,-23.507,80.192,4.871,239.26,1.826,24.689,26.506,0.158,17.209,MS,-0.631,63.463,5.227,342.488
10,01/01/2022 9:00,0.06253,0.04724,0.10972,0.435,0.0057,MS,MS,4.405,-22.827,89.475,0.39,128.179,0.00022,0.0072,0.02877,0.03597,0.23,0.01306,0.538,-23.159,80.292,5.312,240.066,0.723,18.319,19.031,0.147,22.956,MS,-0.67,61.263,6.407,320.34
11,01/01/2022 10:00,0.04237,0.03809,0.08044,0.369,0.00959,MS,MS,2.125,-20.513,95.892,0.907,153.717,0.00031,0.01733,0.02836,0.04568,0.251,0.01621,1.174,-21.321,80.192,4.384,239.191,1.996,14.28,16.266,0.134,27.296,MS,-0.464,57.111,5.16,320.644
12,01/01/2022 11:00,0.02673,0.02703,0.05376,0.311,0.01854,MS,MS,1.865,-18.329,98.567,1.315,178.972,0.00047,0.01515,0.02101,0.03617,0.27,0.02214,1.327,-18.962,73.263,3.677,263.461,D,D,D,D,D,MS,D,D,D,D
13,01/01/2022 12:00,0.04223,0.02962,0.07185,0.357,0.01894,MS,MS,2.843,-15.453,87.822,0.943,138.471,0.00071,0.02843,0.02684,0.05529,0.411,0.01954,3.539,-14.899,57.618,1.632,219.928,D,D,D,D,D,MS,D,D,D,D
14,01/01/2022 13:00,0.02502,0.02377,0.04879,0.334,0.02481,MS,MS,2.796,-12.087,55.916,2.602,203.52,0.00079,0.01949,0.02197,0.04146,0.334,0.02331,2.824,-12.326,51.269,2.188,249.857,D,D,D,D,D,MS,D,D,D,D
15,01/01/2022 14:00,0.01684,0.02247,0.03931,0.326,0.0253,MS,MS,2.582,-9.783,50.062,3.712,179.283,0.00085,0.01188,0.01868,0.03057,0.308,0.02514,1.981,-10.829,47.838,3.21,147.115,D,D,D,D,D,MS,D,D,D,D
16,01/01/2022 15:00,0.02497,0.03433,0.0593,0.439,0.01677,MS,MS,4.814,-10.147,54.422,4.877,162.086,0.00048,0.01502,0.02568,0.04069,0.364,0.01816,5.59,-10.932,53.579,2.528,148.564,D,D,D,D,D,MS,D,D,D,D
17,01/01/2022 16:00,0.02549,0.04047,0.06596,0.502,0.01142,MS,MS,6.124,-9.802,57.231,2.34,109.706,0.00044,0.01038,0.02788,0.03825,0.351,0.01634,5.516,-10.261,55.481,2.425,176.911,D,D,D,D,D,MS,D,D,D,D
18,01/01/2022 17:00,0.03074,0.04922,0.07996,0.529,0.00501,MS,MS,8.469,-9.207,59.342,3.854,171.422,0.00031,0.0046,0.03138,0.03598,0.374,0.00902,8.064,-10.777,65.368,2.065,149.334,D,D,D,D,D,MS,D,D,D,D
19,01/01/2022 18:00,0.01113,0.04504,0.05617,0.493,0.00433,MS,MS,10.542,-7.8,64.644,5.909,186.227,0.00059,0.00476,0.03393,0.03869,0.353,0.0109,6.313,-7.312,62.612,5.931,222.844,0.135,4.639,4.756,0.116,37.556,MS,0.268,48.638,11.137,300.161
20,01/01/2022 19:00,0.0043,0.02797,0.03226,0.329,0.01948,MS,MS,6.63,-3.851,53.951,10.713,262.214,0.00118,0.00441,0.03255,0.03695,0.259,0.01274,6.749,-5.168,57.588,5.453,223.299,0.125,3.333,3.442,0.111,41.366,MS,0.569,43.548,16.643,292.979
21,01/01/2022 20:00,-0.00046,0.00647,0.006,0.138,0.04106,MS,MS,1.17,0.026,35.012,27.422,273.594,0.00097,0.00061,0.00877,0.00938,0.157,0.03631,0.825,-0.14,39.008,18.493,283.328,0.11,3.351,3.445,0.108,41.952,MS,0.197,37.584,15.739,287.416
22,01/01/2022 21:00,-0.00116,0.00417,0.00301,0.137,0.04286,MS,MS,0.897,0.426,32.036,20.687,287.596,0.00063,0.00087,0.00628,0.00714,0.125,0.03916,-1.54,0.127,34.309,11.039,314.96,0.103,4.939,5.025,0.117,40.509,MS,1.312,39.035,7.256,301.402
23,01/01/2022 22:00,0.0034,0.01839,0.02179,0.171,0.02856,MS,MS,1.819,-1.226,37.898,10.435,299.64,0.00066,0.00093,0.01611,0.01705,0.162,0.02834,1.714,-1.512,41.04,3.799,265.355,0.52,8.448,8.95,0.124,36.967,MS,1.205,40.236,3.43,282.063
24,01/01/2022 23:00,0.0098,0.03509,0.04489,0.225,0.01082,MS,MS,4.105,-3.311,48.406,6.774,210.645,0.00108,0.00324,0.02899,0.03223,0.205,0.01555,5.123,-3.601,50.795,5.31,235.209,0.994,14.25,15.226,0.158,31.743,MS,1.325,43.498,4.883,227.748
25,02/01/2022 0:00,-0.00054,0.01981,0.01927,0.197,0.02373,MS,MS,3.295,-3.2,48.486,6.643,179.387,0.00086,0.00192,0.02499,0.02691,0.249,0.01873,8.263,-4.411,55.422,3.792,246.601,0.095,3.778,3.854,0.11,42.307,MS,-0.046,36.791,13.404,272.04
26,02/01/2022 1:00,-0.00022,0.01947,0.01926,0.176,0.02491,MS,MS,2.131,-1.849,42.543,0.387,304.591,0.0006,0.00218,0.02356,0.02574,0.233,0.01811,6.736,-5.373,58.302,2.909,120.684,0.069,1.528,1.577,0.091,44.048,MS,-0.307,35.661,21.934,277.299
27,02/01/2022 2:00,-0.0001,0.01563,0.01554,0.142,0.0297,MS,MS,1.388,-0.176,37.361,11.944,269.178,Z,Z,Z,Z,Z,Z,4.387,-7.289,65.761,2.725,151.495,0.079,2.013,2.071,0.095,43.266,MS,-0.201,39.573,20.862,287.016
28,02/01/2022 3:00,-0.00033,0.0206,0.02025,0.177,0.02419,MS,MS,1.676,-1.82,43.689,4.26,233.574,0.00035,0.00126,0.02606,0.02733,0.206,0.01538,2.079,-6.829,61.979,3.124,151.372,0.076,2.232,2.288,0.098,43.053,MS,-0.11,42.515,16.656,284.254
29,02/01/2022 4:00,Z,Z,Z,Z,Z,MS,MS,1.703,-2.836,46.921,6.199,89.983,0.00045,0.01686,0.03836,0.05526,0.278,0.00719,3.636,-7.044,61.981,1.582,92.879,Z,Z,Z,Z,Z,MS,-0.145,35.981,15.814,286.905
30,02/01/2022 5:00,-0.00061,0.01589,0.01529,0.163,0.02767,MS,MS,1.837,-2.718,45.235,5.545,116.336,0.00038,0.01286,0.03883,0.05166,0.281,0.00601,2.554,-7.305,61.294,3.086,81.562,0.085,2.187,2.251,0.093,44.215,MS,-0.126,35.533,19.396,284.796
31,02/01/2022 6:00,0.00051,0.01997,0.02049,0.152,0.02528,MS,MS,1.328,-2.135,44.337,8.745,240.411,0.00044,0.00064,0.00944,0.01011,0.14,0.03504,-1.498,-0.92,39.949,17.466,245.23,0.089,2.101,2.17,0.096,43.971,MS,-0.087,39.844,20.425,283.457
32,02/01/2022 7:00,0.0013,0.01592,0.01723,0.138,0.02959,MS,MS,1.251,-0.7,39.299,17.265,268.108,0.00042,0.00026,0.00236,0.00262,0.126,0.04211,-2.161,0.171,37.974,20.192,248.55,0.106,2.397,2.484,0.102,43.233,MS,-0.213,41.14,19.957,284.498
33,02/01/2022 8:00,0.00103,0.01092,0.01194,0.135,0.03405,MS,MS,1.162,-0.854,39.718,23.92,261.4,0.0004,0.00043,0.00489,0.00532,0.136,0.03936,-1.582,-0.959,42.772,18.47,256.893,0.159,3.197,3.34,0.109,42.066,MS,-0.133,43.368,21.088,277.048
34,02/01/2022 9:00,0.00119,0.01273,0.01392,0.142,0.03209,MS,MS,1.159,-1.041,38.678,17.071,267.822,0.00033,0.00055,0.00483,0.00538,0.142,0.03921,-1.38,-1.131,40.904,14.029,253.802,0.138,2.875,2.995,0.109,42.234,MS,-0.262,41.211,19.997,281.742
35,02/01/2022 10:00,0.00068,0.00989,0.01059,0.154,0.03409,MS,MS,1.176,-0.733,36.809,13.585,280.156,0.00042,0.00297,0.01357,0.01654,0.213,0.03026,0.321,-1.976,41.791,3.291,272.695,0.246,2.782,3.011,0.115,42.442,MS,-0.253,37.317,15.916,283.617
36,02/01/2022 11:00,0.00444,0.01317,0.0176,0.161,0.03125,MS,MS,1.384,0.045,36.109,4.46,225.758,0.00069,0.00655,0.01696,0.02351,0.275,0.02921,1.966,-1.146,39.411,2.987,203.943,0.35,2.142,2.477,0.111,42.572,MS,-0.07,35.371,20.04,290.565
37,02/01/2022 12:00,0.00465,0.0089,0.01357,0.17,0.03461,MS,MS,1.789,0.966,35.337,3.402,314.349,0.00056,0.00563,0.01079,0.01641,0.188,0.03372,0.854,0.827,34.465,2.682,1.987,0.377,1.894,2.257,0.114,42.793,MS,-0.235,35.321,16.378,313.577
38,02/01/2022 13:00,0.00077,0.00343,0.00422,0.145,0.04003,MS,MS,1.063,2.011,32.122,13.683,292.936,0.00059,0.00623,0.01145,0.01768,0.233,0.03209,3.952,1.262,36.297,5.658,193.661,0.402,1.813,2.199,0.106,42.943,MS,0.318,32.688,16.807,318.013
39,02/01/2022 14:00,-0.00024,0.00246,0.00223,0.146,0.04085,MS,MS,1.17,2.429,31.74,12.849,304.477,0.00048,0.00306,0.00775,0.01082,0.167,0.0342,2.497,-0.506,43.879,4.668,134.36,0.793,2.947,3.727,0.113,42.031,MS,0.897,32.75,16.466,338.406
40,02/01/2022 15:00,0.00469,0.01027,0.01493,0.175,0.03375,MS,MS,2.06,2.338,34.057,8.592,246.495,0.00055,0.00415,0.0105,0.01465,0.235,0.03311,5.067,1.586,38.128,7.618,188.457,0.808,4.124,4.917,0.126,41.354,MS,1.122,33.505,7.442,259.66
41,02/01/2022 16:00,0.00027,0.01014,0.0104,0.2,0.03294,MS,MS,3.153,0.361,40.083,5.519,184.754,0.00038,0.00166,0.01084,0.0125,0.211,0.03152,5.47,-0.377,42.969,4.1,161.377,1.825,11.325,13.132,0.253,34.558,MS,1.432,38.56,4.326,236.742
42,02/01/2022 17:00,0.00554,0.03465,0.04018,0.343,0.00974,MS,MS,6.695,-0.959,46.784,1.265,115.334,0.00039,0.00345,0.02357,0.02702,0.261,0.01782,10.208,-1.799,49.869,3.217,112.95,1.307,21.805,23.101,0.304,25.743,MS,2.631,43.022,2.486,153.292
43,02/01/2022 18:00,0.00155,0.03743,0.03899,0.381,0.00673,MS,MS,9.779,-1.562,48.556,3.696,62.717,0.00031,0.0029,0.03021,0.0331,0.262,0.01251,10.047,-2.948,55.911,3.932,83.468,13.383,46.178,59.549,0.44,8.884,MS,7.1,51.606,3.748,34.992
44,02/01/2022 19:00,-0.00109,0.0085,0.00741,0.177,0.03036,MS,MS,4.27,-5.342,72.78,18.93,33.392,0.0003,0.00153,0.01304,0.01458,0.178,0.02722,3.816,-4.626,70.342,15.104,38.607,0.726,10.297,11.012,0.147,31.996,MS,2.173,68.8,12.418,48.718
45,02/01/2022 20:00,-0.00095,0.00874,0.00778,0.19,0.02534,MS,MS,19.918,-9.627,99.772,17.723,15.948,0.00017,0.00213,0.01081,0.01294,0.178,0.02389,47.526,-9.355,99.863,16.68,23.15,0.65,7.752,8.392,0.158,28.906,MS,12.212,85.917,12.196,39.668
46,02/01/2022 21:00,-0.00098,0.00805,0.00706,0.189,0.02432,MS,MS,18.602,-10.764,99.701,14.913,10.845,0.00016,0.00139,0.00844,0.00983,0.178,0.02418,48.862,-10.45,99.712,14.379,14.453,0.776,7.365,8.132,0.16,28.11,MS,11.417,87.898,9.593,37.925
47,02/01/2022 22:00,-0.00106,0.00909,0.00803,0.2,0.02087,MS,MS,17.677,-12.004,99.779,14.666,17.478,0.00028,0.00092,0.0089,0.00983,0.189,0.02119,34.553,-11.618,99.787,13.833,15.135,0.75,8.2,8.942,0.172,25.304,MS,11.769,86.443,10.71,34.604
48,02/01/2022 23:00,-0.00112,0.00832,0.0072,0.196,0.02034,MS,MS,16.318,-13.534,99.8,13.555,8.981,0.00035,0.00099,0.00933,0.01032,0.194,0.01936,26.538,-13.129,99.8,11.467,26.006,0.807,8.046,8.846,0.171,24.323,MS,13.449,85.479,8.115,36.846
49,03/01/2022 0:00,-0.00124,0.00616,0.00492,0.193,0.02141,MS,MS,14.85,-14.637,99.8,12.642,38.381,0.00034,0.00101,0.0084,0.0094,0.187,0.01929,24.786,-14.561,99.8,9.899,29.216,1.172,9.431,10.597,0.176,21.98,MS,13.462,84.673,7.688,65.344
50,03/01/2022 1:00,-0.0012,0.00597,0.00477,0.188,0.02048,MS,MS,16.209,-15.329,99.8,11.874,50.413,0.0003,0.00149,0.00969,0.01118,0.19,0.01756,26.422,-15.156,99.809,10.076,38.711,1.221,10.088,11.304,0.172,20.319,MS,9.289,83.795,7.891,70.912
51,03/01/2022 2:00,-0.00121,0.00512,0.00391,0.177,0.02257,MS,MS,14.346,-16.309,99.824,12.085,53.079,Z,Z,Z,Z,Z,Z,18.326,-15.922,99.856,9.417,53.932,0.889,11.296,12.18,0.172,19.254,MS,7.973,83.019,9.679,77.386
52,03/01/2022 3:00,-0.00123,0.00418,0.00295,0.168,0.02389,MS,MS,12.204,-17.938,99.886,10.851,58.839,0.00035,0.00165,0.00819,0.00984,0.194,0.02118,14.054,-17.473,99.898,9.585,51.335,0.88,8.01,8.885,0.166,22.725,MS,9.001,81.691,8.23,87.223
53,03/01/2022 4:00,Z,Z,Z,Z,Z,MS,MS,9.74,-18.715,99.9,8.398,69.033,0.0003,0.00196,0.00904,0.011,0.192,0.01959,11.391,-18.225,99.9,7.047,61.653,Z,Z,Z,Z,Z,MS,7.668,80.687,8.006,84.626
54,03/01/2022 5:00,-0.00133,0.00369,0.00236,0.171,0.02371,MS,MS,8.732,-19.206,99.9,6.639,76.643,0.00028,0.00192,0.00964,0.01156,0.191,0.01826,13.899,-18.803,99.9,5.608,64.441,0.645,7.542,8.178,0.166,22.7,MS,6.472,80.074,6.915,77.857
55,03/01/2022 6:00,-0.00125,0.00488,0.00364,0.17,0.0216,MS,MS,8.19,-19.688,99.9,5.867,72.647,0.00028,0.00262,0.0111,0.01372,0.196,0.01629,12.519,-19.257,99.9,4.993,60.544,0.798,9.76,10.557,0.21,20.597,MS,6.481,79.742,7.389,77.538
56,03/01/2022 7:00,-0.00121,0.00601,0.0048,0.173,0.02014,MS,MS,9.019,-20.045,99.9,4.453,75.264,0.00031,0.00332,0.01305,0.01637,0.203,0.01445,11.136,-19.632,99.9,4.289,55.536,0.807,10.979,11.776,0.237,18.514,MS,7.136,79.354,1.663,341.545
57,03/01/2022 8:00,-0.00116,0.00783,0.00667,0.185,0.01812,MS,MS,9.925,-20.1,99.9,3.638,81.975,0.00036,0.00529,0.01694,0.02223,0.221,0.01076,9.778,-19.622,99.9,3.435,61.422,1.01,13.407,14.417,0.592,15.906,MS,8.579,79.405,17.628,268.21
58,03/01/2022 9:00,-0.00065,0.00886,0.00822,0.188,0.0168,MS,MS,10.1,-19.971,99.9,4.041,43.274,0.00039,0.00475,0.01618,0.02093,0.211,0.01123,9.698,-19.571,99.9,4.738,43.889,1.089,13.047,14.139,0.975,15.646,MS,10.818,79.328,28.218,271.37
59,03/01/2022 10:00,0.00017,0.00768,0.00785,0.191,0.01732,MS,MS,11.537,-19.887,99.899,3.876,37.287,0.00045,0.00555,0.01386,0.01941,0.209,0.01289,9.305,-19.497,99.9,4.726,40.579,1.929,11.932,13.865,0.254,16.375,MS,11.102,79.167,28.099,276.328
60,03/01/2022 11:00,0.00144,0.00729,0.00873,0.203,0.01725,MS,MS,12.945,-19.684,99.9,3.241,40.839,0.00049,0.00702,0.01155,0.01857,0.216,0.01426,11.914,-19.34,99.9,4.724,37.424,2.292,10.519,12.813,0.198,16.908,MS,11.161,79.057,24.798,279.712
61,03/01/2022 12:00,0.0048,0.00983,0.01463,0.214,0.01544,MS,MS,14.721,-19.783,99.9,7.146,9.719,0.00053,0.00926,0.01186,0.02112,0.207,0.01447,13.908,-19.728,99.9,5.96,22.553,2.875,10.484,13.361,0.189,16.579,MS,13.082,78.966,17.936,285.167
62,03/01/2022 13:00,0.0046,0.00832,0.01292,0.205,0.01665,MS,MS,14.775,-20.421,99.9,13.109,353.163,0.00068,0.01035,0.01154,0.02186,0.223,0.01488,14.86,-19.895,99.9,8.129,18.473,2.652,8.343,10.999,0.175,17.957,MS,14.303,78.484,13.652,301.58
63,03/01/2022 14:00,0.0039,0.00807,0.01198,0.206,0.01749,MS,MS,12.503,-20.871,99.9,15.391,0.451,0.00092,0.01022,0.01261,0.02285,0.216,0.0145,12.403,-20.448,99.909,12.507,0.498,2.261,7.604,9.869,0.154,18.86,MS,12.133,78.135,12.394,307.996
64,03/01/2022 15:00,0.00308,0.00824,0.01132,0.192,0.01794,MS,MS,8.933,-21.436,99.9,17.755,350.576,0.00099,0.00915,0.01296,0.02211,0.21,0.01517,10.733,-20.959,99.982,13.312,359.868,2.17,7.602,9.777,0.149,19.689,MS,8.768,77.699,11.585,322.139
65,03/01/2022 16:00,0.0012,0.00817,0.00937,0.185,0.01911,MS,MS,6.078,-22.172,99.9,19.642,349.147,0.00114,0.00903,0.01531,0.02433,0.212,0.01367,7.381,-21.427,97.947,13.992,355.371,2.305,8.843,11.154,0.154,19.813,MS,5.856,77.083,9.65,356.276
66,03/01/2022 17:00,-0.00013,0.00866,0.00854,0.183,0.01935,MS,MS,4.542,-22.83,99.9,18.85,350.643,0.00109,0.00555,0.01641,0.02197,0.221,0.01364,5.831,-22.258,81.24,16.221,341.673,1.401,8.766,10.173,0.146,21.043,MS,4.795,76.483,9.038,7.67
67,03/01/2022 18:00,-0.00091,0.00751,0.00659,0.177,0.02079,MS,MS,4.131,-23.244,99.9,17.693,346.51,0.00083,0.00325,0.01352,0.01677,0.191,0.01619,5.337,-22.789,74.829,15.414,341.041,1.047,8.434,9.488,0.144,20.893,MS,5.162,75.283,12.821,42.732
68,03/01/2022 19:00,-0.001,0.00648,0.00548,0.174,0.02263,MS,MS,4.34,-23.494,99.303,19.623,347.12,0.0007,0.00358,0.01218,0.01575,0.179,0.01817,5.514,-23.088,71.031,16.288,343.851,0.953,7.77,8.731,0.139,21.936,MS,4.823,73.377,15.434,44.73
69,03/01/2022 20:00,-0.00106,0.00567,0.00461,0.167,0.02396,MS,MS,4.118,-23.701,97.577,20.58,345.959,0.00055,0.00322,0.01098,0.0142,0.182,0.02006,5.296,-23.301,69.649,17.322,342.425,0.866,7.16,8.034,0.137,22.693,MS,4.387,70.948,11.835,17.293
70,03/01/2022 21:00,-0.00098,0.00663,0.00565,0.168,0.023,MS,MS,4.165,-23.839,96.382,18.406,346.252,0.00048,0.00413,0.01346,0.01759,0.178,0.01812,5.389,-23.488,69.829,15.282,347.143,1.185,8.006,9.206,0.143,22.014,MS,4.435,70.422,10.822,336.125
71,03/01/2022 22:00,-0.00096,0.00779,0.00683,0.17,0.02105,MS,MS,4.796,-24.122,94.796,19.814,346.538,0.00054,0.00308,0.0129,0.01598,0.176,0.01769,6.062,-23.65,69.835,15.748,344.631,1.247,8.728,9.985,0.141,20.736,MS,5.151,68.902,11.98,14.452
72,03/01/2022 23:00,-0.00101,0.00839,0.00738,0.168,0.0198,MS,MS,4.776,-24.476,88.74,25.394,340.157,0.00151,0.00341,0.01474,0.01814,0.18,0.01531,6.004,-24.113,67.885,17.534,340.169,1.194,8.987,10.19,0.138,20.48,MS,4.542,65.893,15.029,2.208
73,04/01/2022 0:00,-0.00127,0.00496,0.00369,0.157,0.02359,MS,MS,4.421,-24.687,80.649,25.949,337.749,0.00111,0.00215,0.01023,0.01238,0.168,0.01964,5.353,-24.402,67.395,19.962,339.171,1.352,7.908,9.268,0.136,21.716,MS,4.07,68.79,16.604,340.995
74,04/01/2022 1:00,-0.00133,0.00394,0.00261,0.152,0.02534,MS,MS,4.105,-24.908,80.267,23.19,339.375,0.00091,0.00213,0.00934,0.01148,0.161,0.02077,5.75,-24.604,67.933,19.442,339.809,1.151,7.089,8.252,0.143,23.084,MS,4.835,68.713,15.237,340.128
75,04/01/2022 2:00,-0.00135,0.00359,0.00224,0.149,0.02619,MS,MS,3.331,-25.274,79.111,23.187,336.947,Z,Z,Z,Z,Z,Z,4.475,-25.077,68.53,16.829,342.741,1.148,6.745,7.901,0.136,24.141,MS,2.971,68.977,13.715,337.935
76,04/01/2022 3:00,-0.00133,0.00414,0.00281,0.152,0.02562,MS,MS,3.236,-25.137,79.496,22.964,340.793,0.00065,0.0021,0.01041,0.01252,0.17,0.02086,4.441,-24.974,70.051,16.902,338.842,1.028,5.398,6.434,0.154,25.497,MS,3.339,67.694,17.879,339.822
77,04/01/2022 4:00,Z,Z,Z,Z,Z,MS,MS,3.101,-25.309,78.913,27.33,339.168,0.00048,0.00163,0.00821,0.00984,0.173,0.02284,4.159,-25.024,70.359,20.13,336.534,Z,Z,Z,Z,Z,MS,2.47,67.997,16.782,342.941
78,04/01/2022 5:00,-0.00095,0.00526,0.0043,0.174,0.02483,MS,MS,2.936,-25.571,78.215,23.89,339.43,0.00036,0.00199,0.00922,0.01121,0.205,0.02189,3.718,-25.33,70.281,18.735,340.368,1.245,6.325,7.582,0.139,24.929,MS,2.117,67.189,16.862,339.696
79,04/01/2022 6:00,-0.00069,0.00588,0.00519,0.196,0.02322,MS,MS,3.283,-25.651,77.517,25.761,338.971,0.00039,0.00203,0.00917,0.0112,0.192,0.02106,4.656,-25.433,70.025,19.424,337.426,1.293,6.433,7.739,0.149,24.24,MS,2.067,67.083,18.219,340.701
80,04/01/2022 7:00,-0.00062,0.00613,0.0055,0.223,0.02284,MS,MS,3.188,-25.635,77.928,23.201,337.172,0.00043,0.00309,0.0123,0.0154,0.207,0.01823,5.269,-25.424,70.908,17.04,339.445,1.408,7.323,8.743,0.154,23.556,MS,1.881,67.651,16.575,339.182
81,04/01/2022 8:00,-0.0011,0.00487,0.00378,0.241,0.02452,MS,MS,2.877,-25.782,77.704,24.329,335.378,0.0004,0.00356,0.01301,0.01657,0.222,0.01808,4.621,-25.424,68.914,17.547,336.282,0.989,5.908,6.909,0.158,25.109,MS,1.253,66.275,18.643,336.456
82,04/01/2022 9:00,-0.00068,0.00572,0.00504,0.257,0.02343,MS,MS,2.619,-25.968,76.512,23.276,334.662,0.0004,0.00486,0.01369,0.01856,0.246,0.01793,6.019,-25.638,65.017,18.352,337.884,1.232,6.99,8.234,0.162,23.958,MS,1.083,64.883,15.149,338.291
83,04/01/2022 10:00,0.00002,0.00467,0.00469,0.268,0.026,MS,MS,2.275,-25.883,76.374,18.918,335.347,0.00042,0.00597,0.01176,0.01773,0.233,0.02017,3.224,-25.51,61.249,16.186,333.716,1.678,6.493,8.181,0.163,24.991,MS,1.022,64.33,12.687,331.806
84,04/01/2022 11:00,0.00071,0.00283,0.00353,C,0.02924,MS,MS,1.994,-25.605,74.493,21.179,334.919,0.00046,0.00701,0.00977,0.01679,0.234,0.0248,2.209,-25.068,56.175,16.9,332.195,2.184,5.591,7.784,0.161,27.352,MS,0.682,60.674,13.987,328.338
85,04/01/2022 12:00,0.00164,0.00296,0.0046,C,0.02962,MS,MS,1.996,-25.444,72.684,20.649,342.504,0.00042,0.00913,0.01028,0.01941,C,0.02549,2.757,-24.705,52.781,15.083,334.826,2.831,4.8,7.64,0.155,28.268,MS,0.675,56.819,14.743,338.698
86,04/01/2022 13:00,0.00028,0.00113,0.00141,C,0.03297,MS,MS,1.539,-24.671,72.041,22.634,337.736,0.00056,0.01202,0.01177,0.02379,C,0.02594,5.44,-24.081,50.587,13.938,340.768,1.992,3.423,5.424,0.141,30.726,MS,0.323,55.223,17.009,340.016
87,04/01/2022 14:00,0.00207,0.0031,0.00516,C,0.0323,MS,MS,1.672,-24.331,71.191,16.739,344.663,0.00045,0.01141,0.01162,0.02302,C,0.0274,16.734,-23.753,49.117,14.533,344.422,1.957,3.529,5.494,0.13,32.077,MS,0.206,54.947,13.543,344.448
88,04/01/2022 15:00,0.00183,0.00398,0.00581,-0.035,0.03088,MS,MS,2.02,-24.401,71.256,15.434,342.066,0.00039,0.0107,0.01348,0.02418,C,0.02467,2.827,-23.675,50.834,11.607,345.146,2.067,4.328,6.402,0.13,31.728,MS,0.423,56.291,10.922,339.934
