6,01/01/2018 5:00,0.09331,0.04831,0.14163,0.735,0.00606,MS,MS,51.047,NS,MS,1.636,357.573,0.00073,0.02733,0.03938,0.06675,0.4,0.00327,11.856,-26.088,76.967,2.992,249.249,1.663,12.813,14.482,0.127,24.218,MS,0.967,75.343,11.707,302.141
7,01/01/2018 6:00,0.10513,0.05029,0.15541,0.828,0.00601,MS,MS,49.374,NS,MS,0.407,196.809,0.00072,0.03407,0.0414,0.07551,0.357,0.00318,9.012,-25.023,78.588,4.146,245.56,1.532,11.838,13.376,0.124,25.589,MS,0.486,74.163,11.572,302.232
8,01/01/2018 7:00,0.11648,0.05227,0.16876,0.906,0.00606,MS,MS,66.714,NS,MS,1.12,34.845,0.00043,0.01265,0.03748,0.05017,0.274,0.00418,6.212,-23.754,80.786,4.936,250.172,1.983,12.806,14.795,0.133,24.176,MS,0.203,74.907,11.046,310.975
9,01/01/2018 8:00,0.09824,0.04741,0.14565,0.808,0.0052,MS,MS,33.892,NS,MS,1.358,104.984,0.00031,0.00799,0.03263,0.04065,0.242,0.00789,4.699,-22.837,82.274,6.7,255.784,1.755,12.888,14.649,0.109,24.115,MS,0.073,74.842,12.283,309.958
10,01/01/2018 9:00,0.09927,0.04777,0.14704,0.744,0.00476,MS,MS,18.653,NS,MS,1.67,105.649,0.00027,0.00856,0.03233,0.04092,0.236,0.00925,6.814,-22.46,82.986,5.906,272.598,2.366,14.28,16.652,0.117,23.489,MS,-0.04,75.995,11.551,314.823
11,01/01/2018 10:00,0.10022,0.04503,0.14525,0.678,0.00562,MS,MS,4.763,NS,MS,1.17,187.871,0.00022,0.01557,0.02767,0.04328,0.235,0.01546,4.288,-21.264,84.139,6.104,274.878,3.944,11.897,15.846,0.114,26.645,MS,-0.117,74.96,11.875,311.171
12,01/01/2018 11:00,0.06742,0.03624,0.10367,0.523,0.00861,MS,MS,6.635,NS,MS,1.596,223.257,0.00036,0.02879,0.02854,0.05736,0.371,0.01733,5.169,-20.029,85.397,3.81,268.355,5.96,9.988,15.954,0.138,29.563,MS,0.33,72.25,11.256,314.572
13,01/01/2018 12:00,0.05573,0.03116,0.08687,0.433,0.0127,MS,MS,3.867,NS,MS,4.108,257.398,0.00035,0.02315,0.02221,0.0454,0.303,0.02304,4.7,-17.794,83.229,7.623,267.837,5.191,7.576,12.773,0.121,33.126,MS,0.321,68.132,11.473,316.169
14,01/01/2018 13:00,0.03952,0.02873,0.06826,0.466,0.01807,MS,MS,3.425,NS,MS,3.638,242.649,0.00076,0.03528,0.02805,0.06336,0.427,0.02102,6.343,-14.598,76.876,4.066,240.597,5.898,8.123,14.026,0.149,34.223,MS,0.63,65.857,10.011,311.542
15,01/01/2018 14:00,0.02906,0.02559,0.05464,0.454,0.02207,MS,MS,4.627,NS,MS,3.271,215.647,0.00094,0.02649,0.02566,0.05218,0.371,0.02232,6.849,-13.001,69.227,2.947,222.279,5.986,9.552,15.539,0.16,34.435,MS,1.108,63.806,11.021,299.14
16,01/01/2018 15:00,0.02111,0.02538,0.0465,0.432,0.02255,MS,MS,3.749,NS,MS,3.29,235.907,0.00102,0.03204,0.03372,0.06579,0.433,0.0179,7.125,-11.542,66.491,3.836,247.559,4.707,9.861,14.569,0.165,35.348,MS,0.987,61.152,11.078,301.569
17,01/01/2018 16:00,0.03265,0.0394,0.07202,0.543,0.01313,MS,MS,4.707,NS,MS,2.418,199.341,0.00146,0.03208,0.04,0.07211,0.475,0.01301,8.807,-10.175,64.316,2.613,222.951,4.113,14.586,18.705,0.183,32.409,MS,1.334,59.752,7.924,304.248
18,01/01/2018 17:00,0.01118,0.03975,0.05094,0.47,0.01139,MS,MS,3.447,NS,MS,3.072,251.552,0.00054,0.01483,0.04167,0.05653,0.365,0.00999,7.375,-11.728,73.697,4.104,247.262,1.822,14.473,16.301,0.208,33.283,MS,1.396,62.798,11.045,309.111
19,01/01/2018 18:00,0.01319,0.04605,0.05925,0.386,0.00635,MS,MS,2.691,NS,MS,2.035,318.818,0.00093,0.02268,0.04324,0.06596,0.381,0.01062,8.302,-10.664,73.365,9.748,261.729,1.119,13.172,14.301,0.159,34.789,MS,0.929,60.431,13.962,303.759
20,01/01/2018 19:00,0.00244,0.02996,0.03243,0.3,0.02118,MS,MS,1.914,NS,MS,6.594,314.951,0.00068,0.01417,0.04329,0.05748,0.385,0.00999,9.155,-9.802,71.722,10.001,275.477,0.967,9.805,10.774,0.14,37.942,MS,0.721,56.46,15.332,302.289
21,01/01/2018 20:00,0.00037,0.0164,0.01678,0.244,0.03274,MS,MS,1.33,NS,MS,6.781,327.407,0.00078,0.01866,0.04448,0.06317,0.333,0.01063,6.659,-7.994,63.118,8.827,274.859,0.87,9.709,10.58,0.127,38.072,MS,0.765,56.359,13.665,298.882
22,01/01/2018 21:00,0.00027,0.02081,0.02106,0.271,0.02835,MS,MS,1.471,NS,MS,3.288,333.687,0.00052,0.01626,0.03665,0.05293,0.272,0.01751,5.331,-7.379,62.595,11.917,270.11,0.981,10.359,11.34,0.127,36.75,MS,0.818,59.165,14.474,300.856
23,01/01/2018 22:00,0.01599,0.03574,0.0517,0.275,0.01543,MS,MS,2.277,NS,MS,0.608,303.307,0.00135,0.00453,0.01945,0.02401,0.184,0.0292,4.137,-6.47,60.801,14.037,275.811,0.897,9.94,10.836,0.119,36.601,MS,0.463,58.759,12.253,308.289
24,01/01/2018 23:00,0.00609,0.02939,0.03548,0.274,0.01996,MS,MS,1.711,NS,MS,5.812,325.646,0.00203,0.0083,0.02975,0.03808,0.239,0.01971,4.432,-7.17,66.13,9.831,278.116,0.873,8.026,8.899,0.118,38.458,MS,0.427,57.213,13.274,303.275
25,02/01/2018 0:00,0.00017,0.01533,0.01552,0.194,0.03188,MS,MS,1.736,NS,MS,7.47,318.999,0.00132,0.01518,0.03789,0.0531,0.247,0.01336,4.747,-7.379,68.912,9.086,263.189,0.911,8.438,9.349,0.117,38.121,MS,0.445,55.97,13.415,310.015
26,02/01/2018 1:00,0.00018,0.01233,0.01251,0.179,0.03478,MS,MS,1.3,NS,MS,9.528,338.792,0.00103,0.00927,0.03019,0.03948,0.191,0.01942,4.627,-6.581,65.374,11.365,269.069,0.834,8.666,9.5,0.112,38.222,MS,0.488,55.279,11.807,303.241
27,02/01/2018 2:00,0.00019,0.01294,0.01311,0.177,0.0338,MS,MS,1.835,NS,MS,11.931,349.724,Z,Z,Z,Z,Z,Z,5.18,-6.253,64.019,10.663,271.48,0.787,10.044,10.83,0.108,37.212,MS,0.275,52.68,12.469,307.863
28,02/01/2018 3:00,0.00017,0.01619,0.01636,0.17,0.03054,MS,MS,1.824,NS,MS,8.905,347.765,0.00154,0.01109,0.03733,0.04844,0.191,0.01345,4.872,-6.528,66.231,6.903,261.887,0.742,8.236,8.977,0.109,38.885,MS,0.201,52.246,13.887,311.687
29,02/01/2018 4:00,0.00051,0.01924,0.01974,0.169,0.02663,MS,MS,2.099,NS,MS,1.192,163.841,0.00135,0.03406,0.04765,0.08174,0.225,0.00547,5.313,-7.79,72.399,4.611,242.419,0.697,8.693,9.509,0.114,38.824,MS,0.32,52.519,13.816,303.399
30,02/01/2018 5:00,0.00108,0.03286,0.03395,0.202,0.01323,MS,MS,1.414,NS,MS,2.028,138.447,0.00145,0.003,0.02167,0.02469,0.16,0.02371,4.384,-7.15,70.185,9.233,250.615,0.834,11.533,12.365,0.124,34.888,MS,0.359,54.371,12.773,304.202
31,02/01/2018 6:00,0.01457,0.04521,0.05981,0.231,0.00397,MS,MS,2.18,NS,MS,3.099,159.1,0.00129,0.00121,0.01844,0.01967,0.16,0.02588,3.884,-6.572,69.971,11.39,246.716,0.87,12.074,12.941,0.114,34.557,MS,0.552,55.769,10.473,304.819
32,02/01/2018 7:00,0.03089,0.04592,0.07681,0.306,0.00127,MS,MS,2.895,NS,MS,2.25,164.69,0.00149,0.00156,0.0228,0.02438,0.2,0.02157,3.875,-6.574,71.205,12.651,244.255,1.057,15.65,16.703,0.134,31.2,MS,0.442,56.82,8.842,314.487
33,02/01/2018 8:00,0.07268,0.0545,0.12715,0.492,0.00245,MS,MS,6.861,NS,MS,2.417,322.708,0.00124,0.00453,0.02989,0.03445,0.263,0.01482,4.247,-6.578,72.834,7.308,256.857,2.383,21.563,23.942,0.174,25.772,MS,0.758,58.388,9.211,310.21
34,02/01/2018 9:00,0.13588,0.07091,0.2067,0.762,0.00189,MS,MS,11.827,NS,MS,2.33,190.743,0.00146,0.03768,0.04981,0.08757,0.46,0.00206,5.3,-6.159,73.503,3.407,237.724,1.962,18.642,20.599,0.185,27.897,MS,0.862,58.967,9.542,310.632
35,02/01/2018 10:00,0.09228,0.04832,0.14055,0.585,0.00374,MS,MS,8.011,NS,MS,2.381,170.489,0.00142,0.02642,0.03907,0.06549,0.316,0.00928,4.789,-5.836,71.137,6.206,236.608,2.92,12.596,15.511,0.144,32.506,MS,0.723,58.884,11.166,311.038
36,02/01/2018 11:00,0.05312,0.04085,0.09399,0.467,0.00953,MS,MS,9.539,NS,MS,2.641,195.123,C,0.01951,0.02811,0.04763,0.282,0.01807,4.185,-4.146,64.968,4.519,240.449,4.102,10.623,14.719,0.156,33.722,MS,0.62,58.799,11.04,305.357
37,02/01/2018 12:00,0.04424,0.03505,0.07924,0.465,0.01527,MS,MS,6.971,NS,MS,3.457,231.951,C,0.01862,0.02368,0.04233,0.302,0.02264,3.452,-2.547,60.84,5.718,266.524,5.158,9.856,15.007,0.152,34.426,MS,1.303,57.499,10.111,305.305
38,02/01/2018 13:00,0.02203,0.02502,0.04704,0.401,0.0227,MS,MS,5.775,NS,MS,5.042,252.306,C,0.02049,0.02434,0.04485,0.337,0.02258,3.532,-1.127,59.674,4.897,270.52,4.377,8.068,12.437,0.153,36.024,MS,1.876,55.096,10.663,311.162
39,02/01/2018 14:00,0.02909,0.02932,0.05839,0.396,0.01919,MS,MS,7.405,NS,MS,4.079,255.312,0.0032,0.01908,0.02446,0.04358,0.324,0.02321,3.474,0.253,57.351,5.893,277.967,7.426,12.601,20.02,0.171,33.099,MS,1.762,53.733,10.446,299.58
40,02/01/2018 15:00,0.03427,0.03511,0.06936,0.465,0.01487,MS,MS,8.164,NS,MS,3.462,254.429,0.00258,0.01122,0.02008,0.03131,0.278,0.02528,3.222,1.346,56.159,5.37,264.723,6.082,13.281,19.355,0.192,32.292,MS,2.438,52.291,7.484,305.892
41,02/01/2018 16:00,0.02401,0.03727,0.06127,0.467,0.01183,MS,MS,8.378,NS,MS,3.556,257.367,0.00238,0.01664,0.03128,0.04793,0.459,0.01579,4.189,1.866,56.42,4.324,255.145,7.309,20.531,27.831,0.224,25.872,MS,2.31,53.229,8.028,299.947
42,02/01/2018 17:00,0.03527,0.04661,0.08188,0.636,0.00293,MS,MS,9.459,NS,MS,1.693,249.025,0.00167,0.02013,0.03805,0.0582,0.546,0.00869,8.37,-0.669,66.961,5.128,273.384,3.05,21.23,24.269,0.22,24.439,MS,2.916,58.478,7.778,308.595
43,02/01/2018 18:00,0.06182,0.05378,0.11555,0.799,0.00059,MS,MS,13.088,NS,MS,0.982,154.449,0.00139,0.00744,0.03782,0.04529,0.432,0.0084,10.456,-2.204,68.846,6.944,272.787,2.954,24.005,26.948,0.232,21.264,MS,2.93,62.605,8.407,309.318
44,02/01/2018 19:00,0.06681,0.05105,0.11786,0.926,0.00086,MS,MS,13.773,NS,MS,1.518,25.083,0.00113,0.01659,0.04479,0.0614,0.472,0.00262,11.649,-2.965,72.564,4.948,289.082,1.446,17.832,19.266,0.198,25.767,MS,1.933,63.753,9.809,309.856
45,02/01/2018 20:00,0.02531,0.0458,0.0711,0.608,0.00092,MS,MS,8.904,NS,MS,1.724,330.527,0.00112,0.02434,0.04718,0.07153,0.497,0.00086,12.15,-3.719,76.504,5.805,273.575,1.283,15.77,17.041,0.174,27.335,MS,1.367,63.618,10.619,302.793
46,02/01/2018 21:00,0.04831,0.04821,0.09651,0.709,0.00054,MS,MS,11.78,NS,MS,2.183,198.655,0.00088,0.02221,0.04459,0.06682,0.474,0.00128,13.441,-4.416,80.205,6.828,252.042,1.207,15.241,16.435,0.175,27.099,MS,1.252,64.215,9.965,305.358
47,02/01/2018 22:00,0.04818,0.04606,0.09424,0.654,0.00046,MS,MS,10.65,NS,MS,2.625,167.242,0.00092,0.01449,0.04051,0.05502,0.368,0.0032,10.707,-4.656,79.928,7.439,267.673,1.111,14.174,15.272,0.179,27.255,MS,1.187,65.661,10.793,297.755
48,02/01/2018 23:00,0.01798,0.04449,0.06247,0.408,0.00057,MS,MS,6.464,NS,MS,1.024,334.049,0.00113,0.00927,0.03531,0.04461,0.306,0.00798,7.76,-3.816,75.639,7.179,278.409,1.038,13.745,14.769,0.163,27.125,MS,1.066,66.646,10.304,307.037
49,03/01/2018 0:00,0.00526,0.03367,0.03892,0.28,0.00915,MS,MS,4.548,NS,MS,4.223,329.384,0.00232,0.00756,0.02652,0.0341,0.285,0.01457,6.225,-3.167,73.34,7.825,280.056,0.928,12.611,13.523,0.152,27.745,MS,0.988,67.338,10.453,306.361
50,03/01/2018 1:00,0.00079,0.02739,0.02819,0.235,0.01265,MS,MS,3.514,NS,MS,4.073,359.6,0.00205,0.00629,0.03013,0.03644,0.245,0.01058,6.363,-3.515,75.499,5.009,285.298,0.972,12.649,13.606,0.146,27.548,MS,0.891,66.888,9.368,312.186
51,03/01/2018 2:00,0.00991,0.03596,0.04589,0.362,0.00597,MS,MS,4.163,NS,MS,4.009,348.135,Z,Z,Z,Z,Z,Z,6.435,-3.932,77.551,5.865,273.114,0.792,11.313,12.09,0.142,28.88,MS,0.969,65.509,9.449,306.083
52,03/01/2018 3:00,0.02403,0.04414,0.06818,0.467,0.00063,MS,MS,6.63,NS,MS,1.917,337.027,0.00135,0.00325,0.02718,0.03045,0.229,0.01101,6.214,-4.277,79.313,6.426,264.24,0.937,10.585,11.506,0.144,29.702,MS,0.827,64.459,10.549,303.045
53,03/01/2018 4:00,0.02338,0.04372,0.06708,0.409,0.00085,MS,MS,7.691,NS,MS,2.585,6.072,0.00141,0.00184,0.02618,0.02805,0.219,0.01248,5.794,-4.228,77.883,4.878,267.886,0.938,10.397,11.309,0.134,30.449,MS,0.806,64.57,9.744,309.132
54,03/01/2018 5:00,0.0039,0.038,0.04189,0.265,0.00429,MS,MS,3.561,NS,MS,2.778,332.513,0.00146,0.00288,0.02654,0.02943,0.229,0.01308,5.35,-3.706,76.622,5.71,273.46,1.089,10.416,11.49,0.15,30.206,MS,0.883,65.505,10.27,302.168
55,03/01/2018 6:00,0.0082,0.04001,0.0482,0.285,0.00211,MS,MS,3.171,NS,MS,3.232,7.657,0.00134,0.0094,0.03069,0.04011,0.252,0.0106,5.153,-3.421,74.884,7.02,277.521,0.885,10.366,11.244,0.144,29.989,MS,1.089,66.045,11.169,302.287
56,03/01/2018 7:00,0.00673,0.03286,0.03958,0.298,0.00881,MS,MS,2.254,NS,MS,6.134,342.155,0.00112,0.00861,0.03259,0.04122,0.292,0.00929,5.173,-3.503,74.091,5.33,292.814,2.705,15.361,18.044,0.158,26.15,MS,0.837,67.55,9.395,304.435
57,03/01/2018 8:00,0.03129,0.04312,0.0744,0.462,0.00097,MS,MS,3.33,NS,MS,0.869,155.225,0.00172,0.08175,0.05266,0.13443,0.518,0.00019,7.837,-5.232,82.261,3.127,226.462,3.666,20.453,24.104,0.195,22.817,MS,1.068,67.731,9.003,294.966
58,03/01/2018 9:00,0.06298,0.04706,0.11005,0.588,0.0008,MS,MS,5.695,NS,MS,2.136,170.042,0.0014,0.03211,0.04237,0.0745,0.45,0.00183,5.998,-4.998,81.283,7.481,265.1,4.29,20.878,25.168,0.201,21.98,MS,1.079,69.622,10.605,304.851
59,03/01/2018 10:00,0.04473,0.04191,0.08664,0.484,0.00497,MS,MS,7.083,NS,MS,3.177,202.687,0.00293,C,C,C,C,0.01549,5.194,-3.458,75.617,12.235,276.859,4.157,15.585,19.739,0.188,26.162,MS,0.849,68.438,11.368,303.561
60,03/01/2018 11:00,0.05094,0.03311,0.08406,0.566,0.0128,MS,MS,6.964,NS,MS,3.128,251.163,0.00325,C,C,C,C,0.02398,3.795,-1.457,69.782,11.253,277.054,5.448,12.142,17.592,0.192,29.434,MS,1.02,65.721,12.887,300.673
61,03/01/2018 12:00,0.02148,0.02309,0.04457,0.294,0.022,MS,MS,5.543,NS,MS,5.759,310.371,0.00283,C,C,C,C,0.01956,4.811,-0.185,67.032,7.591,265.87,5.61,9.948,15.555,0.177,31.497,MS,1.616,62.046,11.311,308.524
62,03/01/2018 13:00,0.01493,0.01802,0.03295,0.32,0.02549,MS,MS,6.013,NS,MS,5.937,310.198,0.00317,C,C,C,C,C,4.598,2.036,60.626,7.201,281.06,5.72,9.58,15.299,0.17,32.604,MS,1.867,58.289,11.833,306.454
63,03/01/2018 14:00,0.00856,0.01317,0.02174,0.292,0.02976,MS,MS,5.064,NS,MS,9.37,318.624,0.00318,0.02094,0.02415,0.04511,0.238,C,5.256,3.293,58.356,7.696,266.094,6.386,11.322,17.708,0.18,32.223,MS,2.713,56.633,11.834,294.461
64,03/01/2018 15:00,0.01115,0.01895,0.03009,0.364,0.02512,MS,MS,5.379,NS,MS,3.34,300.718,0.0031,0.01406,0.02293,0.03701,0.252,0.02214,5.45,4.691,55.595,8.204,267.331,6.563,13.709,20.274,0.199,30.51,MS,2.596,55.07,11.284,293.564
65,03/01/2018 16:00,0.0092,0.02428,0.03346,0.339,0.02099,MS,MS,5.601,NS,MS,6.202,330.013,0.00236,0.01419,0.02957,0.04378,0.301,0.01615,5.618,4.775,56.72,6.694,265.32,3.8,13.588,17.392,0.189,30.069,MS,2.41,55.192,9.768,298.532
66,03/01/2018 17:00,0.00902,0.03455,0.04358,0.43,0.01038,MS,MS,5.756,NS,MS,6.049,338.774,0.00189,0.02083,0.04106,0.0619,0.475,0.00452,6.675,2.945,65.257,5.337,261.764,2.843,19.339,22.188,0.233,24.493,MS,3.668,59.847,8.866,305.181
67,03/01/2018 18:00,0.01595,0.04404,0.05998,0.586,0.00131,MS,MS,6.745,NS,MS,2.537,4.514,0.00144,0.04797,0.04632,0.09431,0.808,-0.00016,8.957,0.477,76.362,2.317,249.035,2.208,23.004,25.219,0.245,20.04,MS,2.345,64.589,8.375,305.082
68,03/01/2018 19:00,0.03275,0.04418,0.07693,0.739,0.0006,MS,MS,8.167,NS,MS,2.139,24.546,0.00133,0.049,0.0453,0.09432,0.713,0.00055,9.825,-0.706,82.276,4.666,248.478,1.071,14.322,15.401,0.199,27.309,MS,2.45,66.021,10.757,315.891
69,03/01/2018 20:00,0.04634,0.04536,0.0917,0.807,0.00056,MS,MS,9.345,NS,MS,0.999,234.651,0.00093,0.01596,0.04248,0.05845,0.454,0.00096,9.9,-1.341,82.14,4.319,266.085,1.107,14.563,15.681,0.193,26.357,MS,1.439,69.164,8.818,306.744
70,03/01/2018 21:00,0.05672,0.04501,0.10172,0.792,0.00067,MS,MS,8.842,NS,MS,1.565,145.868,0.00091,0.01521,0.03796,0.05319,0.377,0.00151,9.371,-2.644,88.141,5.644,250.278,1.021,15.008,16.04,0.179,24.705,MS,1.787,72.592,7.703,309.852
71,03/01/2018 22:00,0.04372,0.04311,0.08682,0.629,0.00074,MS,MS,7.969,NS,MS,1.282,146.141,0.00107,0.00957,0.03537,0.04494,0.319,0.0047,7.505,-2.594,84.833,6.693,262.033,0.983,13.316,14.313,0.172,25.439,MS,1.163,74.578,7.828,312.722
72,03/01/2018 23:00,0.02787,0.04232,0.0702,0.459,0.00059,MS,MS,6.372,NS,MS,1.394,145.906,0.00095,0.01143,0.03494,0.04639,0.328,0.00399,6.854,-3.061,87.12,5.777,272.49,1.012,11.664,12.691,0.152,26.335,MS,1.23,76.587,8.509,304.298
73,04/01/2018 0:00,0.02784,0.04183,0.06967,0.454,0.00055,MS,MS,5.849,NS,MS,1.197,345.182,0.00086,0.00542,0.02683,0.03225,0.282,0.01005,5.493,-3.457,85.748,5.54,283.941,0.781,10.394,11.192,0.14,26.705,MS,1.412,78.032,8.121,313.575
74,04/01/2018 1:00,0.03051,0.04284,0.07336,0.448,0.00086,MS,MS,7.072,NS,MS,3.188,339.125,0.00082,0.00432,0.02604,0.03037,0.269,0.01113,5.043,-3.826,85.485,7.031,276.954,0.992,12.905,13.916,0.142,23.996,MS,1.153,79.131,8.915,311.247
75,04/01/2018 2:00,0.03215,0.04232,0.07448,0.481,0.00073,MS,MS,8.331,NS,MS,3.452,344.731,Z,Z,Z,Z,Z,Z,5.237,-4.432,86.672,7.296,275.113,0.643,9.747,10.411,0.124,27.134,MS,0.565,76.081,9.403,311.316
76,04/01/2018 3:00,0.03494,0.04163,0.07656,0.406,0.00063,MS,MS,7.332,NS,MS,3.356,346.239,0.00075,0.00703,0.02854,0.03556,0.208,0.00911,5.207,-4.94,87.541,6.598,263.647,0.723,10.524,11.177,0.127,26.855,MS,0.442,76.094,9.009,316.842
77,04/01/2018 4:00,0.02425,0.04048,0.06474,0.361,0.00079,MS,MS,4.899,NS,MS,4.014,347.8,0.00073,0.00508,0.02845,0.03355,0.209,0.00889,4.677,-5.345,87.739,6.813,274.171,1.02,12.477,13.573,0.12,26.387,MS,0.354,74.888,10.027,302.494
78,04/01/2018 5:00,0.0264,0.04145,0.06784,0.474,0.00088,MS,MS,3.515,NS,MS,5.381,357.373,0.00085,0.01514,0.03612,0.05126,0.231,0.00452,4.52,-5.466,86.663,5.564,277.252,1.031,13.271,14.327,0.118,25.156,MS,0.381,73.833,8.754,306.383
79,04/01/2018 6:00,0.02886,0.0422,0.07106,0.391,0.00041,MS,MS,3.185,NS,MS,2.014,359.973,0.00073,0.01303,0.03122,0.04428,0.199,0.00774,3.889,-5.25,85.326,7.209,267.931,1.379,16.739,18.143,0.137,22.054,MS,0.537,72.937,6.713,313.927
80,04/01/2018 7:00,0.01377,0.03547,0.04923,0.369,0.00491,MS,MS,2.474,NS,MS,5.213,343.761,0.00076,0.00922,0.03338,0.0426,0.236,0.00527,3.882,-5.389,84.029,6.443,264.469,1.982,17.181,19.189,0.166,21.474,MS,0.334,73.523,10.036,309.927
81,04/01/2018 8:00,0.04669,0.04801,0.0947,0.417,0.00341,MS,MS,3.344,NS,MS,2.814,335.977,0.00123,0.0298,0.04154,0.07135,0.387,0.00098,4.377,-5.299,82.523,7.164,282.86,2.055,17.252,19.334,0.169,20.86,MS,0.421,75.702,10.527,312.304
82,04/01/2018 9:00,0.02931,0.04913,0.07853,0.447,0.00426,MS,MS,4.123,NS,MS,2.286,326.904,0.00158,0.03489,0.04267,0.07757,0.44,0.00118,4.59,-5.268,82.159,8.16,278.46,3.772,17.964,21.765,0.162,20.536,MS,0.767,75.266,10.607,311.981
83,04/01/2018 10:00,0.01352,0.02825,0.04178,0.327,0.01146,MS,MS,3.264,NS,MS,0.996,7.155,0.00162,0.03468,0.03651,0.0712,0.359,0.00647,4.723,-4.764,78.273,6.66,274.246,4.406,13.576,18.012,0.152,24.641,MS,1.161,72.03,12.545,311.634
84,04/01/2018 11:00,0.01377,0.02074,0.03451,0.265,0.01896,MS,MS,3.658,NS,MS,5.657,277.734,0.00154,0.03015,0.0292,0.05937,0.338,0.01327,4.074,-3.397,74.17,8.015,266.711,8.119,13.324,21.474,0.161,25.5,MS,0.992,67.149,11.47,294.728
85,04/01/2018 12:00,0.01198,0.01541,0.0274,0.243,0.02429,MS,MS,3.069,NS,MS,9.484,308.647,0.00216,0.01558,0.01892,0.03452,0.236,0.02149,3.116,-1.385,67.741,9.079,270.515,14.83,15.521,30.383,0.178,24.284,MS,1.768,63.715,12.126,293.619
86,04/01/2018 13:00,0.01405,0.01582,0.02987,0.288,0.0242,MS,MS,4.206,NS,MS,4.117,342.379,0.00349,0.0145,0.01753,0.03205,0.251,0.02305,2.61,0.329,62.842,8.69,263.931,11.506,13.552,25.091,0.195,27.226,MS,1.77,59.923,12.41,297.355
87,04/01/2018 14:00,0.01263,0.01632,0.02897,0.299,0.02497,MS,MS,4.875,NS,MS,5.369,331.854,0.00302,0.01354,0.01759,0.03115,0.306,0.02296,2.567,1.983,58.274,6.167,268.017,6.202,9.554,15.79,0.166,30.312,MS,1.91,55.96,10.145,308.713
88,04/01/2018 15:00,0.0152,0.02212,0.03732,0.444,0.02192,MS,MS,5.735,NS,MS,5.137,330.751,0.00253,0.01782,0.02412,0.04195,0.332,0.01815,3.167,2.968,54.87,4.392,279.969,9.155,14.838,24.035,0.208,26.456,MS,3.014,55.941,8.255,298.522
89,04/01/2018 16:00,0.02415,0.03208,0.05623,0.471,0.01235,MS,MS,6.839,NS,MS,2.932,279.577,0.00251,0.03055,0.03577,0.06634,0.476,0.00856,4.493,3.245,55.201,4.289,272.586,10.797,22.06,32.892,0.317,20.299,MS,5.778,57.407,7.867,298.85
