,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2018 0:00,0.05694,0.04331,0.10025,0.609,0.00535,MS,MS,27.525,N,MS,1.303,123.133,0.00119,0.06202,0.04434,0.10638,0.469,0.00466,27.435,-29.71,71.463,3.484,218.384,3.349,17.578,20.932,0.186,14.875,7.447,7.447,74.682,10.339,316.826
2,01/01/2018 1:00,0.06687,0.04314,0.11002,0.597,0.00523,MS,MS,22.155,NS,MS,1.428,137.146,0.00099,0.03496,0.03889,0.0739,0.402,0.00444,21.392,-29.567,71.498,0.969,217.307,2.661,14.774,17.441,0.163,17.902,MS,4.628,75.952,12.463,312.444
3,01/01/2018 2:00,0.06689,0.04439,0.11129,0.644,0.00563,MS,MS,31.328,NS,MS,1.004,159.102,Z,Z,Z,Z,Z,Z,19.182,-30.268,70.73,1.975,173.431,2.404,14.288,16.698,0.151,19.977,MS,2.499,77.46,12.787,311.651
4,01/01/2018 3:00,0.0838,0.04654,0.13035,0.625,0.00599,MS,MS,35.272,NS,MS,11.958,47.85,0.00102,0.03514,0.03818,0.07336,0.486,0.00409,18.581,-28.496,73.223,2.01,245.255,2.286,15.364,17.657,0.136,20.655,MS,1.738,77.922,14.228,312.085
5,01/01/2018 4:00,0.0595,0.04162,0.10113,0.588,0.00572,MS,MS,40.775,NS,MS,0.696,104.12,0.0009,0.03889,0.03816,0.0771,0.438,0.00362,15.817,-28.403,73.201,0.463,175.089,1.516,12.68,14.202,0.118,23.043,MS,1.157,76.942,14.937,307.499
